observation_date,NASDAQCOM
2009-04-15,1626.800
2009-04-16,1670.440
2009-04-17,1673.070
2009-04-20,1608.210
2009-04-21,1643.850
2009-04-22,1646.120
2009-04-23,1652.210
2009-04-24,1694.290
2009-04-27,1679.410
2009-04-28,1673.810
2009-04-29,1711.940
2009-04-30,1717.300
2009-05-01,1719.200
2009-05-04,1763.560
2009-05-05,1754.120
2009-05-06,1759.100
2009-05-07,1716.240
2009-05-08,1739.000
2009-05-11,1731.240
2009-05-12,1715.920
2009-05-13,1664.190
2009-05-14,1689.210
2009-05-15,1680.140
2009-05-18,1732.360
2009-05-19,1734.540
2009-05-20,1727.840
2009-05-21,1695.250
2009-05-22,1692.010
2009-05-25,
2009-05-26,1750.430
2009-05-27,1731.080
2009-05-28,1751.790
2009-05-29,1774.330
2009-06-01,1828.680
2009-06-02,1836.800
2009-06-03,1825.920
2009-06-04,1850.020
2009-06-05,1849.420
2009-06-08,1842.400
2009-06-09,1860.130
2009-06-10,1853.080
2009-06-11,1862.370
2009-06-12,1858.800
2009-06-15,1816.380
2009-06-16,1796.180
2009-06-17,1808.060
2009-06-18,1807.720
2009-06-19,1827.470
2009-06-22,1766.190
2009-06-23,1764.920
2009-06-24,1792.340
2009-06-25,1829.540
2009-06-26,1838.220
2009-06-29,1844.060
2009-06-30,1835.040
2009-07-01,1845.720
2009-07-02,1796.520
2009-07-03,
2009-07-06,1787.400
2009-07-07,1746.170
2009-07-08,1747.170
2009-07-09,1752.550
2009-07-10,1756.030
2009-07-13,1793.210
2009-07-14,1799.730
2009-07-15,1862.900
2009-07-16,1885.030
2009-07-17,1886.610
2009-07-20,1909.290
2009-07-21,1916.200
2009-07-22,1926.380
2009-07-23,1973.600
2009-07-24,1965.960
2009-07-27,1967.890
2009-07-28,1975.510
2009-07-29,1967.760
2009-07-30,1984.300
2009-07-31,1978.500
2009-08-03,2008.610
2009-08-04,2011.310
2009-08-05,1993.050
2009-08-06,1973.160
2009-08-07,2000.250
2009-08-10,1992.240
2009-08-11,1969.730
2009-08-12,1998.720
2009-08-13,2009.350
2009-08-14,1985.520
2009-08-17,1930.840
2009-08-18,1955.920
2009-08-19,1969.240
2009-08-20,1989.220
2009-08-21,2020.900
2009-08-24,2017.980
2009-08-25,2024.230
2009-08-26,2024.430
2009-08-27,2027.730
2009-08-28,2028.770
2009-08-31,2009.060
2009-09-01,1968.890
2009-09-02,1967.070
2009-09-03,1983.200
2009-09-04,2018.780
2009-09-07,
2009-09-08,2037.770
2009-09-09,2060.390
2009-09-10,2084.020
2009-09-11,2080.900
