,Copula-GARCH clayton
2013-10-17,-1.5844875920549342
2013-10-18,-1.5270160143327636
2013-10-21,-1.5192482654203672
2013-10-22,-1.4422319106198662
2013-10-23,-1.3843957180512312
2013-10-24,-1.355172168528692
2013-10-25,-1.3025816298733888
2013-10-28,-1.2537085429178945
2013-10-29,-1.1998858122288343
2013-10-30,-1.1640471036948206
2013-10-31,-1.1616210144404677
2013-11-01,-1.1367229956103264
2013-11-04,-1.0941277908834695
2013-11-05,-1.0617849921027402
2013-11-06,-1.0329872149910055
2013-11-07,-1.0109208515937902
2013-11-08,-1.3144692112724732
2013-11-11,-1.432358227890673
2013-11-12,-1.361295621923517
2013-11-13,-1.3034828364706879
2013-11-14,-1.320148655264753
2013-11-15,-1.2687749992675912
2013-11-18,-1.2211271288339909
2013-11-19,-1.2335976120027545
2013-11-20,-1.2002750873913273
2013-11-21,-1.1707055261679298
2013-11-22,-1.2128656512228424
2013-11-25,-1.181547449768443
2013-11-26,-1.1386686087505273
2013-11-27,-1.1048659555245839
2013-11-29,-1.0810030181782604
2013-12-02,-1.047847901137578
2013-12-03,-1.0378371691561692
2013-12-04,-1.020523421717826
2013-12-05,-0.991040205101593
2013-12-06,-0.9856788681864562
2013-12-09,-1.0542411284524547
2013-12-10,-1.0156480444221963
2013-12-11,-0.9990610853257869
2013-12-12,-1.196463266029717
2013-12-13,-1.161674555178771
2013-12-16,-1.1141085631017076
2013-12-17,-1.1096992223655409
2013-12-18,-1.080804776238143
2013-12-19,-1.2482207509626093
2013-12-20,-1.2005662996438549
2013-12-23,-1.2116505610382464
2013-12-24,-1.214387938373636
2013-12-26,-1.1616464038195913
2013-12-27,-1.1231717738692548
2013-12-30,-1.0878344144882324
2013-12-31,-1.0474528591183154
2014-01-02,-1.0251866408771053
2014-01-03,-1.1073434361486203
2014-01-06,-1.0721160785247341
2014-01-07,-1.0566602148880846
2014-01-08,-1.075222833734521
2014-01-09,-1.0360850823483887
2014-01-10,-1.004984697035177
2014-01-13,-0.9775776873060902
2014-01-14,-1.2206343490156524
2014-01-15,-1.337763097246997
2014-01-16,-1.3012072738193372
2014-01-17,-1.241854976038331
2014-01-21,-1.2180367512831776
2014-01-22,-1.1794182802633812
2014-01-23,-1.1326726427774247
2014-01-24,-1.17740067632818
2014-01-27,-1.630116739009859
2014-01-28,-1.6136498648160842
2014-01-29,-1.5332707760457454
2014-01-30,-1.573395020553906
2014-01-31,-1.643048102887568
2014-02-03,-1.5852267972013039
2014-02-04,-2.0273953177877906
2014-02-05,-1.929979201208033
2014-02-06,-1.8226876303407085
2014-02-07,-1.8058658091580597
2014-02-10,-1.849038118567903
2014-02-11,-1.7385141070449666
2014-02-12,-1.713199209336512
2014-02-13,-1.6097784887904623
2014-02-14,-1.554028448678679
2014-02-18,-1.4738090491163343
2014-02-19,-1.4042300151692266
2014-02-20,-1.3989793412985445
2014-02-21,-1.3538846582781852
2014-02-24,-1.2909935351469526
2014-02-25,-1.2606131529530658
2014-02-26,-1.205759532768166
2014-02-27,-1.1515748872239906
2014-02-28,-1.1264731994292274
2014-03-03,-1.0874657792113183
2014-03-04,-1.1341460808977915
2014-03-05,-1.3523756840633292
2014-03-06,-1.2809004992157924
2014-03-07,-1.2194391001396163
2014-03-10,-1.171313297372168
2014-03-11,-1.120703217225946
2014-03-12,-1.1314173781578138
2014-03-13,-1.08740830901591
2014-03-14,-1.2890679547757602
2014-03-17,-1.2441348927049205
2014-03-18,-1.26003092831875
2014-03-19,-1.286221780702306
2014-03-20,-1.278126316118214
2014-03-21,-1.2332999637763986
2014-03-24,-1.2451966906732022
2014-03-25,-1.285767659280153
2014-03-26,-1.2309763391394355
2014-03-27,-1.324708358298631
2014-03-28,-1.280852415510455
2014-03-31,-1.2287382683015535
2014-04-01,-1.2472032799000008
2014-04-02,-1.317255957598705
2014-04-03,-1.2547633715246707
2014-04-04,-1.2434735193082953
2014-04-07,-1.6047333377888353
2014-04-08,-1.6566059942422275
2014-04-09,-1.5770719152724515
2014-04-10,-1.6393992692940977
2014-04-11,-2.146379814783152
2014-04-14,-2.106980815757811
2014-04-15,-1.9914433520454893
2014-04-16,-1.8740628345877992
2014-04-17,-1.8442397521666303
2014-04-21,-1.724113959484762
2014-04-22,-1.6318810943454285
2014-04-23,-1.5665974967594576
2014-04-24,-1.5130991211908609
2014-04-25,-1.4330850432327769
2014-04-28,-1.543694241353598
2014-04-29,-1.4581593353361502
2014-04-30,-1.4018795606473637
2014-05-01,-1.3291783999073399
2014-05-02,-1.2612730398599632
2014-05-05,-1.2029213170367945
2014-05-06,-1.152211167822312
2014-05-07,-1.288144336288523
2014-05-08,-1.250149699548131
2014-05-09,-1.2053579144189286
2014-05-12,-1.156969298250191
2014-05-13,-1.2917656205661932
2014-05-14,-1.238456510520564
2014-05-15,-1.2346038408819624
2014-05-16,-1.2898921765316522
2014-05-19,-1.2396443332124518
2014-05-20,-1.2148658157846344
2014-05-21,-1.2289160673445936
2014-05-22,-1.2352449914668393
2014-05-23,-1.1897907512900303
2014-05-27,-1.1652843482860014
2014-05-28,-1.1949885393412798
2014-05-29,-1.1499960372275582
2014-05-30,-1.124595211750475
2014-06-02,-1.083060361837715
2014-06-03,-1.0416285286592208
2014-06-04,-1.004933996574043
2014-06-05,-0.9740217685455277
2014-06-06,-1.0226938696787256
2014-06-09,-1.0127346600997222
2014-06-10,-0.979006180282166
2014-06-11,-0.9460935843801672
2014-06-12,-0.9400179845210173
2014-06-13,-1.0200586905094866
2014-06-16,-0.9878031265399683
2014-06-17,-0.9542255707905561
2014-06-18,-0.9292057564744854
2014-06-19,-0.957799111494317
2014-06-20,-0.9285853862925071
2014-06-23,-0.8996064733434533
2014-06-24,-0.8745705679816058
2014-06-25,-0.9211089147009647
2014-06-26,-0.9297492444999583
2014-06-27,-0.9053183012738869
2014-06-30,-0.8861122183715121
2014-07-01,-0.8627083119412597
2014-07-02,-0.9475121452327299
2014-07-03,-0.9150159431764711
2014-07-07,-0.9230827500299136
2014-07-08,-0.9654828645578489
2014-07-09,-1.113237213406392
2014-07-10,-1.0919829473682658
2014-07-11,-1.085113298787157
2014-07-14,-1.0429403001648565
2014-07-15,-1.0252336628687013
2014-07-16,-1.0154246772058009
2014-07-17,-0.9857826880092593
2014-07-18,-1.208929162051664
2014-07-21,-1.3148936545695145
2014-07-22,-1.2534617424272765
2014-07-23,-1.2183027262832165
2014-07-24,-1.1624624596022866
2014-07-25,-1.1083630962239104
2014-07-28,-1.1047469937884455
2014-07-29,-1.0594872740520371
2014-07-30,-1.0395182393676357
2014-07-31,-1.0042841252105696
2014-08-01,-1.500096744009561
2014-08-04,-1.4281318161504721
2014-08-05,-1.3867815481065815
2014-08-06,-1.4035947390566976
2014-08-07,-1.3269098555320402
2014-08-08,-1.297609461697013
2014-08-11,-1.3189287488317727
2014-08-12,-1.2706152875234407
2014-08-13,-1.218138078023672
2014-08-14,-1.2241891694355578
2014-08-15,-1.1781970963924877
2014-08-18,-1.1273895785693078
2014-08-19,-1.1560419208837422
2014-08-20,-1.1234532625881533
2014-08-21,-1.0780036637053791
2014-08-22,-1.0375035945313846
2014-08-25,-1.0024803787746221
2014-08-26,-0.9817666528206972
2014-08-27,-0.9462931175155511
2014-08-28,-0.917615652697629
2014-08-29,-0.9033891220138595
2014-09-02,-0.8910618077832257
2014-09-03,-0.8729919142195928
2014-09-04,-0.883243706592395
2014-09-05,-0.8711308053610352
2014-09-08,-0.8724331604029949
2014-09-09,-0.8630420863263544
2014-09-10,-0.9571932869654833
2014-09-11,-0.9586318146736953
2014-09-12,-0.9259325012478021
2014-09-15,-0.9634596121793146
2014-09-16,-1.016981043754288
2014-09-17,-1.040337073943257
2014-09-18,-0.9997686325917803
2014-09-19,-0.9974354799164725
2014-09-22,-0.9710112669728751
2014-09-23,-1.0919935218361212
2014-09-24,-1.0932177301314299
2014-09-25,-1.131181441471423
2014-09-26,-1.475606957772938
2014-09-29,-1.4594027162394068
2014-09-30,-1.3820475468981828
2014-10-01,-1.319584385939301
2014-10-02,-1.4924864877083819
2014-10-03,-1.4064808830865028
2014-10-06,-1.4277395823625194
2014-10-07,-1.3667724606128564
2014-10-08,-1.5485925663764448
2014-10-09,-1.7164909654372846
2014-10-10,-1.9752104446330039
2014-10-13,-2.101904788315225
2014-10-14,-2.1540496225669528
2014-10-15,-2.0106130235836743
2014-10-16,-1.9186825753939303
2014-10-17,-1.7985914550605828
2014-10-20,-1.7809575823180324
2014-10-21,-1.7590418882979473
2014-10-22,-1.9673641127903192
2014-10-23,-1.8974546118476188
2014-10-24,-1.9049867216098824
2014-10-27,-1.8170071869614282
2014-10-28,-1.7115226178809528
2014-10-29,-1.7566813547378028
2014-10-30,-1.6622578922238862
2014-10-31,-1.5847515221032482
2014-11-03,-1.6134812375445675
2014-11-04,-1.5234253551134578
2014-11-05,-1.4550625988985102
2014-11-06,-1.3898115251921728
2014-11-07,-1.327943661080101
2014-11-10,-1.2627894013129413
2014-11-11,-1.211696453337983
2014-11-12,-1.152906212879917
2014-11-13,-1.1039025417786965
2014-11-14,-1.0542675355734419
2014-11-17,-1.011182878329966
2014-11-18,-0.9821505103354479
2014-11-19,-0.9804597290566677
2014-11-20,-0.9746446351905237
2014-11-21,-0.9519612133018879
2014-11-24,-0.9384232100006717
2014-11-25,-0.9477790545060716
2014-11-26,-0.9193450318824415
2014-11-28,-0.9096122045852442
2014-12-01,-0.8933365309288278
2014-12-02,-1.04776614877833
2014-12-03,-1.0455766266022828
2014-12-04,-1.0158436750881967
2014-12-05,-0.98296905529101
2014-12-08,-0.947887726785628
2014-12-09,-1.0274910269002189
2014-12-10,-0.9985027459583302
2014-12-11,-1.3544720912394839
2014-12-12,-1.2972313115017542
2014-12-15,-1.479238678469406
2014-12-16,-1.475133845755298
2014-12-17,-1.5182216254201206
2014-12-18,-1.7862050398242173
2014-12-19,-2.0724803139558423
2014-12-22,-1.9223228757112487
2014-12-23,-1.7866915550280147
2014-12-24,-1.6672411636451252
2014-12-26,-1.5526231165665099
2014-12-29,-1.4692955930027727
2014-12-30,-1.3722992269767122
2014-12-31,-1.331576211472215
2015-01-02,-1.3847896507757271
2015-01-05,-1.303881188332922
2015-01-06,-1.5852690840533163
2015-01-07,-1.6161754285060315
2015-01-08,-1.6266585542631888
2015-01-09,-1.7924053785667555
2015-01-12,-1.7286758039931331
2015-01-13,-1.6827270864246622
2015-01-14,-1.568577671278399
2015-01-15,-1.5013510146548563
2015-01-16,-1.57556450098416
2015-01-20,-1.6309301741285316
2015-01-21,-1.5197754351758914
2015-01-22,-1.4249791771056926
2015-01-23,-1.5911081871801753
2015-01-26,-1.5011153956659433
2015-01-27,-1.4022469304197296
2015-01-28,-1.6306635304710695
2015-01-29,-1.680289017175798
2015-01-30,-1.6333710104611407
2015-02-02,-1.680761410144174
2015-02-03,-1.665202113947926
2015-02-04,-1.6863501633626476
2015-02-05,-1.579342031730064
2015-02-06,-1.5577907742349586
2015-02-09,-1.4706870469553164
2015-02-10,-1.396175996855978
2015-02-11,-1.4393483900168986
2015-02-12,-1.3400828716478075
2015-02-13,-1.3673128780859234
2015-02-17,-1.304273689488149
2015-02-18,-1.2190910035105267
2015-02-19,-1.1455408667287328
2015-02-20,-1.0882014172767616
2015-02-23,-1.0765999527113979
2015-02-24,-1.0216932060334503
2015-02-25,-0.9763500264431181
2015-02-26,-0.9386137566378906
2015-02-27,-0.9155762685574235
2015-03-02,-0.9271856897222811
2015-03-03,-0.9694741278496835
2015-03-04,-0.9938700789766718
2015-03-05,-0.9898362876508203
2015-03-06,-0.9498435704697842
2015-03-09,-1.2257622552270893
2015-03-10,-1.159237327345646
2015-03-11,-1.5193290764229495
2015-03-12,-1.4105474003988232
2015-03-13,-1.4387842860617575
2015-03-16,-1.3821058857159556
2015-03-17,-1.4590398359229908
2015-03-18,-1.3612341960067413
2015-03-19,-1.3948644552198728
2015-03-20,-1.31683669078035
2015-03-23,-1.2957203328407605
2015-03-24,-1.2230804356531633
2015-03-25,-1.1961508876283675
2015-03-26,-1.6290164205914495
2015-03-27,-1.5130449743484253
2015-03-30,-1.4118737850988767
2015-03-31,-1.4653611367458743
2015-04-01,-1.4835971303900533
2015-04-02,-1.4031127999147806
2015-04-06,-1.3094777569237057
2015-04-07,-1.265694290927546
2015-04-08,-1.1940604939469788
2015-04-09,-1.156186015720242
2015-04-10,-1.111595504391287
2015-04-13,-1.0801988513164609
2015-04-14,-1.0585430699759055
2015-04-15,-1.0133390199146672
2015-04-16,-1.0121674777667722
2015-04-17,-0.9705454433815286
2015-04-20,-1.2492515043184558
2015-04-21,-1.3095510234546168
2015-04-22,-1.2305036231771191
2015-04-23,-1.177944015569389
2015-04-24,-1.1174170060168889
2015-04-27,-1.0787480860379324
2015-04-28,-1.085161005608075
2015-04-29,-1.0367634350433432
2015-04-30,-1.0470396766804833
2015-05-01,-1.2950458575076123
2015-05-04,-1.3748792472512714
2015-05-05,-1.2829371988405682
2015-05-06,-1.47406746347861
2015-05-07,-1.3982219371479125
2015-05-08,-1.3166569970203992
2015-05-11,-1.421111287725236
2015-05-12,-1.3499568624530753
2015-05-13,-1.280452911544649
2015-05-14,-1.1969984966141192
2015-05-15,-1.3074795070648602
2015-05-18,-1.2201873186499361
2015-05-19,-1.16404440818344
2015-05-20,-1.101911275042619
2015-05-21,-1.0468779839423756
2015-05-22,-1.0025217004061946
2015-05-26,-0.9695789403910321
2015-05-27,-1.1575862990920947
2015-05-28,-1.2639167270191862
2015-05-29,-1.189694710167752
2015-06-01,-1.1913285173096075
2015-06-02,-1.1213310605156879
2015-06-03,-1.0680347961527192
2015-06-04,-1.0245454000878305
2015-06-05,-1.1193333086181443
2015-06-08,-1.062541500081407
2015-06-09,-1.1244212754302625
2015-06-10,-1.0681929789895992
2015-06-11,-1.212857125264988
2015-06-12,-1.1424872539323205
2015-06-15,-1.1653748406124371
2015-06-16,-1.1422994885082423
2015-06-17,-1.114508884389245
2015-06-18,-1.0600661153735311
2015-06-19,-1.1809383463048173
