,Copula-GARCH frank
2013-10-17,-2.124392960445027
2013-10-18,-2.048471291944049
2013-10-21,-2.0367313037651154
2013-10-22,-1.9562491653946572
2013-10-23,-1.8678157605553738
2013-10-24,-1.8275564399921587
2013-10-25,-1.7475795488436296
2013-10-28,-1.7047476179320644
2013-10-29,-1.623079908602579
2013-10-30,-1.585425676979418
2013-10-31,-1.567181263081542
2013-11-01,-1.548354753127462
2013-11-04,-1.4915904566862646
2013-11-05,-1.448418142785046
2013-11-06,-1.4099490520404634
2013-11-07,-1.3706469906940222
2013-11-08,-1.7849714428819277
2013-11-11,-1.9223739073322759
2013-11-12,-1.8327592585017465
2013-11-13,-1.7703338892745615
2013-11-14,-1.7934559273183006
2013-11-15,-1.7248196569817449
2013-11-18,-1.6613818169469914
2013-11-19,-1.6780971370499067
2013-11-20,-1.633630703799805
2013-11-21,-1.581134548431528
2013-11-22,-1.633919819260551
2013-11-25,-1.5925632449725855
2013-11-26,-1.5391246513922479
2013-11-27,-1.4951324205755234
2013-11-29,-1.4615534048084184
2013-12-02,-1.4224624112029434
2013-12-03,-1.41708977159152
2013-12-04,-1.3803524862128744
2013-12-05,-1.3541837321629508
2013-12-06,-1.3463594413053395
2013-12-09,-1.437777237373252
2013-12-10,-1.3865323388526853
2013-12-11,-1.3541526126245702
2013-12-12,-1.6139626480329474
2013-12-13,-1.565119214219585
2013-12-16,-1.5169985485044621
2013-12-17,-1.5114520076126288
2013-12-18,-1.460696502052471
2013-12-19,-1.6967117274800578
2013-12-20,-1.6331130143672081
2013-12-23,-1.638269224068768
2013-12-24,-1.635516378529055
2013-12-26,-1.5827670095246802
2013-12-27,-1.5152565935450695
2013-12-30,-1.4702257026056522
2013-12-31,-1.4187504870057643
2014-01-02,-1.400973009343059
2014-01-03,-1.5098160504657303
2014-01-06,-1.4512405533417785
2014-01-07,-1.4425555860983106
2014-01-08,-1.4568347286013446
2014-01-09,-1.4052825741488146
2014-01-10,-1.3669111158272067
2014-01-13,-1.3230439486513557
2014-01-14,-1.6496258549267466
