,Copula-GARCH gaussian
2013-10-17,-2.266370400756576
2013-10-18,-2.185599549973357
2013-10-21,-2.1750679256814185
2013-10-22,-2.0673968431575886
2013-10-23,-1.9859833333340704
2013-10-24,-1.9447617942040194
2013-10-25,-1.870994066274774
2013-10-28,-1.8023560939471535
2013-10-29,-1.7268465938663398
2013-10-30,-1.676705602045578
2013-10-31,-1.6727814003764294
2013-11-01,-1.6376136148371647
2013-11-04,-1.5778158801237216
2013-11-05,-1.5321242389354515
2013-11-06,-1.4916759604258276
2013-11-07,-1.4606513163719081
2013-11-08,-1.8864306794406418
2013-11-11,-2.052731348362783
2013-11-12,-1.95297164564816
2013-11-13,-1.8716789293897482
2013-11-14,-1.8959389451207904
2013-11-15,-1.8236630755522933
2013-11-18,-1.7568730285966603
2013-11-19,-1.7737905962738594
2013-11-20,-1.7267708207097567
2013-11-21,-1.6850128957131567
2013-11-22,-1.7449986912959783
2013-11-25,-1.70118831131965
2013-11-26,-1.6404674225019846
2013-11-27,-1.5932434858859073
2013-11-29,-1.5597628040883424
2013-12-02,-1.5130283509564477
2013-12-03,-1.4980636870036326
2013-12-04,-1.4735143104399133
2013-12-05,-1.4321254739291722
2013-12-06,-1.4241174636442273
2013-12-09,-1.5211173004723375
2013-12-10,-1.4670872520722502
2013-12-11,-1.4436096905055198
2013-12-12,-1.7203606137949758
2013-12-13,-1.6713054078162952
2013-12-16,-1.60447165352538
2013-12-17,-1.5985968679316285
2013-12-18,-1.557909658440505
2013-12-19,-1.794148616610849
2013-12-20,-1.727213405361689
2013-12-23,-1.7431440821493693
2013-12-24,-1.7477118830027927
2013-12-26,-1.6737310056751407
2013-12-27,-1.6197512136144097
2013-12-30,-1.5696653864901635
2013-12-31,-1.5129771333949829
2014-01-02,-1.4820074268705514
2014-01-03,-1.5969551163883045
2014-01-06,-1.5473318452193148
2014-01-07,-1.5257776040006203
2014-01-08,-1.5523366864342483
2014-01-09,-1.4978784348740417
2014-01-10,-1.4539884812423727
2014-01-13,-1.4155057663289516
2014-01-14,-1.7560691008679523
2014-01-15,-1.9213340939898595
2014-01-16,-1.870036558861188
2014-01-17,-1.786391621659403
2014-01-21,-1.7524221889290537
2014-01-22,-1.6982043897219012
2014-01-23,-1.6322991145060606
2014-01-24,-1.694533373633804
2014-01-27,-2.3299985314166918
2014-01-28,-2.306066550406762
2014-01-29,-2.193166289758328
2014-01-30,-2.2491683316574114
2014-01-31,-2.347557421258654
2014-02-03,-2.266155314740986
2014-02-04,-2.8870306379512893
2014-02-05,-2.750201234394496
2014-02-06,-2.59890150609393
2014-02-07,-2.5754427297296547
2014-02-10,-2.636630702805285
2014-02-11,-2.4815211005195543
2014-02-12,-2.4458762816513855
2014-02-13,-2.3006897535196655
2014-02-14,-2.2227504952295107
2014-02-18,-2.1098877495698307
2014-02-19,-2.0122382930419556
2014-02-20,-2.0047668756672197
2014-02-21,-1.942646902357048
2014-02-24,-1.8539373484455672
2014-02-25,-1.8112921902655428
2014-02-26,-1.733916110113086
2014-02-27,-1.6573200038224802
2014-02-28,-1.62237494429271
2014-03-03,-1.5675109728202414
2014-03-04,-1.6326607024931312
2014-03-05,-1.940077748980605
2014-03-06,-1.839718991940763
2014-03-07,-1.7535416716445873
2014-03-10,-1.686896187720764
2014-03-11,-1.6156806586233234
2014-03-12,-1.6301202124048602
2014-03-13,-1.5680439642758022
2014-03-14,-1.8503919418560413
2014-03-17,-1.7867413591476788
2014-03-18,-1.809034835703957
