,Copula-GARCH gumbel
2013-10-17,-1.554902631225191
2013-10-18,-1.4985254474084284
2013-10-21,-1.490877573453848
2013-10-22,-1.4149388807493464
2013-10-23,-1.3579497714058908
2013-10-24,-1.3293591577092465
2013-10-25,-1.2778137965153307
2013-10-28,-1.2299474426052552
2013-10-29,-1.1770674289224343
2013-10-30,-1.1418036398787565
2013-10-31,-1.1393916864592566
2013-11-01,-1.1149631309901593
2013-11-04,-1.0731253976964807
2013-11-05,-1.0413848347214707
2013-11-06,-1.0130603743147466
2013-11-07,-0.9914146224490877
2013-11-08,-1.2898947335316444
2013-11-11,-1.4060080632335132
2013-11-12,-1.3362142171242368
2013-11-13,-1.279399655345103
2013-11-14,-1.2957530835704378
2013-11-15,-1.2451844194916823
2013-11-18,-1.198360347098345
2013-11-19,-1.2106469631464463
2013-11-20,-1.1779279056958556
2013-11-21,-1.1488271748348693
2013-11-22,-1.190255894128579
2013-11-25,-1.1594837449233928
2013-11-26,-1.1173260476874667
2013-11-27,-1.0840699344502267
2013-11-29,-1.0606736378011885
2013-12-02,-1.0280200218990885
2013-12-03,-1.0181809874984644
2013-12-04,-1.0010971141536846
2013-12-05,-0.9721148045145129
2013-12-06,-0.9667223049475268
2013-12-09,-1.0337659299648834
2013-12-10,-0.9958612416194751
2013-12-11,-0.9795970445735137
2013-12-12,-1.1735830447400053
2013-12-13,-1.1393705485625636
2013-12-16,-1.092664505090742
2013-12-17,-1.0882815708650118
2013-12-18,-1.0598741510306204
2013-12-19,-1.2241264281975908
2013-12-20,-1.1773912838985063
2013-12-23,-1.188208801773106
2013-12-24,-1.1907001469091214
2013-12-26,-1.1389393443372946
2013-12-27,-1.10124418717327
2013-12-30,-1.0665060468923067
2013-12-31,-1.0268850378203191
2014-01-02,-1.005090145437562
2014-01-03,-1.085759209042122
2014-01-06,-1.0511373876804637
2014-01-07,-1.0357978559302154
2014-01-08,-1.0541237493490738
2014-01-09,-1.0155342352716792
2014-01-10,-0.985029603223604
2014-01-13,-0.9581485033729636
2014-01-14,-1.1969362982730956
2014-01-15,-1.3121878752245766
2014-01-16,-1.2763305769762343
2014-01-17,-1.2179389001254475
2014-01-21,-1.194595575906938
2014-01-22,-1.1566677015610172
2014-01-23,-1.110682517806353
2014-01-24,-1.1544358517853757
2014-01-27,-1.5991869107465992
2014-01-28,-1.5828993410078929
2014-01-29,-1.5040449722135956
2014-01-30,-1.5434794337238948
2014-01-31,-1.6120098028664407
2014-02-03,-1.5551699931464535
2014-02-04,-1.9895142601211369
2014-02-05,-1.8939260050735738
2014-02-06,-1.788517859059687
2014-02-07,-1.7719216417638097
2014-02-10,-1.8144400911622403
2014-02-11,-1.7058998107109227
2014-02-12,-1.6809371946080254
2014-02-13,-1.5793449958130883
2014-02-14,-1.524598507576705
2014-02-18,-1.4457352343267253
2014-02-19,-1.3773531876073688
2014-02-20,-1.3722110722421483
2014-02-21,-1.3278942155227915
2014-02-24,-1.2661641722235804
2014-02-25,-1.23631399516519
2014-02-26,-1.1824103111951771
2014-02-27,-1.1292799374670341
2014-02-28,-1.1046228051027933
2014-03-03,-1.0662098833253897
2014-03-04,-1.1119792008861757
2014-03-05,-1.3263184497558445
2014-03-06,-1.2561223730054092
2014-03-07,-1.1957225271328331
2014-03-10,-1.148382918054004
2014-03-11,-1.0987017947899087
2014-03-12,-1.109212179589236
2014-03-13,-1.066049640784969
2014-03-14,-1.2640926081694608
2014-03-17,-1.2200172407968184
2014-03-18,-1.2354642818892487
2014-03-19,-1.261199520042169
2014-03-20,-1.2531930584206945
2014-03-21,-1.2090528396909206
2014-03-24,-1.2208450570254117
2014-03-25,-1.2608775858793475
2014-03-26,-1.2069237433317201
2014-03-27,-1.2992700155038786
2014-03-28,-1.2562109727071706
2014-03-31,-1.2048139642033469
2014-04-01,-1.2229200654832713
2014-04-02,-1.2918858233579371
2014-04-03,-1.2303954742659922
2014-04-04,-1.2194770635575072
2014-04-07,-1.575152234149464
2014-04-08,-1.6254286127801758
2014-04-09,-1.5473665455778227
2014-04-10,-1.6086836646277092
2014-04-11,-2.106670472910615
2014-04-14,-2.0679019571482913
2014-04-15,-1.9541360052399845
2014-04-16,-1.8386588306352223
2014-04-17,-1.8093688667308876
2014-04-21,-1.691428630880702
2014-04-22,-1.6008649912053206
2014-04-23,-1.5368244340865158
2014-04-24,-1.4843780761265206
2014-04-25,-1.4057475512707007
2014-04-28,-1.5147518084986842
2014-04-29,-1.43057806578638
2014-04-30,-1.3752882578374654
2014-05-01,-1.3037952816305565
