,Copula-GARCH plackett
2013-10-17,-1.562748529530033
2013-10-18,-1.5060142751538985
2013-10-21,-1.4983506791695942
2013-10-22,-1.422303736698735
2013-10-23,-1.3650999447283958
2013-10-24,-1.3363275333562739
2013-10-25,-1.284475702894452
2013-10-28,-1.2363036831061203
2013-10-29,-1.1831135458070312
2013-10-30,-1.147630526982002
2013-10-31,-1.145259043073768
2013-11-01,-1.120679290492849
2013-11-04,-1.078601613999
2013-11-05,-1.0467657292142603
2013-11-06,-1.018273397490311
2013-11-07,-0.9964917469007706
2013-11-08,-1.2962697455285308
2013-11-11,-1.4127622118054852
2013-11-12,-1.3425958160338127
2013-11-13,-1.285527868732534
2013-11-14,-1.3019674310963922
2013-11-15,-1.251183386199789
2013-11-18,-1.2041573761794142
2013-11-19,-1.216511494356331
2013-11-20,-1.1836270310731474
2013-11-21,-1.1543789589994011
2013-11-22,-1.1959963783071919
2013-11-25,-1.165058262233501
2013-11-26,-1.1227324742864475
2013-11-27,-1.089337543414332
2013-11-29,-1.0658044593416132
2013-12-02,-1.0330242161249994
2013-12-03,-1.023180757897865
2013-12-04,-1.0060311316045072
2013-12-05,-0.976924376461545
2013-12-06,-0.9715414301680105
2013-12-09,-1.0390046923916227
2013-12-10,-1.0009493521664181
2013-12-11,-0.9846202216710749
2013-12-12,-1.1794243787797092
2013-12-13,-1.1450377941384426
2013-12-16,-1.098145622235725
2013-12-17,-1.0937883385973217
2013-12-18,-1.0652529374603923
2013-12-19,-1.2303670913900602
2013-12-20,-1.1833609536125638
2013-12-23,-1.194317041085819
2013-12-24,-1.1969803051445869
2013-12-26,-1.1449396141804513
2013-12-27,-1.1069745997108942
2013-12-30,-1.0720874676942238
2013-12-31,-1.0322906538100802
2014-01-02,-1.0103890636035797
2014-01-03,-1.0914667384256003
2014-01-06,-1.0566482360507405
2014-01-07,-1.0413247416732083
2014-01-08,-1.0597003311776778
2014-01-09,-1.0210271440154073
2014-01-10,-0.9903226233805621
2014-01-13,-0.9632574763457635
2014-01-14,-1.2031254285889383
2014-01-15,-1.3187853995374819
2014-01-16,-1.2827545908660076
2014-01-17,-1.2241082562414658
2014-01-21,-1.2006553456654756
2014-01-22,-1.162528274599495
2014-01-23,-1.1163369120385154
2014-01-24,-1.1603243772262344
2014-01-27,-1.6070512452909431
2014-01-28,-1.5907858580170993
2014-01-29,-1.5115001413269573
2014-01-30,-1.5511487729746252
2014-01-31,-1.6199944886743523
2014-02-03,-1.562865502239573
2014-02-04,-1.9991815191037403
2014-02-05,-1.9031920722473954
2014-02-06,-1.7972868595126152
2014-02-07,-1.7806374441952826
2014-02-10,-1.823364094527385
2014-02-11,-1.714338097170324
2014-02-12,-1.68926446786072
2014-02-13,-1.5871749969776512
2014-02-14,-1.532157806011182
2014-02-18,-1.4529220932175162
2014-02-19,-1.3842578964099657
2014-02-20,-1.3791266427725695
2014-02-21,-1.334596849665914
2014-02-24,-1.2725752380501336
2014-02-25,-1.2425909680055922
2014-02-26,-1.188469068863228
2014-02-27,-1.135073564510166
2014-02-28,-1.110313235076122
2014-03-03,-1.0717422797190235
2014-03-04,-1.1177406117544917
2014-03-05,-1.333023115906274
2014-03-06,-1.262520721928577
2014-03-07,-1.2018247589581659
2014-03-10,-1.1542192429155065
2014-03-11,-1.1043386116452016
2014-03-12,-1.114921702676642
2014-03-13,-1.0715157283592933
2014-03-14,-1.270460855512829
2014-03-17,-1.2261999664763323
