,Copula-GARCH rotated_clayton
2013-10-17,-1.9706375672490917
2013-10-18,-1.900353395516929
2013-10-21,-1.8917645474002918
2013-10-22,-1.7967749811357538
2013-10-23,-1.7248519367253534
2013-10-24,-1.6891428565974325
2013-10-25,-1.6250717017216614
2013-10-28,-1.5653940298417066
2013-10-29,-1.4993878173787043
2013-10-30,-1.4550156673070458
2013-10-31,-1.4515765439008856
2013-11-01,-1.4207500655968375
2013-11-04,-1.3684164735267037
2013-11-05,-1.3287160478759443
2013-11-06,-1.293040110067033
2013-11-07,-1.266012862785917
2013-11-08,-1.6408550364907737
2013-11-11,-1.7870713587031186
2013-11-12,-1.6998171777725741
2013-11-13,-1.6284225838055957
2013-11-14,-1.6498123799647328
2013-11-15,-1.5860102065392738
2013-11-18,-1.5273417922944208
2013-11-19,-1.5434522384489506
2013-11-20,-1.502554579939444
2013-11-21,-1.4654722146766543
2013-11-22,-1.5183580988000986
2013-11-25,-1.4797574552457993
2013-11-26,-1.426421364248049
2013-11-27,-1.3852332497120492
2013-11-29,-1.356494549470638
2013-12-02,-1.315307419083505
2013-12-03,-1.3021777669753154
2013-12-04,-1.2800128715072177
2013-12-05,-1.2434599074193078
2013-12-06,-1.235450700692113
2013-12-09,-1.3180219295760571
2013-12-10,-1.2707895046846172
2013-12-11,-1.250336134570854
2013-12-12,-1.493080229137389
2013-12-13,-1.4499736195916895
2013-12-16,-1.3916032339533089
2013-12-17,-1.3863258908434386
2013-12-18,-1.350617485557881
2013-12-19,-1.5561507153632084
2013-12-20,-1.4976412421574503
2013-12-23,-1.5113924054366115
2013-12-24,-1.5151652597683807
2013-12-26,-1.4505856217202073
2013-12-27,-1.4036360119834885
2013-12-30,-1.3599875884488997
2013-12-31,-1.3105697516589156
2014-01-02,-1.2837131676929305
2014-01-03,-1.3836606975990602
2014-01-06,-1.3404406687276105
2014-01-07,-1.3214204144203539
2014-01-08,-1.3452186267544102
2014-01-09,-1.2971506900873035
2014-01-10,-1.2591148449485414
2014-01-13,-1.2256845105151137
2014-01-14,-1.523429410195571
2014-01-15,-1.6698490118424631
2014-01-16,-1.6252400110480372
2014-01-17,-1.5516905778030141
2014-01-21,-1.5221982740967013
2014-01-22,-1.4751305158714112
2014-01-23,-1.4173746088321812
2014-01-24,-1.4696681259370963
2014-01-27,-2.024680869105619
2014-01-28,-2.004280110263065
2014-01-29,-1.9055820596210689
2014-01-30,-1.9546237856822073
2014-01-31,-2.041892694434549
2014-02-03,-1.9701980957877638
2014-02-04,-2.513020545920834
2014-02-05,-2.3936737968399555
2014-02-06,-2.2616850988382113
2014-02-07,-2.240374099623869
2014-02-10,-2.294393607950101
2014-02-11,-2.1590283425946004
2014-02-12,-2.1271514187451914
2014-02-13,-2.000258177716863
2014-02-14,-1.932493713988979
2014-02-18,-1.8334765557359338
2014-02-19,-1.748372197538325
2014-02-20,-1.741938139708801
2014-02-21,-1.6872350421304803
2014-02-24,-1.609815820928889
2014-02-25,-1.5723955557338587
2014-02-26,-1.5046888408584083
2014-02-27,-1.4380273342521623
2014-02-28,-1.4074383454378931
2014-03-03,-1.3593755991705352
2014-03-04,-1.4156553713808164
2014-03-05,-1.6840993981974353
2014-03-06,-1.5964197295436064
2014-03-07,-1.5211204003451315
2014-03-10,-1.462887613439395
2014-03-11,-1.400712700517741
2014-03-12,-1.4134317145918984
2014-03-13,-1.359523304161495
2014-03-14,-1.6066851169549519
2014-03-17,-1.5513153086545126
2014-03-18,-1.5695626681884425
2014-03-19,-1.6029366632053836
2014-03-20,-1.5921373917512833
2014-03-21,-1.5362702191553919
2014-03-24,-1.5523114061111667
2014-03-25,-1.604571674369654
2014-03-26,-1.5361119495123685
2014-03-27,-1.6543324279056366
2014-03-28,-1.6004483850037183
2014-03-31,-1.5348001188821714
2014-04-01,-1.5573194061360962
2014-04-02,-1.6476512870808055
2014-04-03,-1.5694133900754161
2014-04-04,-1.5579624965423668
2014-04-07,-2.0120201160505253
2014-04-08,-2.0697589635981037
2014-04-09,-1.9719803510621792
2014-04-10,-2.049049718266163
2014-04-11,-2.6727407375346863
2014-04-14,-2.622949328730203
2014-04-15,-2.477750548745096
2014-04-16,-2.3311702364009763
2014-04-17,-2.29362204677493
2014-04-21,-2.145745126811422
2014-04-22,-2.0321322998071065
2014-04-23,-1.952860654286842
2014-04-24,-1.8884265821898656
2014-04-25,-1.789640859565455
2014-04-28,-1.9301788220303981
2014-04-29,-1.8234247431478812
2014-04-30,-1.753448358540046
2014-05-01,-1.6628328029463462
2014-05-02,-1.578402240412685
2014-05-05,-1.505678458632987
2014-05-06,-1.4429028784140734
2014-05-07,-1.609698076368098
2014-05-08,-1.5613040839974084
2014-05-09,-1.50625726803
2014-05-12,-1.4466026181689657
2014-05-13,-1.615543578474523
2014-05-14,-1.5497089943198217
2014-05-15,-1.5439576073349461
2014-05-16,-1.6068390348188815
2014-05-19,-1.545141676274112
2014-05-20,-1.5155081614365453
2014-05-21,-1.5313611367879871
2014-05-22,-1.5381675928763863
2014-05-23,-1.4823764331185958
2014-05-27,-1.4528850414776273
2014-05-28,-1.4914736205951356
2014-05-29,-1.4362889786673754
2014-05-30,-1.4043882725244745
2014-06-02,-1.3526825758624519
2014-06-03,-1.3017753056726125
2014-06-04,-1.2564308178569616
2014-06-05,-1.2191005055431652
2014-06-06,-1.2797211542596607
2014-06-09,-1.2666756720641843
2014-06-10,-1.225341992703269
2014-06-11,-1.184918070470162
2014-06-12,-1.1760339782225397
2014-06-13,-1.2732057368968237
2014-06-16,-1.2339078310276168
2014-06-17,-1.1926510680872586
2014-06-18,-1.162171283408382
2014-06-19,-1.1961319537637987
2014-06-20,-1.160211162949152
2014-06-23,-1.1249593370191635
2014-06-24,-1.0942340637953076
2014-06-25,-1.1504413448153021
2014-06-26,-1.161833392113408
2014-06-27,-1.1314566239146067
2014-06-30,-1.108108640372806
2014-07-01,-1.0794121347546997
2014-07-02,-1.18495395785572
2014-07-03,-1.144967828962837
2014-07-07,-1.1548581085551617
2014-07-08,-1.2077318003759145
2014-07-09,-1.3923568511233169
2014-07-10,-1.3654944360435284
2014-07-11,-1.3561660416587722
2014-07-14,-1.3044768568430951
2014-07-15,-1.2823130235357818
2014-07-16,-1.2707847769286311
2014-07-17,-1.2332611463793017
2014-07-18,-1.5053272229814154
