,Copula-GARCH rotated_gumbel
2013-10-17,-1.5814321471774406
2013-10-18,-1.524069347289075
2013-10-21,-1.5163120203408516
2013-10-22,-1.439409067799871
2013-10-23,-1.3816567896675014
2013-10-24,-1.3524972629451166
2013-10-25,-1.3000173648874964
2013-10-28,-1.2512556449847023
2013-10-29,-1.1975296032736384
2013-10-30,-1.1617491761586642
2013-10-31,-1.1593248131541456
2013-11-01,-1.1344739715869196
2013-11-04,-1.0919542465985748
2013-11-05,-1.0596701835621847
2013-11-06,-1.0309220672457782
2013-11-07,-1.0088973909392998
2013-11-08,-1.3119215038956522
2013-11-11,-1.4296219722784713
2013-11-12,-1.3586668748893647
2013-11-13,-1.3009584502270364
2013-11-14,-1.317597676763077
2013-11-15,-1.2663026449519283
2013-11-18,-1.2187411326827549
2013-11-19,-1.2312016606952214
2013-11-20,-1.1979418060903815
2013-11-21,-1.1684215120030481
2013-11-22,-1.2105103720044745
2013-11-25,-1.1792505487728244
2013-11-26,-1.1364434044258516
2013-11-27,-1.1026880109502835
2013-11-29,-1.0788699351406617
2013-12-02,-1.0457630414311088
2013-12-03,-1.0357673835623278
2013-12-04,-1.0184780907728643
2013-12-05,-0.9890435162649943
2013-12-06,-0.9836810405916038
2013-12-09,-1.0520813465299288
2013-12-10,-1.0135642709919417
2013-12-11,-0.9970130543933108
2013-12-12,-1.19405655931731
2013-12-13,-1.1593290691263303
2013-12-16,-1.1118568265514936
2013-12-17,-1.1074491836104994
2013-12-18,-1.0786080778412461
2013-12-19,-1.245693282313714
2013-12-20,-1.1981412606745767
2013-12-23,-1.2091956395431112
2013-12-24,-1.211904955325289
2013-12-26,-1.159268175283391
2013-12-27,-1.1208739665696292
2013-12-30,-1.085599037942637
2013-12-31,-1.0452992559220353
2014-01-02,-1.0230875963849155
2014-01-03,-1.1050937346508924
2014-01-06,-1.0699264495151628
2014-01-07,-1.054477618451448
2014-01-08,-1.0730190410841047
2014-01-09,-1.0339414631580728
2014-01-10,-1.00290198928031
2014-01-13,-0.9755491959857092
2014-01-14,-1.218154611650209
2014-01-15,-1.3350786928468643
2014-01-16,-1.2985978445083497
2014-01-17,-1.2393451710271293
2014-01-21,-1.215570091515352
2014-01-22,-1.1770247596407637
2014-01-23,-1.1303555063933668
2014-01-24,-1.1749917979059603
2014-01-27,-1.6268711350447078
2014-01-28,-1.610436615016068
2014-01-29,-1.5302173262582346
2014-01-30,-1.570268701025012
2014-01-31,-1.6398094134886414
2014-02-03,-1.5820913369608567
2014-02-04,-2.023428671849181
2014-02-05,-1.9262093342419957
2014-02-06,-1.8191103625384593
2014-02-07,-1.8023147781134268
2014-02-10,-1.8454194715474106
2014-02-11,-1.735101494395418
2014-02-12,-1.70982351590015
2014-02-13,-1.6065949724110966
2014-02-14,-1.5509499148393637
2014-02-18,-1.470868527699517
2014-02-19,-1.4014103226199761
2014-02-20,-1.3961735261333064
2014-02-21,-1.351159825661646
2014-02-24,-1.2883851943002076
2014-02-25,-1.2580614762832782
2014-02-26,-1.2033050962848932
2014-02-27,-1.1492299833978665
2014-02-28,-1.124179028790534
2014-03-03,-1.085233183617282
2014-03-04,-1.1318197217819388
2014-03-05,-1.3496328249463603
2014-03-06,-1.2782929300537287
2014-03-07,-1.2169407006017865
2014-03-10,-1.168893786316632
2014-03-11,-1.118383083511649
2014-03-12,-1.1290726018730022
2014-03-13,-1.0851490227837115
2014-03-14,-1.2864187328617882
2014-03-17,-1.2415738038412263
2014-03-18,-1.25742120522698
2014-03-19,-1.2835649161465796
2014-03-20,-1.2754771410237338
2014-03-21,-1.2307210357915295
2014-03-24,-1.2426125522066933
2014-03-25,-1.2831364421655325
2014-03-26,-1.228431627739955
2014-03-27,-1.3220287737890253
2014-03-28,-1.278256120700287
2014-03-31,-1.2262126567136364
2014-04-01,-1.2446453495306966
2014-04-02,-1.3145827228271545
2014-04-03,-1.2521942615845274
2014-04-04,-1.2409529628240663
2014-04-07,-1.601646021480946
2014-04-08,-1.6533594736363446
2014-04-09,-1.5739825026224197
2014-04-10,-1.6362066124775894
2014-04-11,-2.1422396787740463
2014-04-14,-2.102902074378795
2014-04-15,-1.9875441569680878
2014-04-16,-1.8703552907636387
2014-04-17,-1.840595354989667
2014-04-21,-1.7206984782011694
2014-04-22,-1.6286398763950776
2014-04-23,-1.56348548390166
2014-04-24,-1.5100980792172123
2014-04-25,-1.430222817919423
2014-04-28,-1.5406734831084359
2014-04-29,-1.455275986394768
2014-04-30,-1.3990986374131569
2014-05-01,-1.3265160568119658
2014-05-02,-1.2587201626505622
2014-05-05,-1.200472189157267
2014-05-06,-1.1498307943516468
2014-05-07,-1.2855159170239536
2014-05-08,-1.247534623784888
2014-05-09,-1.202841578254899
2014-05-12,-1.1545438309635596
2014-05-13,-1.2890979168601762
2014-05-14,-1.2358897765674721
2014-05-15,-1.2320368561124784
2014-05-16,-1.2871999287151865
2014-05-19,-1.2370536376875207
2014-05-20,-1.2123234196202852
2014-05-21,-1.226329553824899
2014-05-22,-1.2326397314470843
2014-05-23,-1.1872724140036905
2014-05-27,-1.1628196719873762
2014-05-28,-1.1924765477758112
2014-05-29,-1.1475609156967053
2014-05-30,-1.122202928667759
2014-06-02,-1.0807418774921105
2014-06-03,-1.0393871663775516
2014-06-04,-1.0027635528470016
2014-06-05,-0.9719083829846471
2014-06-06,-1.0204909045420762
2014-06-09,-1.0105447111313428
2014-06-10,-0.9768835451119438
2014-06-11,-0.9440334986562768
2014-06-12,-0.937960429453257
2014-06-13,-1.017837064106534
2014-06-16,-0.9856424277388679
2014-06-17,-0.9521313678453112
2014-06-18,-0.9271719666102105
2014-06-19,-0.9556983729649743
2014-06-20,-0.9265360984627509
2014-06-23,-0.8976188979344323
2014-06-24,-0.872633965413009
2014-06-25,-0.919076960601423
2014-06-26,-0.9277202083645052
2014-06-27,-0.9033322702982065
2014-06-30,-0.8841649754295609
2014-07-01,-0.8608100612992365
2014-07-02,-0.9454440600391109
2014-07-03,-0.9130106202686341
2014-07-07,-0.9210632029348008
2014-07-08,-0.9633940860041208
2014-07-09,-1.11090217735453
2014-07-10,-1.089682961585074
2014-07-11,-1.0828246768883143
2014-07-14,-1.0407365848533543
2014-07-15,-1.0230675691132647
2014-07-16,-1.0132862816146877
2014-07-17,-0.9836866562418821
2014-07-18,-1.2063891573035657
2014-07-21,-1.3121552100564895
2014-07-22,-1.2508334902494411
2014-07-23,-1.215749912138878
2014-07-24,-1.1600138364152215
2014-07-25,-1.1060194846915932
2014-07-28,-1.102377425115578
2014-07-29,-1.057196896989317
2014-07-30,-1.0372603491709262
2014-07-31,-1.0020923050808925
2014-08-01,-1.4969175369498116
2014-08-04,-1.4250742359179538
2014-08-05,-1.3838208046795732
2014-08-06,-1.4005885721161448
2014-08-07,-1.3240658559911909
2014-08-08,-1.2948329743526825
2014-08-11,-1.3160650133042884
2014-08-12,-1.2678550509953321
2014-08-13,-1.2154786622943872
2014-08-14,-1.2215141212154739
2014-08-15,-1.1756228661547934
2014-08-18,-1.1249218546227744
2014-08-19,-1.1535316054471216
2014-08-20,-1.1210237193298154
2014-08-21,-1.0756554800399156
2014-08-22,-1.0352295169515449
2014-08-25,-1.0002738679509204
2014-08-26,-0.9796034500721957
2014-08-27,-0.9441949313195529
2014-08-28,-0.9155710777570015
2014-08-29,-0.9013771892840384
2014-09-02,-0.8890799825982679
2014-09-03,-0.8710442074500229
2014-09-04,-0.8812869428370725
2014-09-05,-0.8691993469500175
2014-09-08,-0.870493415866484
2014-09-09,-0.861106022481149
2014-09-10,-0.9550773162340062
2014-09-11,-0.9565172450304144
2014-09-12,-0.9238872787846781
2014-09-15,-0.961334036165336
2014-09-16,-1.0148010833968368
2014-09-17,-1.038099308887511
2014-09-18,-0.9976108297249692
2014-09-19,-0.9952880028780202
2014-09-22,-0.9689188781450523
2014-09-23,-1.0896679193355014
2014-09-24,-1.090881595845606
2014-09-25,-1.1287733099289594
2014-09-26,-1.4725086961998761
2014-09-29,-1.456349366313363
2014-09-30,-1.3791503942745231
2014-10-01,-1.3168133304547425
2014-10-02,-1.4893734229183306
2014-10-03,-1.403541387662256
2014-10-06,-1.4247605506959231
2014-10-07,-1.3639096773559538
2014-10-08,-1.5453646871115763
2014-10-09,-1.7129366236732848
2014-10-10,-1.971139124885772
2014-10-13,-2.0976511328235663
2014-10-14,-2.149678905006812
2014-10-15,-2.006521227475423
2014-10-16,-1.914752829356169
2014-10-17,-1.794895797310979
2014-10-20,-1.7772804157006512
2014-10-21,-1.755416019644496
2014-10-22,-1.963326689088204
2014-10-23,-1.8935484798260995
2014-10-24,-1.9010726408159273
2014-10-27,-1.8132650156388386
2014-10-28,-1.707982092385221
2014-10-29,-1.75305792087967
2014-10-30,-1.6588241709639617
2014-10-31,-1.5814523255215915
2014-11-03,-1.6101335680939428
2014-11-04,-1.5202462188944614
2014-11-05,-1.4520147456336499
2014-11-06,-1.386869470559823
2014-11-07,-1.3251320445489583
2014-11-10,-1.2600982790489696
2014-11-11,-1.2091106208355282
2014-11-12,-1.1504392579264953
2014-11-13,-1.1015212812212725
2014-11-14,-1.0519860516342052
2014-11-17,-1.0089874916513757
2014-11-18,-0.9800101599184378
2014-11-19,-0.9783263592766709
2014-11-20,-0.9725314024285918
2014-11-21,-0.9498923047606875
2014-11-24,-0.9363576427899224
2014-11-25,-0.9456917357145103
2014-11-26,-0.9173076891895516
2014-11-28,-0.9075957035949789
2014-12-01,-0.8913414691085021
2014-12-02,-1.0454991301590455
2014-12-03,-1.043295232618979
2014-12-04,-1.0136208088439547
2014-12-05,-0.9808074382781011
2014-12-08,-0.9457957287754499
2014-12-09,-1.0252248616071706
2014-12-10,-0.9963049325281355
2014-12-11,-1.3515457333919578
2014-12-12,-1.2944358544602517
2014-12-15,-1.476094152602418
2014-12-16,-1.4720041246687758
2014-12-17,-1.5150349963579564
2014-12-18,-1.7824711147461254
2014-12-19,-2.0681581803332194
2014-12-22,-1.9182917376643074
2014-12-23,-1.7829335058304923
2014-12-24,-1.663699501750009
2014-12-26,-1.549311505093712
2014-12-29,-1.4661431910054312
2014-12-30,-1.3693440034638762
2014-12-31,-1.3287051322734191
2015-01-02,-1.381791511663793
2015-01-05,-1.3010494380133686
2015-01-06,-1.581888070960774
2015-01-07,-1.6127491402818064
2015-01-08,-1.6232307473209735
2015-01-09,-1.7886712300672076
2015-01-12,-1.7250701371323036
2015-01-13,-1.6791988397374578
2015-01-14,-1.565270364268323
2015-01-15,-1.4981625450002851
2015-01-16,-1.572252715577255
2015-01-20,-1.6275088721874709
2015-01-21,-1.5165739271395628
2015-01-22,-1.4219620628020981
2015-01-23,-1.5877587033831888
2015-01-26,-1.497937708100711
2015-01-27,-1.3992665333338112
2015-01-28,-1.627256103096854
2015-01-29,-1.67677021231422
2015-01-30,-1.629961294202693
2015-02-02,-1.6772629601240778
2015-02-03,-1.6617318214344032
2015-02-04,-1.6828411674969954
2015-02-05,-1.576088330970071
2015-02-06,-1.5545831200253948
2015-02-09,-1.4676309454338607
2015-02-10,-1.3932554094171834
2015-02-11,-1.436342282901566
2015-02-12,-1.3372555177097856
2015-02-13,-1.3644190845801738
2015-02-17,-1.3015167965293692
2015-02-18,-1.2165062563451499
2015-02-19,-1.1431016790096806
2015-02-20,-1.085870697599533
2015-02-23,-1.0742895915744677
2015-02-24,-1.0194882204672282
2015-02-25,-0.9742290635304752
2015-02-26,-0.9365711310597491
2015-02-27,-0.9135737088444794
2015-03-02,-0.9251616757569138
2015-03-03,-0.9673810368142484
2015-03-04,-0.9917279632524852
2015-03-05,-0.9876899622083566
2015-03-06,-0.9477790077274519
2015-03-09,-1.2231755978114385
2015-03-10,-1.1567765227669207
2015-03-11,-1.5161420059878565
2015-03-12,-1.4075642088243159
2015-03-13,-1.4357350776556221
2015-03-16,-1.379160929657738
2015-03-17,-1.4559584236977292
2015-03-18,-1.3583481805781774
2015-03-19,-1.3919368310652573
2015-03-20,-1.3140625821355134
2015-03-23,-1.2929908316804466
2015-03-24,-1.2204889629016422
2015-03-25,-1.1936205704616647
2015-03-26,-1.6257357186551595
2015-03-27,-1.5099874331506375
2015-03-30,-1.4090166954545518
2015-03-31,-1.462375149719517
2015-04-01,-1.480563609345678
2015-04-02,-1.4002343296592676
2015-04-06,-1.3067762288149285
2015-04-07,-1.2630838520933383
2015-04-08,-1.1915923888966826
2015-04-09,-1.153799188777063
2015-04-10,-1.1092987758065864
2015-04-13,-1.0779548074066234
2015-04-14,-1.056321579510934
2015-04-15,-1.0112103463418842
2015-04-16,-1.010042344167846
2015-04-17,-0.9685048614805507
2015-04-20,-1.2466723807207802
2015-04-21,-1.306854961412029
2015-04-22,-1.2279626463348499
2015-04-23,-1.1755437707564675
2015-04-24,-1.1151377076465532
2015-04-27,-1.0765310268557908
2015-04-28,-1.0829315481543509
2015-04-29,-1.0346200901292393
2015-04-30,-1.0448923691134493
2015-05-01,-1.2924568190316301
2015-05-04,-1.372133883181089
2015-05-05,-1.2803788108431022
2015-05-06,-1.4711401395020496
2015-05-07,-1.3954399642002424
2015-05-08,-1.3140469365505436
2015-05-11,-1.4182752935413645
2015-05-12,-1.3472543983402512
2015-05-13,-1.2778998424702985
2015-05-14,-1.194609893078204
2015-05-15,-1.3048907031932657
2015-05-18,-1.2177657275529215
2015-05-19,-1.1617280006711548
2015-05-20,-1.0997087638837124
2015-05-21,-1.0447738412150434
2015-05-22,-1.0005077311983923
2015-05-26,-0.9676176790994947
2015-05-27,-1.1552655289908507
2015-05-28,-1.2614043514380622
2015-05-29,-1.1873210292844067
2015-06-01,-1.1889525047276708
2015-06-02,-1.1190939993492197
2015-06-03,-1.0659167560582132
2015-06-04,-1.0224949354698674
2015-06-05,-1.1171072487304112
2015-06-08,-1.0604176698551981
2015-06-09,-1.1221765343526755
2015-06-10,-1.0660655426723649
2015-06-11,-1.2104432187759822
2015-06-12,-1.140212395698588
2015-06-15,-1.1630519728588793
2015-06-16,-1.1400118210750148
2015-06-17,-1.112277961980236
2015-06-18,-1.0579360858009499
2015-06-19,-1.1785822507123427
2015-06-22,-1.1549331551521804
2015-06-23,-1.139898984803622
2015-06-24,-1.0802233864880075
2015-06-25,-1.1316304120640408
2015-06-26,-1.0904056403174534
2015-06-29,-1.0698549431751823
2015-06-30,-1.6885614497746304
2015-07-01,-1.5695812827101683
2015-07-02,-1.490266783267171
2015-07-06,-1.3882153487662927
2015-07-07,-1.3227797859915968
2015-07-08,-1.2641260087342174
2015-07-09,-1.5711760044523373
2015-07-10,-1.4624693318284079
2015-07-13,-1.548274018655871
2015-07-14,-1.5930526667351397
2015-07-15,-1.500708612856619
2015-07-16,-1.3998594485824951
2015-07-17,-1.4119977549538705
2015-07-20,-1.3510494024491997
2015-07-21,-1.2685901121951366
2015-07-22,-1.2209321701003018
2015-07-23,-1.194046533611141
2015-07-24,-1.1848668154007498
2015-07-27,-1.308177522297548
2015-07-28,-1.3154197574830495
2015-07-29,-1.3792635425680553
2015-07-30,-1.3296890641109538
2015-07-31,-1.2488723641631805
2015-08-03,-1.1826341082978
2015-08-04,-1.1333870830667752
2015-08-05,-1.0857953141286016
2015-08-06,-1.0603962468927766
2015-08-07,-1.249407841042886
2015-08-10,-1.1936687936432404
2015-08-11,-1.315924534423431
2015-08-12,-1.4074778841976965
2015-08-13,-1.3128016175390256
2015-08-14,-1.238750653865253
2015-08-17,-1.1787139341107418
2015-08-18,-1.1653911146592548
2015-08-19,-1.1412381554292959
