,Copula-GARCH sjc
2013-10-17,-1.5647643790347794
2013-10-18,-1.5077161558589625
2013-10-21,-1.5003531497592972
2013-10-22,-1.4239095627718474
2013-10-23,-1.366840951601336
2013-10-24,-1.3380258473487812
2013-10-25,-1.2860212501110666
2013-10-28,-1.2375132851714619
2013-10-29,-1.1842812215892082
2013-10-30,-1.148984104332469
2013-10-31,-1.1465194725585952
2013-11-01,-1.1218911399373421
2013-11-04,-1.07990634640869
2013-11-05,-1.0478199893304188
2013-11-06,-1.0194910011070588
2013-11-07,-0.9976329054329559
2013-11-08,-1.2978386121069656
2013-11-11,-1.414272942021484
2013-11-12,-1.3440988224432155
2013-11-13,-1.2868811859870593
2013-11-14,-1.3031185735851019
2013-11-15,-1.2525721849335358
2013-11-18,-1.2053579867790156
2013-11-19,-1.2175006139870914
2013-11-20,-1.1847651913107748
2013-11-21,-1.1557628653767105
2013-11-22,-1.1971163499022635
2013-11-25,-1.1663910845003151
2013-11-26,-1.1235804121928228
2013-11-27,-1.090193646270794
2013-11-29,-1.0664468752226157
2013-12-02,-1.033505920377822
2013-12-03,-1.0239585075900681
2013-12-04,-1.0066553945723278
2013-12-05,-0.9774586745669939
2013-12-06,-0.9721962219898285
2013-12-09,-1.0398947746789082
2013-12-10,-1.0020172239104308
2013-12-11,-0.9862409963366237
2013-12-12,-1.1817736831116787
2013-12-13,-1.1471445336634787
2013-12-16,-1.1001157558712424
2013-12-17,-1.0954625346447966
2013-12-18,-1.0668952808977765
2013-12-19,-1.2323310176099527
2013-12-20,-1.1852440051359274
2013-12-23,-1.1964111376559736
2013-12-24,-1.1989260344864432
2013-12-26,-1.1468169417948553
2013-12-27,-1.1092414942258522
2013-12-30,-1.0739610581986927
2013-12-31,-1.0340825667694444
2014-01-02,-1.0119304510877714
2014-01-03,-1.093163107994855
2014-01-06,-1.0582434944564456
2014-01-07,-1.0436424161716407
2014-01-08,-1.061591231052978
2014-01-09,-1.0235484474812608
2014-01-10,-0.9925331745039594
2014-01-13,-0.9651807049705154
2014-01-14,-1.205554460945701
2014-01-15,-1.3211158090755304
2014-01-16,-1.2853049303183255
2014-01-17,-1.2263807966925928
2014-01-21,-1.202864468869546
2014-01-22,-1.1646270505634424
2014-01-23,-1.1188618174815146
2014-01-24,-1.16251834726143
2014-01-27,-1.6095787901714496
2014-01-28,-1.593379698202592
2014-01-29,-1.5137937242267918
2014-01-30,-1.5536198667239784
2014-01-31,-1.622375839822458
2014-02-03,-1.5651985924349676
2014-02-04,-2.0026193005432957
2014-02-05,-1.9062209396867775
2014-02-06,-1.8004836768978725
2014-02-07,-1.783458674734288
2014-02-10,-1.826063924068815
2014-02-11,-1.7167943792487796
2014-02-12,-1.6922287753181329
2014-02-13,-1.589914383698613
2014-02-14,-1.5344460851166641
2014-02-18,-1.4549993600490798
2014-02-19,-1.3864390917316107
2014-02-20,-1.3813881945736224
2014-02-21,-1.3367523947515114
2014-02-24,-1.274769477296747
2014-02-25,-1.244498243200068
2014-02-26,-1.190301549671136
