,Copula-GARCH student
2013-10-17,-1.5740515067288992
2013-10-18,-1.5169331836246769
2013-10-21,-1.509214181618467
2013-10-22,-1.4325386827489968
2013-10-23,-1.3750041833508948
2013-10-24,-1.346010542827942
2013-10-25,-1.293794618012628
2013-10-28,-1.2452856731162747
2013-10-29,-1.191808337663348
2013-10-30,-1.1561904415722328
2013-10-31,-1.153764788286792
2013-11-01,-1.1290422017122912
2013-11-04,-1.0867253245256154
2013-11-05,-1.0545291487609252
2013-11-06,-1.0259250030595164
2013-11-07,-1.0039978777558767
2013-11-08,-1.305800064887843
2013-11-11,-1.423015529351368
2013-11-12,-1.3524079081554243
2013-11-13,-1.2949511725353429
2013-11-14,-1.311520200023126
2013-11-15,-1.2604308608961559
2013-11-18,-1.213069183042415
2013-11-19,-1.225490308805829
2013-11-20,-1.1923814121619425
2013-11-21,-1.1629801936803241
2013-11-22,-1.204895432519355
2013-11-25,-1.1737704641703124
2013-11-26,-1.1311375467835851
2013-11-27,-1.0975096007834524
2013-11-29,-1.0738021368329522
2013-12-02,-1.0408180308740156
2013-12-03,-1.030854614508536
2013-12-04,-1.0136264343711596
2013-12-05,-0.984322337339224
2013-12-06,-0.9789562133592199
2013-12-09,-1.0469785792493462
2013-12-10,-1.0086288236701713
2013-12-11,-0.9921523710714641
2013-12-12,-1.188352631429122
2013-12-13,-1.1537766280315258
2013-12-16,-1.106516235401731
2013-12-17,-1.1020994905905386
2013-12-18,-1.0733866353303854
2013-12-19,-1.239693746784598
2013-12-20,-1.192382546481795
2013-12-23,-1.2033518309619677
2013-12-24,-1.2060142430373146
2013-12-26,-1.1536178890333817
2013-12-27,-1.1154030119204392
2013-12-30,-1.0802922472417675
2013-12-31,-1.04017276118866
2014-01-02,-1.0180741442497703
2014-01-03,-1.0997149389961007
2014-01-06,-1.0646996744227746
2014-01-07,-1.0492671180756106
2014-01-08,-1.0677561002208866
2014-01-09,-1.0288212132192296
2014-01-10,-0.9979317142573894
2014-01-13,-0.9707095431924128
2014-01-14,-1.2122465091007477
2014-01-15,-1.3286934744475183
2014-01-16,-1.2923836194421365
2014-01-17,-1.2333623100624307
2014-01-21,-1.2096898144211312
2014-01-22,-1.1713245910751475
2014-01-23,-1.1248544408866519
2014-01-24,-1.169251661068351
2014-01-27,-1.6191605864612217
2014-01-28,-1.6027636473475233
