,Copula-MSM clayton
2013-10-17,-1.657394124652036
2013-10-18,-1.6073674944473402
2013-10-21,-1.6394335806932043
2013-10-22,-1.5263377877923148
2013-10-23,-1.4497249285058627
2013-10-24,-1.4240387305498488
2013-10-25,-1.3083232591727938
2013-10-28,-1.2652138443037557
2013-10-29,-1.1736441100068082
2013-10-30,-1.113802198571594
2013-10-31,-1.1058387422604359
2013-11-01,-1.0765980408980949
2013-11-04,-0.9771612328590872
2013-11-05,-1.0759536522352078
2013-11-06,-1.0564231916430673
2013-11-07,-1.050775352452763
2013-11-08,-1.3690951006305816
2013-11-11,-1.552838882022067
2013-11-12,-1.4050771786757248
2013-11-13,-1.2870752709026574
2013-11-14,-1.3854411586932633
2013-11-15,-1.2883488754739711
2013-11-18,-1.2109552787745737
2013-11-19,-1.2613264225181666
2013-11-20,-1.2079779865811464
2013-11-21,-1.1679828915855557
2013-11-22,-1.274507403903915
2013-11-25,-1.2280336484494059
2013-11-26,-1.1491884431951163
2013-11-27,-1.1201936755423583
2013-11-29,-1.1132095900517214
2013-12-02,-1.0806422581540442
2013-12-03,-1.0531419083528766
2013-12-04,-1.0677792633063992
2013-12-05,-1.0078130977682127
2013-12-06,-1.0475103922087203
2013-12-09,-1.1339993956449337
2013-12-10,-1.0753843638398368
2013-12-11,-1.066170399971068
2013-12-12,-1.2411649555903068
2013-12-13,-1.1923248739884433
2013-12-16,-1.121173465664543
2013-12-17,-1.1393580380051287
2013-12-18,-1.0980944313743404
2013-12-19,-1.3237413921097982
2013-12-20,-1.2188441754662986
2013-12-23,-1.2640669342501065
2013-12-24,-1.2837828866843377
2013-12-26,-1.1882994438145114
2013-12-27,-1.140682375084465
2013-12-30,-1.0949342999715992
2013-12-31,-1.0547671852702647
2014-01-02,-1.0570833379304971
2014-01-03,-1.1649178384040162
2014-01-06,-1.0993468425784778
2014-01-07,-1.0824456794969366
2014-01-08,-1.129897233781405
2014-01-09,-1.075222153871995
2014-01-10,-1.0454344771035498
2014-01-13,-1.0317782215562867
2014-01-14,-1.2599791124679776
2014-01-15,-1.438554315271551
2014-01-16,-1.3792175592498879
2014-01-17,-1.265916160372052
2014-01-21,-1.2441922226945876
2014-01-22,-1.202466733240773
2014-01-23,-1.1399538500552215
2014-01-24,-1.2129213986096945
2014-01-27,-1.7115985370682583
2014-01-28,-1.654901935521885
2014-01-29,-1.5804638833554636
2014-01-30,-1.6623208637002824
2014-01-31,-1.7351741246022259
2014-02-03,-1.672476165355229
2014-02-04,-1.8839762848428605
2014-02-05,-1.7887651483888711
2014-02-06,-1.7060526240341622
2014-02-07,-1.7459974985133824
2014-02-10,-1.803870461036852
2014-02-11,-1.6948318337938009
2014-02-12,-1.7206621453710733
2014-02-13,-1.636791685252323
2014-02-14,-1.5986451583681018
2014-02-18,-1.4993772372896423
2014-02-19,-1.4017180524918609
2014-02-20,-1.432225249818266
2014-02-21,-1.4196264580336682
2014-02-24,-1.3079351786452398
2014-02-25,-1.2999921609550946
2014-02-26,-1.205620140768833
2014-02-27,-1.1291268789042466
2014-02-28,-1.1300622963255527
2014-03-03,-1.0936779175172004
2014-03-04,-1.1452155695002177
