,Copula-MSM student
2013-10-17,-1.6445738795961387
2013-10-18,-1.59455392925373
2013-10-21,-1.6260695646164953
2013-10-22,-1.5127708219543388
2013-10-23,-1.4369665843299038
2013-10-24,-1.4116763418273552
2013-10-25,-1.298415404222159
2013-10-28,-1.2540813320957775
2013-10-29,-1.1632246763377943
2013-10-30,-1.1053465922700758
2013-10-31,-1.0977688277156312
2013-11-01,-1.0688240223761083
2013-11-04,-0.9701104810066659
2013-11-05,-1.0663989766227544
2013-11-06,-1.0470005996743759
2013-11-07,-1.0414509605140954
2013-11-08,-1.3573544311876446
2013-11-11,-1.539384074014024
2013-11-12,-1.394330107653889
2013-11-13,-1.2760869841399252
2013-11-14,-1.3735873542174404
2013-11-15,-1.2772174672306287
2013-11-18,-1.2003884168777192
2013-11-19,-1.250492471442267
2013-11-20,-1.1976584057367357
2013-11-21,-1.1579071496483608
2013-11-22,-1.2636845759544306
2013-11-25,-1.2174805755916875
2013-11-26,-1.1392121850423307
2013-11-27,-1.1103203756276172
2013-11-29,-1.1033923193067823
2013-12-02,-1.0710266520607974
2013-12-03,-1.0439437552635182
2013-12-04,-1.058070329572431
2013-12-05,-0.9988310359945606
2013-12-06,-1.037624295579611
2013-12-09,-1.1235390599388004
2013-12-10,-1.0654145646736397
2013-12-11,-1.0560967349130124
2013-12-12,-1.2313814817440885
2013-12-13,-1.1815143473977274
2013-12-16,-1.110935257501216
2013-12-17,-1.1287221801032008
2013-12-18,-1.087521252625417
2013-12-19,-1.3114659264082902
2013-12-20,-1.2081691315250105
2013-12-23,-1.252938191779355
2013-12-24,-1.2723830854849365
2013-12-26,-1.1776731542396335
2013-12-27,-1.1304121275106258
2013-12-30,-1.0847660314522394
2013-12-31,-1.0451972473904394
2014-01-02,-1.047546687604847
2014-01-03,-1.1545565651405654
2014-01-06,-1.0895515266449012
2014-01-07,-1.0725569512964412
2014-01-08,-1.1198404424422785
2014-01-09,-1.0653894945510647
2014-01-10,-1.0358603003592781
2014-01-13,-1.0223525421989295
2014-01-14,-1.2500526237632414
2014-01-15,-1.426137287214382
2014-01-16,-1.3673000789802559
2014-01-17,-1.2547485446830675
2014-01-21,-1.2330993588218653
2014-01-22,-1.1918421965333548
2014-01-23,-1.1296942015048277
2014-01-24,-1.2020573620010608
2014-01-27,-1.6960002127869453
2014-01-28,-1.6396853887377747
2014-01-29,-1.5665780185831746
2014-01-30,-1.647486417866562
2014-01-31,-1.7199650256661874
2014-02-03,-1.6579082627096144
2014-02-04,-1.8674281797360264
2014-02-05,-1.773400173260904
2014-02-06,-1.691433909081218
2014-02-07,-1.730949615427784
2014-02-10,-1.7882753965764235
2014-02-11,-1.6803054725366782
2014-02-12,-1.705894215476011
2014-02-13,-1.6240248772082373
2014-02-14,-1.5861327483169287
2014-02-18,-1.487583506848463
2014-02-19,-1.3907605819129787
2014-02-20,-1.4210792958873253
2014-02-21,-1.4073493339519458
2014-02-24,-1.2965975046254892
2014-02-25,-1.288730562793629
2014-02-26,-1.1950986953102964
2014-02-27,-1.119242943830019
2014-02-28,-1.1201661108835104
2014-03-03,-1.083992339961557
2014-03-04,-1.136045997546026
2014-03-05,-1.4556922993268424
2014-03-06,-1.315981230025219
2014-03-07,-1.2114340193510147
2014-03-10,-1.1489321828238084
2014-03-11,-1.0856228268671015
2014-03-12,-1.1130822695819027
2014-03-13,-1.0592819618567366
2014-03-14,-1.3187217589236913
2014-03-17,-1.2450450771859598
2014-03-18,-1.3027636888373146
2014-03-19,-1.3526893086776235
2014-03-20,-1.345981551961353
2014-03-21,-1.2939530569783113
2014-03-24,-1.288803887165489
2014-03-25,-1.379326425981209
2014-03-26,-1.286295494036723
2014-03-27,-1.4315266368080297
2014-03-28,-1.3270509099946766
2014-03-31,-1.265013136602401
2014-04-01,-1.3117529967399633
2014-04-02,-1.417734293114866
2014-04-03,-1.3245275811910138
2014-04-04,-1.305720178057006
2014-04-07,-1.601379256687092
2014-04-08,-1.7425219966676064
2014-04-09,-1.6251496686642486
2014-04-10,-1.7408774163059892
2014-04-11,-2.2035355763167876
2014-04-14,-1.9189672889442326
2014-04-15,-1.8251404587944964
2014-04-16,-1.7167097771630742
2014-04-17,-1.7667496309442072
2014-04-21,-1.617856704684902
2014-04-22,-1.6286534643524735
2014-04-23,-1.532019485935243
2014-04-24,-1.471209616726981
2014-04-25,-1.3737800728891298
2014-04-28,-1.560905686651367
