,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian,Copula-MSM Plackett,Copula-MSM Clayton
2013-10-17,-1.894145234001328,-1.8287381410863937,-1.9108400666793213,-1.5740495107202557,-1.5740515067288992,-1.5740281763761492,-1.562748529530033,-1.5844875920549342,-1.470044164418996,-1.5647643790347794,-1.5719287397377368,-1.554902631225191,-1.5814321471774406,-1.6445738795961389,-1.6451036906392131,-1.6355359827776763,-1.657394124652036
2013-10-18,-1.894145234001328,-1.8276416653601253,-1.8707109624979392,-1.516936798133288,-1.5169331836246769,-1.5169114848423404,-1.5060142751538983,-1.5270160143327636,-1.4168326226909251,-1.5077161558589625,-1.5148752832832313,-1.4985254474084284,-1.524069347289075,-1.59455392925373,-1.5950782974047724,-1.5856136860684955,-1.6073674944473402
2013-10-21,-1.894145234001328,-1.8275484893168343,-1.8565291400927484,-1.5092143482777916,-1.509214181618467,-1.509195610025884,-1.4983506791695942,-1.5192482654203672,-1.4095751953989637,-1.5003531497592972,-1.5059079852057338,-1.490877573453848,-1.5163120203408516,-1.626069564616495,-1.626555650561885,-1.6168262195461909,-1.6394335806932043
2013-10-22,-1.8854469525436857,-1.8124989854300095,-1.8002477789252809,-1.4324906017244845,-1.4325386827489968,-1.43250080022614,-1.422303736698735,-1.4422319106198662,-1.3370107872587436,-1.4239095627718474,-1.440223800625298,-1.4149388807493464,-1.439409067799871,-1.5127708219543388,-1.5150123067024113,-1.5104284713619671,-1.5263377877923148
2013-10-23,-1.8854469525436857,-1.8113725112760797,-1.7531038691477734,-1.3749545880131422,-1.3750041833508948,-1.3749670169273418,-1.3650999447283958,-1.3843957180512312,-1.282619236665917,-1.366840951601336,-1.3768551941546976,-1.3579497714058908,-1.3816567896675014,-1.4369665843299038,-1.438792646050872,-1.4353235044224897,-1.4497249285058629
2013-10-24,-1.8854469525436857,-1.811684113289184,-1.7127541072922663,-1.3459675398354616,-1.346010542827942,-1.345975824985685,-1.336327533356274,-1.355172168528692,-1.255677563262513,-1.3380258473487812,-1.347032646592105,-1.3293591577092465,-1.3524972629451166,-1.4116763418273552,-1.413498856356003,-1.4101841855648605,-1.4240387305498488
2013-10-25,-1.8854469525436857,-1.811745470766749,-1.6700981475592809,-1.2937580412427727,-1.293794618012628,-1.2937638023871656,-1.284475702894452,-1.3025816298733888,-1.2069986590909734,-1.2860212501110666,-1.2889165314269662,-1.277813796515331,-1.3000173648874964,-1.298415404222159,-1.2990679297701546,-1.293853501673433,-1.3083232591727938
2013-10-28,-1.8854469525436857,-1.810711544689512,-1.6273080636444286,-1.2452436459105902,-1.2452856731162747,-1.2452507071830048,-1.2363036831061205,-1.2537085429178945,-1.1618741534905817,-1.237513285171462,-1.2519587612173957,-1.2299474426052552,-1.2512556449847023,-1.2540813320957775,-1.2559794608908412,-1.2540057218587506,-1.2652138443037555
2013-10-29,-1.8854469525436857,-1.809200831653944,-1.5777670676304063,-1.1917759303095488,-1.191808337663348,-1.1917799042752153,-1.1831135458070312,-1.1998858122288345,-1.1117355185096167,-1.1842812215892082,-1.1931454711943257,-1.1770674289224343,-1.1975296032736384,-1.1632246763377945,-1.164980855824186,-1.1631150884539718,-1.1736441100068082
2013-10-30,-1.8854469525436857,-1.808546345357352,-1.5396243943826522,-1.1561676508790522,-1.1561904415722328,-1.1561700263262802,-1.147630526982002,-1.1640471036948206,-1.078146749158477,-1.148984104332469,-1.162446734191363,-1.1418036398787563,-1.1617491761586642,-1.1053465922700758,-1.1059440929554742,-1.1025598434874493,-1.113802198571594
2013-10-31,-1.8854469525436857,-1.8082851376348328,-1.5073481868325798,-1.1537386832942813,-1.153764788286792,-1.1537401512704863,-1.145259043073768,-1.1616210144404675,-1.0758113000438532,-1.1465194725585952,-1.1524792818432803,-1.1393916864592566,-1.1593248131541456,-1.0977688277156312,-1.098433998348489,-1.095022449743713,-1.105838742260436
2013-11-01,-1.8854469525436857,-1.8087728707218436,-1.4675121477084956,-1.1290230718847227,-1.1290422017122912,-1.1290238860908266,-1.120679290492849,-1.1367229956103264,-1.0526673682736387,-1.121891139937342,-1.1351560747687748,-1.114963130990159,-1.1344739715869196,-1.0688240223761083,-1.0694279582497803,-1.0658815333191087,-1.0765980408980949
2013-11-04,-1.8854469525436857,-1.8088700357199348,-1.4245453125420589,-1.0867120781498565,-1.0867253245256154,-1.086712885830011,-1.078601613999,-1.0941277908834697,-1.0129933944189542,-1.07990634640869,-1.0926090524245655,-1.0731253976964807,-1.0919542465985748,-0.970110481006666,-0.970610537922298,-0.9670339909871464,-0.9771612328590872
2013-11-05,-1.8854469525436857,-1.8059386842175515,-1.388885219888481,-1.0544930999740048,-1.0545291487609252,-1.0545005584347615,-1.0467657292142605,-1.0617849921027402,-0.982983148750259,-1.0478199893304188,-1.0603403328340542,-1.0413848347214707,-1.059670183562185,-1.0663989766227544,-1.067835884433914,-1.065399388611389,-1.0759536522352078
2013-11-06,-1.8854469525436857,-1.8054646196440336,-1.34716434237208,-1.0259029814473597,-1.0259250030595164,-1.025907812680254,-1.018273397490311,-1.0329872149910055,-0.9560560833019396,-1.0194910011070588,-1.0315988706741277,-1.0130603743147466,-1.0309220672457782,-1.047000599674376,-1.048415453947621,-1.0458722073147166,-1.0564231916430673
2013-11-07,-1.8854469525436857,-1.805688754673932,-1.306908262117383,-1.003977163171477,-1.003997877755877,-1.0039810895842256,-0.9964917469007706,-1.0109208515937902,-0.935611487821126,-0.997632905432956,-1.0045433453369494,-0.9914146224490876,-1.0088973909392998,-1.0414509605140954,-1.04291137733475,-1.0402300709396566,-1.050775352452763
