,RiskMetrics
2013-10-17,-1.9108400666793213
2013-10-18,-1.8707109624979392
2013-10-21,-1.8565291400927484
2013-10-22,-1.8002477789252807
2013-10-23,-1.7531038691477734
2013-10-24,-1.7127541072922665
2013-10-25,-1.6700981475592807
2013-10-28,-1.6273080636444286
2013-10-29,-1.5777670676304065
2013-10-30,-1.5396243943826522
2013-10-31,-1.5073481868325798
2013-11-01,-1.4675121477084956
2013-11-04,-1.4245453125420589
2013-11-05,-1.388885219888481
2013-11-06,-1.34716434237208
2013-11-07,-1.306908262117383
2013-11-08,-1.4256089549414306
2013-11-11,-1.502606770872094
2013-11-12,-1.4569356636428357
2013-11-13,-1.4133379432891389
2013-11-14,-1.4262792334651744
2013-11-15,-1.3892632650603804
2013-11-18,-1.3554733517155615
2013-11-19,-1.3400426537196364
2013-11-20,-1.3057842817030307
2013-11-21,-1.2722711562315057
2013-11-22,-1.2991214125414867
2013-11-25,-1.2775160940441852
2013-11-26,-1.2386443198878534
2013-11-27,-1.2068490851896327
2013-11-29,-1.1846070143284129
2013-12-02,-1.1500557229359114
2013-12-03,-1.1222948923003073
2013-12-04,-1.0931215683579454
2013-12-05,-1.060054941589979
2013-12-06,-1.0338160370255014
2013-12-09,-1.068848114633187
2013-12-10,-1.0384789772386682
2013-12-11,-1.0123128927652696
2013-12-12,-1.1072100065518775
2013-12-13,-1.0784427563640206
2013-12-16,-1.0456464027470993
2013-12-17,-1.049158219897308
2013-12-18,-1.021329314921058
2013-12-19,-1.1393232478339037
2013-12-20,-1.1068797799392585
2013-12-23,-1.1218315319122543
2013-12-24,-1.134438463579478
2013-12-26,-1.1035783849042264
2013-12-27,-1.0807448213514983
2013-12-30,-1.049427386807387
2013-12-31,-1.0175710787911976
2014-01-02,-1.0043049890395106
2014-01-03,-1.0319097412113714
2014-01-06,-1.0023342326491322
2014-01-07,-0.981794850853852
2014-01-08,-1.0025457248857426
2014-01-09,-0.973611685311405
2014-01-10,-0.9447400930069246
2014-01-13,-0.9259701793627205
2014-01-14,-1.05457104888107
2014-01-15,-1.1635366988489781
2014-01-16,-1.1569197658814072
2014-01-17,-1.1217110688607603
2014-01-21,-1.102282438511691
2014-01-22,-1.085564185862646
2014-01-23,-1.0566472278504648
2014-01-24,-1.0660106936940326
2014-01-27,-1.3463739564035344
2014-01-28,-1.3433226825846778
2014-01-29,-1.3167681296572384
2014-01-30,-1.3493015900814376
2014-01-31,-1.4306454030337876
2014-02-03,-1.4051834200600102
2014-02-04,-1.6882746048159438
2014-02-05,-1.6691445978172255
2014-02-06,-1.624421244675646
2014-02-07,-1.6454719954595438
2014-02-10,-1.7060900474858878
2014-02-11,-1.6600489015490205
2014-02-12,-1.6656186676879727
2014-02-13,-1.6154693851679414
2014-02-14,-1.5956097977196682
2014-02-18,-1.5510905592808888
2014-02-19,-1.5122601120292964
2014-02-20,-1.4959206162122753
2014-02-21,-1.4737088473462265
2014-02-24,-1.4300002618778174
2014-02-25,-1.4112429599711624
2014-02-26,-1.3692550379938229
2014-02-27,-1.327714962746687
2014-02-28,-1.3068106741105674
2014-03-03,-1.2670118697079757
2014-03-04,-1.2630662005758482
2014-03-05,-1.3882350065769125
2014-03-06,-1.3462081832781714
2014-03-07,-1.305219224550595
2014-03-10,-1.2670212950867437
2014-03-11,-1.2285482128142797
2014-03-12,-1.2130751299689349
2014-03-13,-1.178940054634963
2014-03-14,-1.2609366229987156
2014-03-17,-1.2292136445123008
2014-03-18,-1.2438105049705737
2014-03-19,-1.2688146483207208
2014-03-20,-1.2540844042411314
2014-03-21,-1.2285401952840447
2014-03-24,-1.2188136764826587
2014-03-25,-1.2288126251965423
2014-03-26,-1.1980274932888961
2014-03-27,-1.2393874393946476
2014-03-28,-1.2105263737601613
2014-03-31,-1.1792922496035656
2014-04-01,-1.2009706254566432
2014-04-02,-1.25562403662769
2014-04-03,-1.2212391524911166
2014-04-04,-1.2018105368108025
2014-04-07,-1.4044212054062966
2014-04-08,-1.4350996873666322
2014-04-09,-1.411738874471937
2014-04-10,-1.4800405998117283
2014-04-11,-1.7840179406874173
2014-04-14,-1.79084393568184
2014-04-15,-1.7587472751011963
2014-04-16,-1.7160595939379713
2014-04-17,-1.7284987459341545
2014-04-21,-1.677439825178247
2014-04-22,-1.6390254120846912
2014-04-23,-1.6129533879848637
2014-04-24,-1.578160502896535
2014-04-25,-1.5363482307563205
2014-04-28,-1.5778141056954436
2014-04-29,-1.5308984123455203
2014-04-30,-1.5034192041799002
2014-05-01,-1.4620867316322648
2014-05-02,-1.4188202621179336
2014-05-05,-1.3763174803937417
2014-05-06,-1.3386496447020928
2014-05-07,-1.377912451758634
2014-05-08,-1.336801453617917
2014-05-09,-1.3005634561759727
2014-05-12,-1.2677937849254668
2014-05-13,-1.3453791186978636
2014-05-14,-1.3056898125456442
2014-05-15,-1.2883749618288272
2014-05-16,-1.295638368200981
2014-05-19,-1.269071943046667
2014-05-20,-1.2555548310303315
2014-05-21,-1.247552139446121
2014-05-22,-1.2544173694155103
2014-05-23,-1.226474138163339
2014-05-27,-1.2125838040381685
2014-05-28,-1.2311397240965793
2014-05-29,-1.196281602436548
2014-05-30,-1.1798867878364765
2014-06-02,-1.1440036878816526
2014-06-03,-1.1092082177842488
2014-06-04,-1.0756522083921094
2014-06-05,-1.0499312498252424
2014-06-06,-1.073607917982999
2014-06-09,-1.0620106756271628
2014-06-10,-1.033408308626889
2014-06-11,-1.0019316956867041
2014-06-12,-0.9765003509601725
2014-06-13,-0.9941974977853649
2014-06-16,-0.9718517278254589
2014-06-17,-0.9445278994295621
2014-06-18,-0.9234247188632415
2014-06-19,-0.9361379436547747
2014-06-20,-0.9076691897860981
2014-06-23,-0.8832108674930816
2014-06-24,-0.8563047533273346
2014-06-25,-0.8575462413752328
2014-06-26,-0.8637643769543183
2014-06-27,-0.8378866979191472
2014-06-30,-0.8219415733034288
2014-07-01,-0.7978751342532946
2014-07-02,-0.8546797988359145
2014-07-03,-0.8286928927172664
2014-07-07,-0.8377089308214696
2014-07-08,-0.8453021904572605
2014-07-09,-0.9191758299994456
2014-07-10,-0.9177890652235952
2014-07-11,-0.909418579620698
2014-07-14,-0.8895500697540207
2014-07-15,-0.8878291187403624
2014-07-16,-0.8734594491691191
2014-07-17,-0.8564851650835643
2014-07-18,-0.9831924342516856
2014-07-21,-1.0860588876752366
2014-07-22,-1.056059966331059
2014-07-23,-1.0523041092475744
2014-07-24,-1.0267170246504915
2014-07-25,-0.9954426660890983
2014-07-28,-0.9855740045873721
2014-07-29,-0.9556712794570147
