date,var_5pcts,var_1pcts
2013-10-17,-1.6881070931018725,-2.681284794923626
2013-10-18,-1.6499891467997168,-2.562562435493201
2013-10-21,-1.680677613626378,-2.820511431585995
2013-10-22,-1.5921868056436443,-2.4681905496644587
2013-10-23,-1.5529912604560052,-2.512829965122028
2013-10-24,-1.478086572586978,-2.526680366919239
2013-10-25,-1.3790729032692888,-2.343925288687926
2013-10-28,-1.29293553870167,-2.265536523437452
2013-10-29,-1.2124168666113546,-2.0147650828175636
2013-10-30,-1.2192113787966818,-1.9371670129132248
2013-10-31,-1.1819892501094478,-1.9162961576343738
2013-11-01,-1.1872676375822249,-1.972074057303353
2013-11-04,-1.1347478708811105,-1.9733047027248303
2013-11-05,-1.1137742601213356,-1.8899202946727232
2013-11-06,-1.139959146422244,-1.9178354412026013
2013-11-07,-1.0681043885127501,-1.746203563594746
2013-11-08,-1.3822879894825304,-2.3916316822678962
2013-11-11,-1.5497799224321178,-2.5609135582027416
2013-11-12,-1.3970426021441151,-2.3709464678470713
2013-11-13,-1.3079152223879535,-2.140627427607053
2013-11-14,-1.412430941328106,-2.3095747954797226
2013-11-15,-1.29815293448302,-2.163725306365265
2013-11-18,-1.2275407292579685,-2.112637585034654
2013-11-19,-1.3463148884993714,-2.1920575119837404
2013-11-20,-1.2973790286742286,-2.2418141859539955
2013-11-21,-1.1935675982125984,-1.9754024021617127
2013-11-22,-1.3164776522844976,-2.213755627023649
2013-11-25,-1.2647329176947102,-2.1603509934831866
2013-11-26,-1.1766605765947131,-2.030682838973396
2013-11-27,-1.1230689486197198,-1.9388557068495038
2013-11-29,-1.145099888826284,-1.8971200967563757
2013-12-02,-1.1040373989314847,-1.8808358128100522
2013-12-03,-1.128682994617453,-1.863119891653413
2013-12-04,-1.1298060947379966,-1.775360977862519
2013-12-05,-1.0851901385911278,-1.7790149936423232
2013-12-06,-1.0695281042272566,-1.7508906529788755
2013-12-09,-1.182445768005734,-1.9733848109501533
2013-12-10,-1.135050134674867,-1.8305791616498943
2013-12-11,-1.1143148197387889,-1.8803075443600235
2013-12-12,-1.281602757015746,-2.228361507761478
2013-12-13,-1.2632147946921464,-2.0548474283470237
2013-12-16,-1.1790570608402724,-2.021842820449253
2013-12-17,-1.1892726066505346,-1.9275232340518131
2013-12-18,-1.1766325050784763,-1.9864539710940103
2013-12-19,-1.3403582932038771,-2.229999883483944
2013-12-20,-1.2549221264969281,-2.037473822177612
2013-12-23,-1.3383033516369567,-2.2419782776588266
2013-12-24,-1.3269293427529643,-2.111947091113579
2013-12-26,-1.220890785214546,-2.120340635730099
2013-12-27,-1.1855291250607474,-1.9807016723924151
2013-12-30,-1.1478065576518641,-1.9238232870708516
2013-12-31,-1.1020510513573385,-1.847326057377469
2014-01-02,-1.0852829077748893,-1.8676449136243998
2014-01-03,-1.2058887475884794,-1.9822667086604129
2014-01-06,-1.13136671034313,-1.8309684595105105
2014-01-07,-1.1355623506984371,-1.8859954729279185
2014-01-08,-1.2009919126857804,-2.0483095465105374
2014-01-09,-1.1460189779731385,-1.9144626954155444
2014-01-10,-1.1087019289403655,-1.82906221951579
2014-01-13,-1.0940588542234126,-1.8191150228854638
2014-01-14,-1.3162344448672587,-2.196112174458751
2014-01-15,-1.472507301963783,-2.453942540646816
2014-01-16,-1.4089960566827435,-2.53057359710064
2014-01-17,-1.3128371238034273,-2.227795871446122
2014-01-21,-1.3284467582048571,-2.1793086548797076
2014-01-22,-1.2337294235473246,-2.0577968394610733
2014-01-23,-1.2160641388847346,-2.0875757254548457
2014-01-24,-1.2727752228317808,-2.2432324222720577
2014-01-27,-1.6794126899700954,-2.753716063314592
2014-01-28,-1.6524061597286186,-2.726392679562521
2014-01-29,-1.611469506538959,-2.699797709922309
2014-01-30,-1.6977527990781742,-2.7322447159026746
2014-01-31,-1.81398690178581,-2.8008461721733386
2014-02-03,-1.6456427830082143,-2.624159117251309
2014-02-04,-1.810030109785285,-2.8435911988387716
2014-02-05,-1.783610681414187,-2.903750075121649
2014-02-06,-1.7197120984868552,-2.802939949279756
2014-02-07,-1.7230588230922468,-2.868808977267406
2014-02-10,-1.7845666564254798,-2.8685663191435906
2014-02-11,-1.7652973558355332,-2.7292115264657615
2014-02-12,-1.7600996705903424,-2.784044031893701
2014-02-13,-1.644656159511885,-2.6560366503538577
2014-02-14,-1.5682416495888343,-2.5786415643588896
2014-02-18,-1.4957724383697812,-2.4848310136515765
2014-02-19,-1.465236986193704,-2.5473779265316856
2014-02-20,-1.4175436136783828,-2.408137598971826
2014-02-21,-1.4776763240809951,-2.3723901920300747
2014-02-24,-1.3486003073741293,-2.260625738074372
2014-02-25,-1.3509644359249569,-2.2848398210025644
2014-02-26,-1.2126198261591672,-2.100019333490842
2014-02-27,-1.1647192583858925,-1.9496981168272751
2014-02-28,-1.1450199050616428,-1.9516849706280874
2014-03-03,-1.131982229932757,-1.9566292192704537
2014-03-04,-1.1816037124426586,-2.0059368940625135
2014-03-05,-1.4395362103914564,-2.3686106187010356
2014-03-06,-1.3486601776223794,-2.241265962157161
2014-03-07,-1.2189288842349482,-2.066460053054226
2014-03-10,-1.1575539613081394,-1.9569305545634141
2014-03-11,-1.127876308653246,-1.8744730475593767
2014-03-12,-1.1382159382508508,-1.9157415053634814
2014-03-13,-1.116716093451748,-1.7819640670532648
2014-03-14,-1.3363800092708855,-2.2394917804580037
2014-03-17,-1.2558950856529645,-2.113938467399322
2014-03-18,-1.3228049048716644,-2.19139559542959
2014-03-19,-1.431194332278282,-2.3904035249934616
2014-03-20,-1.4342676307393014,-2.4347453618930786
2014-03-21,-1.3691795560688031,-2.3156994320183726
2014-03-24,-1.3525608224112087,-2.2844628752334084
2014-03-25,-1.3964542020152892,-2.2985757307052648
2014-03-26,-1.3579258028519245,-2.189246651820185
2014-03-27,-1.4600310002217527,-2.422912438101583
2014-03-28,-1.3805200614838717,-2.3995563139789473
2014-03-31,-1.3504907038186078,-2.2778869355794003
2014-04-01,-1.3892484907923943,-2.3582650221467683
2014-04-02,-1.4478206238260387,-2.4297672214414896
2014-04-03,-1.4007110615720109,-2.299759701851991
2014-04-04,-1.3845562916436138,-2.222053671395914
2014-04-07,-1.6524581504922873,-2.7714102738942894
2014-04-08,-1.6848358775238403,-2.8452564583540982
2014-04-09,-1.5865131165412913,-2.6428890950111397
2014-04-10,-1.7681332182802159,-2.7448302017607533
2014-04-11,-2.023339119262918,-3.3384709563165638
2014-04-14,-1.99838401330709,-3.2041586166633613
2014-04-15,-1.814456778497698,-3.0318041124895783
2014-04-16,-1.715467112490525,-2.757172223525191
2014-04-17,-1.8215671096437116,-3.0126863782956637
2014-04-21,-1.6702021190886314,-2.678842242319434
2014-04-22,-1.602196876930884,-2.5554443437222436
2014-04-23,-1.5660606821245322,-2.6869281649332097
2014-04-24,-1.5667948018457871,-2.5157059594006013
2014-04-25,-1.4154829527245927,-2.2891792050470965
2014-04-28,-1.6364394463182361,-2.6691364887248143
2014-04-29,-1.4458773241782514,-2.413033378512721
2014-04-30,-1.4150014837557046,-2.4172404368948395
2014-05-01,-1.312231311899113,-2.1418397635540787
2014-05-02,-1.2757297624411408,-2.1958691478987977
2014-05-05,-1.20420816661028,-2.033331954800371
2014-05-06,-1.136134422435749,-1.8849963754235046
2014-05-07,-1.3455766645046956,-2.2736668413628593
2014-05-08,-1.2447835506865137,-2.1303039657444156
2014-05-09,-1.2201339285484336,-2.0584293556333377
2014-05-12,-1.2109427922396823,-2.0047488200180634
2014-05-13,-1.4257486640432986,-2.367978641913737
2014-05-14,-1.3110064237950743,-2.254107986652411
2014-05-15,-1.3317214968503737,-2.2731054442883423
2014-05-16,-1.4295628962691647,-2.3523925908933068
2014-05-19,-1.3222713458559954,-2.232432671585182
2014-05-20,-1.3454711123572494,-2.227458981820464
2014-05-21,-1.3698694847544512,-2.241750533204716
2014-05-22,-1.3732567292309525,-2.287553402645463
2014-05-23,-1.2936726497448796,-2.1967619636629747
2014-05-27,-1.307881669187444,-2.185913846820002
2014-05-28,-1.3844224095355089,-2.2886250030726685
2014-05-29,-1.3012710097568085,-2.184930157720925
2014-05-30,-1.2711569369177473,-2.0511741104534114
2014-06-02,-1.1641372886270829,-1.9757373816902766
2014-06-03,-1.1697867013151921,-1.9835655110123964
2014-06-04,-1.155633918215201,-1.9643621291932958
2014-06-05,-1.1181314285660635,-1.7650953162766858
2014-06-06,-1.1691842405215513,-1.857717755344447
2014-06-09,-1.1646042159623495,-1.868264011379836
2014-06-10,-1.1200827351467126,-1.8709548750178844
2014-06-11,-1.0874199450314048,-1.7719720793978688
2014-06-12,-1.124023574540192,-1.7994449569589128
2014-06-13,-1.1869607994480833,-1.8915997490247205
2014-06-16,-1.1479501220889172,-1.878843593392934
2014-06-17,-1.0741422359423534,-1.8121889975815713
2014-06-18,-1.1149530943576595,-1.7738902529758345
2014-06-19,-1.1377945082240184,-1.9050755749617672
2014-06-20,-1.0749977794379788,-1.8838624602336378
2014-06-23,-1.063271415066747,-1.7125791147635723
2014-06-24,-1.0713115386213865,-1.7644522385018395
2014-06-25,-1.1003721263311623,-1.7956258318215297
2014-06-26,-1.079347878820545,-1.8175867110663109
2014-06-27,-1.1201539945804975,-1.7677563701653063
2014-06-30,-1.0588866413874358,-1.825064781362452
2014-07-01,-1.072419856099746,-1.8458005850031496
2014-07-02,-1.1459104511249312,-1.8387078955896492
2014-07-03,-1.1275901850926504,-1.8975685397735695
2014-07-07,-1.1305959111394215,-1.8323015497617847
2014-07-08,-1.1296221306441265,-1.920253286996901
2014-07-09,-1.3061885993145723,-2.1930197554473114
2014-07-10,-1.2223645759989652,-2.0537361880230534
2014-07-11,-1.2268893194280577,-2.056413737348742
2014-07-14,-1.1801838311406954,-1.949128782239596
2014-07-15,-1.1727396121788196,-1.9362801181724882
2014-07-16,-1.1481339016384489,-1.858382164587897
2014-07-17,-1.115525179488533,-1.8051780556269847
2014-07-18,-1.342030938081495,-2.3115846956047794
2014-07-21,-1.5084667288919158,-2.36869734159645
2014-07-22,-1.398268802363163,-2.311223061850756
2014-07-23,-1.3698169842519805,-2.3049200823103875
2014-07-24,-1.262782051534176,-2.214664471783002
2014-07-25,-1.198737395031722,-2.0986000243124883
2014-07-28,-1.2059566942343218,-2.0271401232392985
2014-07-29,-1.1184255533995702,-1.8476125205613938
2014-07-30,-1.1309786128798547,-1.8939111623572045
2014-07-31,-1.1045871109639658,-1.917352510789735
2014-08-01,-1.5731366631565022,-2.546434537741334
2014-08-04,-1.4473923771394992,-2.437662950947596
2014-08-05,-1.4683697782456697,-2.4829225950845886
2014-08-06,-1.5265551272308087,-2.5270538729834264
2014-08-07,-1.4360689651195204,-2.4220207196753774
2014-08-08,-1.4031852495893744,-2.3118432012019
2014-08-11,-1.4463804092966839,-2.3311190402752917
2014-08-12,-1.383606939317009,-2.271906757543764
2014-08-13,-1.2952197189629073,-2.263854357779441
2014-08-14,-1.3762503226819627,-2.234401214153555
2014-08-15,-1.306700236353792,-2.121237947974936
2014-08-18,-1.1950183661147424,-2.1031521009680545
2014-08-19,-1.3218270659231488,-2.1445995793211603
2014-08-20,-1.2352986380884454,-2.0074594265279777
2014-08-21,-1.1507494158778029,-1.9232584742991006
2014-08-22,-1.1346775481146023,-1.859493165500036
2014-08-25,-1.0746595867382889,-1.7670965166454462
2014-08-26,-1.124167343032576,-1.8905591780869235
2014-08-27,-1.0622531948879652,-1.7408206747326262
2014-08-28,-1.0903369181900462,-1.8061995684833279
2014-08-29,-1.0638498599743333,-1.7713147738859158
2014-09-02,-1.0872726808183821,-1.7838133750507414
2014-09-03,-1.0736779025951695,-1.7388470056397352
2014-09-04,-1.0925740150553143,-1.8232396589330104
2014-09-05,-1.0778826716803465,-1.7363181178570857
2014-09-08,-1.1027422469797243,-1.824009164201603
2014-09-09,-1.0800737419998778,-1.8271232272910756
2014-09-10,-1.1310948103758225,-1.8534908813823177
2014-09-11,-1.1678038189129258,-1.964691191670216
2014-09-12,-1.1243750767624994,-1.8354156186402557
2014-09-15,-1.1502287524566426,-1.8749648405869648
2014-09-16,-1.2444990326823167,-2.0975000875851126
2014-09-17,-1.2524431985477205,-2.058521310837254
2014-09-18,-1.1501548359678344,-1.92810871708703
2014-09-19,-1.1782691079047525,-2.073145534868584
2014-09-22,-1.1472702695140407,-1.9430289499462516
2014-09-23,-1.2677328629777647,-2.148825555121028
2014-09-24,-1.1922559423706767,-2.0696201488510573
2014-09-25,-1.3624476629840585,-2.2477358446262294
2014-09-26,-1.6769580308015957,-2.7093072683732533
2014-09-29,-1.6261698691366988,-2.5574236346560655
2014-09-30,-1.533399284566737,-2.485801138995963
2014-10-01,-1.4738439766377076,-2.4852234253575745
2014-10-02,-1.6355133183228625,-2.653968073966859
2014-10-03,-1.5346392725892444,-2.530774063423826
2014-10-06,-1.6400012695936614,-2.745525162095921
2014-10-07,-1.5413182137561712,-2.479610500742174
2014-10-08,-1.725610586765073,-2.7706127495093757
2014-10-09,-1.8052315787718602,-2.809229908277543
2014-10-10,-1.8593088559565072,-3.016969250064281
2014-10-13,-2.044695202757619,-3.298058834352587
2014-10-14,-1.9996418675022263,-3.545953137568099
2014-10-15,-1.8179937139255937,-3.138991587542832
2014-10-16,-1.7227381099005652,-2.899939653289766
2014-10-17,-1.5732232017722092,-2.6273638319698795
2014-10-20,-1.7276847243831412,-2.795170707200618
2014-10-21,-1.7244973435113056,-2.7094096052252623
2014-10-22,-1.955320641786567,-3.2222787079049
2014-10-23,-1.9133241987031981,-3.09821528714104
2014-10-24,-1.852337820533639,-2.9702798029153636
2014-10-27,-1.8008960505179816,-2.9955609768413067
2014-10-28,-1.6849867554079,-2.7134394010965566
2014-10-29,-1.81460530225332,-2.8491209211659894
2014-10-30,-1.6597702359188196,-2.6951202746821625
2014-10-31,-1.5909688346371227,-2.701621347323452
2014-11-03,-1.6960436722254428,-2.695703829387044
2014-11-04,-1.6088616393559843,-2.595464710148924
2014-11-05,-1.5128563290279702,-2.5627807061623686
2014-11-06,-1.4462361234943464,-2.4289853807498187
2014-11-07,-1.3741549910304005,-2.334616114516671
2014-11-10,-1.2357653977176006,-2.0943237060903335
2014-11-11,-1.1704842928392793,-1.9148358967588366
2014-11-12,-1.1632905893722207,-2.001087480040326
2014-11-13,-1.1149393741298903,-1.795252708798752
2014-11-14,-1.0981108548913598,-1.704896752960982
2014-11-17,-1.0761434869609134,-1.7627509795613248
2014-11-18,-1.1272934090360183,-1.8285368518826444
2014-11-19,-1.096967794521292,-1.812688686977278
2014-11-20,-1.1090685235665523,-1.8549389638651244
2014-11-21,-1.0960363171716856,-1.8319710172680317
2014-11-24,-1.1115819112811014,-1.796845884653255
2014-11-25,-1.0818290193456208,-1.78669549657406
2014-11-26,-1.079467606913301,-1.8294380930630583
2014-11-28,-1.1460576939352145,-1.8762856422788934
2014-12-01,-1.099065752010891,-1.8169187766052752
2014-12-02,-1.226482563665573,-2.0761901592465737
2014-12-03,-1.2200692929186157,-2.053077038963356
2014-12-04,-1.1825830064742588,-1.9323286324212576
2014-12-05,-1.1427786703891047,-1.9336891737195037
2014-12-08,-1.0808021104691845,-1.8585803342541842
2014-12-09,-1.1881386633055107,-1.9603313797835313
2014-12-10,-1.1519896747135554,-1.9213860334380763
2014-12-11,-1.4276712853236857,-2.3724456887594347
2014-12-12,-1.4286156196581703,-2.3529520762565554
2014-12-15,-1.6316852526977796,-2.675501913785739
2014-12-16,-1.6086286936199368,-2.5890809486717337
2014-12-17,-1.6735413916781559,-2.6599151335791507
2014-12-18,-1.7966524726551754,-2.8282910779819326
2014-12-19,-1.858297200230586,-3.0708335047105706
2014-12-22,-1.7773752787455475,-2.826687739077144
2014-12-23,-1.722256255987345,-2.7781662707004955
2014-12-24,-1.5695208977033113,-2.5569457262810573
2014-12-26,-1.4557051761115225,-2.4653484238394316
2014-12-29,-1.3944427151348036,-2.4325313406195397
2014-12-30,-1.2731545200228684,-2.1846392810071915
2014-12-31,-1.307772107864231,-2.1455234896747397
2015-01-02,-1.4513615609532509,-2.4525903921421355
2015-01-05,-1.3013586233460899,-2.1824455712864896
2015-01-06,-1.6579985492674005,-2.7082256104896727
2015-01-07,-1.6350332538836556,-2.756304561643744
2015-01-08,-1.752010860808234,-2.870181798183338
2015-01-09,-1.7871654176788274,-2.867457340012077
2015-01-12,-1.7902163433646825,-2.850966662505015
2015-01-13,-1.7189031874983283,-2.701084272319692
2015-01-14,-1.6307952210999672,-2.7574180961762496
2015-01-15,-1.5957089060325,-2.6732598947516486
2015-01-16,-1.7207942128783047,-2.751461066547132
2015-01-20,-1.7644809525965426,-2.85716009229127
2015-01-21,-1.6155329545175783,-2.715458477817342
2015-01-22,-1.5900210928114906,-2.5193412770301555
2015-01-23,-1.7581387835282327,-2.8086509893001104
2015-01-26,-1.6274673869909528,-2.6589052179478836
2015-01-27,-1.5550890626078655,-2.5931040122553646
2015-01-28,-1.7682123856655507,-2.831010109937178
2015-01-29,-1.7624945019322538,-2.7581192934211685
2015-01-30,-1.7153641863319788,-2.7831793639196283
2015-02-02,-1.7707700701967146,-2.789977609454475
2015-02-03,-1.7509600979426896,-2.846697909204492
2015-02-04,-1.7652085780270481,-2.7350296315173885
2015-02-05,-1.7290410599055575,-2.8022576809261186
2015-02-06,-1.7009003020089333,-2.717279580927956
2015-02-09,-1.6290353003976688,-2.7221989169643015
2015-02-10,-1.6163153568792872,-2.5948876573966824
2015-02-11,-1.6768481726328737,-2.6835036037477646
2015-02-12,-1.5901029084666598,-2.6429408344541097
2015-02-13,-1.65091256408814,-2.613050708559531
2015-02-17,-1.550633863432835,-2.5343595671555157
2015-02-18,-1.4101439327838283,-2.412034700673218
2015-02-19,-1.3225001138133903,-2.252847221393796
2015-02-20,-1.245094044026416,-2.1671120102254333
2015-02-23,-1.2524994708182544,-2.029092210401397
2015-02-24,-1.1824503287020012,-2.0208679672066405
2015-02-25,-1.132049323745785,-1.879092527115475
2015-02-26,-1.0781141537064571,-1.760921981864162
2015-02-27,-1.102340469705837,-1.8689098787763199
2015-03-02,-1.1195399317853416,-1.8597931088323278
2015-03-03,-1.1518998102397036,-1.9432034058393448
2015-03-04,-1.1767912979668278,-1.9100273059871211
2015-03-05,-1.128315655291479,-1.8606184582191725
2015-03-06,-1.0883953088450518,-1.8138730328251507
2015-03-09,-1.2747929178428499,-2.1794521045226953
2015-03-10,-1.2363602190157943,-1.9983745980156313
2015-03-11,-1.5722296061630006,-2.5519709295143818
2015-03-12,-1.4643273029190127,-2.4183751869033863
2015-03-13,-1.5474774833177631,-2.5372174512860233
2015-03-16,-1.496314907663019,-2.533935359800564
2015-03-17,-1.6120388020833636,-2.5137934340752763
2015-03-18,-1.4722625989921658,-2.424883527317168
2015-03-19,-1.5803563594624033,-2.5759692284663176
2015-03-20,-1.456879137474356,-2.4296147238736223
2015-03-23,-1.4622605188152014,-2.385005262479596
2015-03-24,-1.3802133395815912,-2.266384434841805
2015-03-25,-1.3899385968729643,-2.1934088990473963
2015-03-26,-1.666408940207041,-2.734480748067583
2015-03-27,-1.651031571992978,-2.7073336209118506
2015-03-30,-1.5325394746411134,-2.5056562471867587
2015-03-31,-1.6556008359867023,-2.740701087467861
2015-04-01,-1.6734454005352948,-2.638688501345982
2015-04-02,-1.6073040168369308,-2.671192761851161
2015-04-06,-1.4828318891436645,-2.4154217155607736
2015-04-07,-1.4585170719190814,-2.502174608789732
2015-04-08,-1.3784025118637717,-2.2939623804346967
2015-04-09,-1.3502312120212536,-2.194752467941956
2015-04-10,-1.2772043598977556,-2.223054566734823
2015-04-13,-1.2212014866550203,-2.0032342417973856
2015-04-14,-1.2059573645848183,-2.0593172045415016
2015-04-15,-1.144398795533994,-1.8888886640427918
2015-04-16,-1.1358291474513793,-1.8985257974281444
2015-04-17,-1.124063681178881,-1.8224263349952168
2015-04-20,-1.3388763747008854,-2.233699186494942
2015-04-21,-1.427679481933687,-2.3077948292311046
2015-04-22,-1.2974876943193312,-2.2863484947711075
2015-04-23,-1.2481190263918867,-2.0728739752053955
2015-04-24,-1.2103492973710086,-2.0594879149475536
2015-04-27,-1.184429271053202,-1.9455280196532179
2015-04-28,-1.1480652966069829,-1.9434771757141398
2015-04-29,-1.1048089634482074,-1.8771982005134518
2015-04-30,-1.1445189162977059,-1.9646853827802229
2015-05-01,-1.3969596487773535,-2.315465203498085
2015-05-04,-1.5201647439446364,-2.5089048318073766
2015-05-05,-1.4047624717657619,-2.4086839140238894
2015-05-06,-1.548909291656075,-2.538743028140655
2015-05-07,-1.530618638604584,-2.501435166653273
2015-05-08,-1.4508008797452792,-2.4526185720444436
2015-05-11,-1.5963003117793322,-2.582109648461856
2015-05-12,-1.5079030121194188,-2.473193954129823
2015-05-13,-1.4337297916108327,-2.321524550913403
2015-05-14,-1.293388975509617,-2.2402716168598342
2015-05-15,-1.4705782434519188,-2.462763186788838
2015-05-18,-1.361629442745503,-2.277465980116614
2015-05-19,-1.2756322320984281,-2.1666414778398546
2015-05-20,-1.2550176380427451,-1.9790518098634373
2015-05-21,-1.1546054984660246,-1.9715381945003736
2015-05-22,-1.1432480553383386,-1.9155440263292718
