margin_model,copula,log_likelihood,aic,bic,nobs,success,message,rho,nu,theta
MSM,gaussian,1799.5626432130116,-3597.125286426023,-3591.7258883426916,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9455336849464352,,
MSM,student,1825.9186104835476,-3647.837220967095,-3637.0384248004325,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9449048612187377,5.575924832359169,
MSM,plackett,1686.450994563816,-3370.901989127632,-3365.5025910443005,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,75.67274594921221
MSM,clayton,1485.5490812642397,-2969.0981625284794,-2963.698764445148,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,,,4.656923344663878
MSM,rotated_clayton,1510.6573165427583,-3019.3146330855166,-3013.915235002185,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.902832420378617
MSM,frank,1537.4765300486265,-3072.953060097253,-3067.5536620139214,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,20.0
MSM,gumbel,1766.0147378135825,-3530.029475627165,-3524.6300775438335,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.494118514855466
MSM,rotated_gumbel,1740.8995462583348,-3479.7990925166696,-3474.399694433338,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,,,4.41482078040816
GARCH,gaussian,1841.477031951527,-3680.954063903054,-3675.5546658197222,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.9458680193313536,,
GARCH,student,1846.7970744551194,-3689.594148910239,-3678.795352743576,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9464222914815623,17.532719791080037,
GARCH,plackett,1755.3690689554116,-3508.7381379108233,-3503.3387398274917,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,80.69757843209538
GARCH,clayton,1387.6402092931553,-2773.2804185863106,-2767.881020502979,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.212784307326274
GARCH,rotated_clayton,1443.3243147932026,-2884.648629586405,-2879.2492315030736,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.997748571183299
GARCH,frank,1677.3080631809626,-3352.616126361925,-3347.2167282785936,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,20.0
GARCH,gumbel,1779.1360354507235,-3556.272070901447,-3550.8726728181155,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.52728993896341
GARCH,rotated_gumbel,1701.3396675438912,-3400.6793350877824,-3395.279937004451,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,,,4.206483346138367
