asset,k,m0,sigma,b,gamma_1,gamma_k,log_likelihood,success,message,nobs
NASDAQ,1,1.6263791622283028,1.3046798137543236,2.0,0.040913753995337365,0.04091375399533732,-2386.292750290516,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,2,1.550986456752665,1.3452324101693838,16.21341362325525,0.009019334798431866,0.1366176734336062,-2354.02701414109,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,3,1.463523219958914,1.28182183799292,5.00468671531156,0.01275356080436596,0.2749331994008809,-2353.841503748505,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,4,1.4937319782666751,1.0781754476487189,9.930252996603786,0.0009878712090388708,0.6200907410690956,-2352.8024015304113,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,5,1.368552189541921,1.277541922381701,2.423942614899961,0.0065132268175353,0.20194808326033034,-2352.6912491272533,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,6,1.3332535872058986,1.2133879726775896,1.9632898728143235,0.0077879714370480135,0.203921002954135,-2352.4570048142036,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,7,1.5110639580318384,5.572744087727619,20.521773079758493,3.176978136121278e-08,0.9068022398557464,-2352.6502526002496,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,1,1.7014345654774028,1.0973788617899798,5.0,0.07263285340726611,0.07263285340726611,-2183.472284383202,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,2,1.594085400099695,1.2277832775030266,14.397475487939065,0.00876074063923038,0.11899176358360766,-2136.2469819773646,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,3,1.548376052075249,1.219566650452172,19.975269645037336,0.00547298571038235,0.8880587925021552,-2134.866114006473,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,4,1.549782335726073,0.9808427329379785,24.702647823889,0.0001781063015491302,0.9317805749541063,-2135.584183225433,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,5,1.5474239988605043,2.6898034744321895,19.768264495785797,1.414209198968841e-05,0.8846388267735501,-2136.380312349981,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,6,1.5475529576735543,0.6327592531777103,19.61413630358686,7.378688346992845e-07,0.8825835940148155,-2137.192097481512,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,7,1.5036700711236746,1.269109541004683,3.4734421122617714,6.0887917106566825e-05,0.1014125708067158,-2137.5679755285732,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
