asset,k,mean_return,m0,sigma,b,gamma_1,gamma_k,log_likelihood,success,message,nobs
NASDAQ,1,0.06666781606711197,1.6263791622283028,1.3046798137543236,2.0,0.040913753995337365,0.04091375399533732,-2386.292750290516,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,2,0.06666781606711197,1.5495888968301912,1.343466091998482,16.26077919466579,0.008891087499133699,0.1351702090123186,-2354.0256123018785,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,3,0.06666781606711197,1.5120546135403532,1.3344598703214292,20.799781018556516,0.005595557079877245,0.9117524288915152,-2349.759985192675,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,4,0.06666781606711197,1.5115824619223672,1.908756424436662,20.890437444814303,0.0002643599059803936,0.9102238552196659,-2350.5586262493252,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,5,0.06666781606711197,1.511223310327835,1.551741422691426,20.140847457241346,1.4079447367643105e-05,0.9014172636853437,-2350.6259550973596,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,6,0.06666781606711197,1.5120509011144523,2.2244447303668182,21.717326886434243,5.189025999996488e-07,0.9184703988262454,-2350.8762343259414,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
NASDAQ,7,0.06666781606711197,1.5125209454418593,1.811151514887198,22.540538798006818,1.9818658492098962e-08,0.9256760177048594,-2350.8949840481932,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,1,0.052717896639002546,1.7014268147683345,1.0973929261589317,20.37930386495885,0.07262538031830246,0.07262538031830243,-2183.472284100274,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,2,0.052717896639002546,1.5940918981035572,1.227832223841797,14.420167490422907,0.008744065227037745,0.11895395803753187,-2136.2469714898343,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,3,0.052717896639002546,1.549599315405615,1.2203846777654397,23.750953692659213,0.004598324622832051,0.9257214491932487,-2134.7522012484424,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,4,0.052717896639002546,1.549782335726073,0.9808427329379785,24.702647823889,0.0001781063015491302,0.9317805749541063,-2135.584183225433,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,5,0.052717896639002546,1.550183406654534,1.462294213272371,27.6195721146955,5.1259265275716e-06,0.9493551496161884,-2135.5977144481685,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,6,0.052717896639002546,1.5498091382330472,2.178528957323394,25.012386623036573,2.7762667520470075e-07,0.9339881860357876,-2135.823087186198,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
S&P 500,7,0.052717896639002546,1.550197477684515,3.2522066142372608,26.667434615019744,8.024164777076237e-09,0.9441976799586005,-2136.2466691535774,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1635
