margin_model,copula,parameters,Log(L),AIC,BIC
MSM,gaussian,rho=0.945,1790.238,-3578.475,-3573.076
MSM,student,"rho=0.945, nu=5.628",1816.377,-3628.754,-3617.956
MSM,plackett,theta=75.223,1681.463,-3360.925,-3355.526
MSM,clayton,theta=4.613,1471.764,-2941.528,-2936.129
MSM,rotated_clayton,theta=4.889,1505.239,-3008.479,-3003.079
MSM,frank,theta=15.899,1587.094,-3172.189,-3166.790
MSM,gumbel,theta=4.481,1758.986,-3515.972,-3510.573
MSM,rotated_gumbel,theta=4.389,1728.424,-3454.848,-3449.449
GARCH,gaussian,rho=0.946,1841.477,-3680.954,-3675.555
GARCH,student,"rho=0.946, nu=17.533",1846.797,-3689.594,-3678.795
GARCH,plackett,theta=80.698,1755.369,-3508.738,-3503.339
GARCH,clayton,theta=4.213,1387.640,-2773.280,-2767.881
GARCH,rotated_clayton,theta=4.998,1443.324,-2884.649,-2879.249
GARCH,frank,theta=20.000,1677.308,-3352.616,-3347.217
GARCH,gumbel,theta=4.527,1779.136,-3556.272,-3550.873
GARCH,rotated_gumbel,theta=4.206,1701.340,-3400.679,-3395.280
