margin_model,copula,parameters,Log(L),AIC,BIC
MSM,gaussian,rho=0.946,1799.563,-3597.125,-3591.726
MSM,student,"rho=0.945, nu=5.576",1825.919,-3647.837,-3637.038
MSM,plackett,theta=75.673,1686.451,-3370.902,-3365.503
MSM,clayton,theta=4.657,1485.549,-2969.098,-2963.699
MSM,rotated_clayton,theta=4.903,1510.657,-3019.315,-3013.915
MSM,frank,theta=20.000,1537.477,-3072.953,-3067.554
MSM,gumbel,theta=4.494,1766.015,-3530.029,-3524.630
MSM,rotated_gumbel,theta=4.415,1740.900,-3479.799,-3474.400
GARCH,gaussian,rho=0.946,1841.477,-3680.954,-3675.555
GARCH,student,"rho=0.946, nu=17.533",1846.797,-3689.594,-3678.795
GARCH,plackett,theta=80.698,1755.369,-3508.738,-3503.339
GARCH,clayton,theta=4.213,1387.640,-2773.280,-2767.881
GARCH,rotated_clayton,theta=4.998,1443.324,-2884.649,-2879.249
GARCH,frank,theta=20.000,1677.308,-3352.616,-3347.217
GARCH,gumbel,theta=4.527,1779.136,-3556.272,-3550.873
GARCH,rotated_gumbel,theta=4.206,1701.340,-3400.679,-3395.280
