margin_model,copula,log_likelihood,aic,bic,nobs,success,message,rho,nu,theta,tau_u,tau_l
MSM,gaussian,1790.2377129834908,-3578.4754259669817,-3573.07602788365,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9450201449711598,,,,
MSM,student,1816.3772233638542,-3628.7544467277085,-3617.955650561046,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9445206983906996,5.628160778464574,,,
MSM,plackett,1681.4626032007202,-3360.9252064014404,-3355.525808318109,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,75.22274447839717,,
MSM,clayton,1471.7640125805324,-2941.5280251610648,-2936.128627077733,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.612737604618602,,
MSM,rotated_clayton,1505.2394037948407,-3008.4788075896813,-3003.0794095063497,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.8887860228286995,,
MSM,sjc,1805.0826983985487,-3606.1653967970974,-3595.3666006304347,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,0.848530791654591,0.820338345511245
MSM,frank,1532.3489291042647,-3062.6978582085294,-3057.298460125198,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,20.0,,
MSM,gumbel,1758.9859788487213,-3515.9719576974426,-3510.572559614111,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.480543486520835,,
MSM,rotated_gumbel,1728.4241413360103,-3454.8482826720206,-3449.448884588689,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.389182989199512,,
GARCH,gaussian,1841.477031951527,-3680.954063903054,-3675.5546658197222,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.9458680193313536,,,,
GARCH,student,1846.7970744551194,-3689.594148910239,-3678.795352743576,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9464222914815623,17.532719791080037,,,
GARCH,plackett,1755.3690689554116,-3508.7381379108233,-3503.3387398274917,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,80.69757843209538,,
GARCH,clayton,1387.6402092931553,-2773.2804185863106,-2767.881020502979,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.212784307326274,,
GARCH,rotated_clayton,1443.3243147932026,-2884.648629586405,-2879.2492315030736,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.997748571183299,,
GARCH,sjc,1687.3933184113876,-3370.786636822775,-3359.9878406561124,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,0.8420214331108654,0.7539675982755843
GARCH,frank,1677.3080631809626,-3352.616126361925,-3347.2167282785936,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,20.0,,
GARCH,gumbel,1779.1360354507235,-3556.272070901447,-3550.8726728181155,1635,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,4.52728993896341,,
GARCH,rotated_gumbel,1701.3396675438912,-3400.6793350877824,-3395.279937004451,1635,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,,,4.206483346138367,,
