,EFV,uc,ind,cc
Historical,0.008,0.6414349083222723,0.019432072446961435,0.058452582410645326
Variance-Covariance,0.014,0.39656966989139186,0.002146446094269283,0.0062868470081342
RiskMetrics,0.032,8.395384837112108e-05,0.09615264290547365,0.00010971066715281808
CCC-GARCH,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Student,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Gaussian,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Plackett,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Clayton,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Rotated Clayton,0.046,3.5406385601177703e-09,0.3887188087171969,1.8563261927617702e-08
Copula-GARCH SJC,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Frank,0.036,6.095228686220366e-06,0.15538813213612057,1.3160345777696314e-05
Copula-GARCH Gumbel,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-GARCH Rotated Gumbel,0.03,0.0002857199081399697,0.07328921995108151,0.00027886923689313114
Copula-MSM Student,0.014,0.39656966989139186,0.002146446094269283,0.0062868470081342
Copula-MSM Gaussian,0.014,0.39656966989139186,0.002146446094269283,0.0062868470081342
