,VaRl(5%),SVaRl(5%),VaRl(1%),SVaRl(1%)
Hist,0.070,0.075,0.004,0.004
RiskMetrics,0.250,0.243,0.084,0.086
Covariance,0.627,0.617,0.202,0.194
CCC-GARCH,0.364,0.420,0.066,0.081
Normal-GARCH,0.395,0.433,0.059,0.071
Student-GARCH,0.416,0.499,0.054,0.067
Plackett-GARCH,0.294,0.371,0.057,0.055
Clayton-GARCH,1.000,1.000,0.136,0.137
rotClayton-GARCH,0.127,0.142,0.012,0.012
SJC-GARCH,0.375,0.433,0.057,0.072
Frank-GARCH,0.176,0.187,0.038,0.038
Gumbel-GARCH,0.283,0.319,0.055,0.063
rotGumbel-GARCH,0.424,0.447,0.049,0.065
Normal-MSM,0.863,0.879,0.846,0.879
Student-MSM,0.188,0.204,1.000,1.000
