,CCC-GARCH
2013-10-17,-1.5740495107202555
2013-10-18,-1.516936798133288
2013-10-21,-1.5092143482777916
2013-10-22,-1.4324906017244843
2013-10-23,-1.3749545880131422
2013-10-24,-1.3459675398354616
2013-10-25,-1.2937580412427727
2013-10-28,-1.2452436459105902
2013-10-29,-1.1917759303095488
2013-10-30,-1.1561676508790522
2013-10-31,-1.1537386832942813
2013-11-01,-1.1290230718847227
2013-11-04,-1.0867120781498565
2013-11-05,-1.0544930999740048
2013-11-06,-1.0259029814473595
2013-11-07,-1.003977163171477
2013-11-08,-1.3057856174511286
2013-11-11,-1.4229903470707357
2013-11-12,-1.3523990987756251
2013-11-13,-1.2949408290527051
2013-11-14,-1.3115067096630213
2013-11-15,-1.260421185820703
2013-11-18,-1.2130605143500939
2013-11-19,-1.2254747570666462
2013-11-20,-1.1923684384792006
2013-11-21,-1.1629699046017283
2013-11-22,-1.2048898302421267
2013-11-25,-1.1737640175707118
2013-11-26,-1.1311205371300856
2013-11-27,-1.0974962727335817
2013-11-29,-1.0737914805201858
2013-12-02,-1.0408116866427037
2013-12-03,-1.0308264642454428
2013-12-04,-1.0136045112059229
2013-12-05,-0.9843014891099517
2013-12-06,-0.9789398007246959
2013-12-09,-1.046964919075713
2013-12-10,-1.0086174129978431
2013-12-11,-0.9921416900916106
2013-12-12,-1.1883472698207966
2013-12-13,-1.153773268568648
2013-12-16,-1.1065120946794509
2013-12-17,-1.1021018175041433
2013-12-18,-1.0733937810578125
2013-12-19,-1.2396938431839695
2013-12-20,-1.1923777346488966
2013-12-23,-1.2033414713186736
2013-12-24,-1.2059885363254295
2013-12-26,-1.153595602823857
2013-12-27,-1.1153823488258865
2013-12-30,-1.0802768635380533
2013-12-31,-1.0401554975238219
2014-01-02,-1.0180547151290316
2014-01-03,-1.0996961819538686
2014-01-06,-1.0646803087897663
2014-01-07,-1.0492435690101696
2014-01-08,-1.0677306363088668
2014-01-09,-1.028797400893217
2014-01-10,-0.9979109246614399
2014-01-13,-0.970688632177039
2014-01-14,-1.2122223495365478
2014-01-15,-1.3286821883327995
2014-01-16,-1.2923653245632991
2014-01-17,-1.2333107800139582
2014-01-21,-1.209640294541591
2014-01-22,-1.171279948997947
2014-01-23,-1.1248155024008613
2014-01-24,-1.1692130968024503
2014-01-27,-1.6191074488098938
2014-01-28,-1.6026602619895582
2014-01-29,-1.5228520096573557
2014-01-30,-1.562732657923389
2014-01-31,-1.632010721906952
2014-02-03,-1.574550257059493
2014-02-04,-2.0138958869065844
2014-02-05,-1.9171228450514426
2014-02-06,-1.810504326454926
2014-02-07,-1.7937734969660721
2014-02-10,-1.8367054956395954
2014-02-11,-1.7268907912387175
2014-02-12,-1.701712987954485
2014-02-13,-1.598953792251816
2014-02-14,-1.5435633847870218
2014-02-18,-1.4638451209346586
2014-02-19,-1.394689978368182
2014-02-20,-1.38948614165466
2014-02-21,-1.3446359491035749
2014-02-24,-1.2821419716503386
2014-02-25,-1.2519518181141167
2014-02-26,-1.1974388225305266
2014-02-27,-1.143615039585339
2014-02-28,-1.1186729040437022
2014-03-03,-1.079874575420896
2014-03-04,-1.1262346395932286
2014-03-05,-1.3430588606401608
2014-03-06,-1.2720350609265658
2014-03-07,-1.2109575269624067
2014-03-10,-1.1630876844635791
2014-03-11,-1.11280764914806
2014-03-12,-1.123445074912484
2014-03-13,-1.0797252122538403
2014-03-14,-1.2800830152820506
2014-03-17,-1.23544856758426
2014-03-18,-1.2511952425268609
2014-03-19,-1.277238420512352
2014-03-20,-1.269177069287897
2014-03-21,-1.2246080176527934
2014-03-24,-1.2364598308547832
2014-03-25,-1.2768627812151365
2014-03-26,-1.2223869515463182
2014-03-27,-1.3156430609480456
2014-03-28,-1.2720714970492366
2014-03-31,-1.2202097908112028
2014-04-01,-1.2385565783071435
2014-04-02,-1.3082254419749202
2014-04-03,-1.2461071003107747
2014-04-04,-1.234949620905643
2014-04-07,-1.594269348342351
2014-04-08,-1.6454937755224104
2014-04-09,-1.566495734008109
2014-04-10,-1.6284466898698127
2014-04-11,-2.1321418526933753
2014-04-14,-2.092974549817106
2014-04-15,-1.9780937637625997
2014-04-16,-1.861408718668082
2014-04-17,-1.8317831175151655
2014-04-21,-1.7124487295013961
