,Copula-GARCH frank
2013-10-17,-1.5719287397377368
2013-10-18,-1.5148752832832313
2013-10-21,-1.5059079852057338
2013-10-22,-1.4402238006252979
2013-10-23,-1.3768551941546976
2013-10-24,-1.347032646592105
2013-10-25,-1.2889165314269662
2013-10-28,-1.2519587612173957
2013-10-29,-1.1931454711943255
2013-10-30,-1.162446734191363
2013-10-31,-1.1524792818432805
2013-11-01,-1.1351560747687748
2013-11-04,-1.0926090524245655
2013-11-05,-1.0603403328340542
2013-11-06,-1.0315988706741277
2013-11-07,-1.0045433453369494
2013-11-08,-1.3126255943913563
2013-11-11,-1.4198970047494515
2013-11-12,-1.3516400697743667
2013-11-13,-1.3014507956764532
2013-11-14,-1.3181075461900076
2013-11-15,-1.2668281420046565
2013-11-18,-1.2192427255831046
2013-11-19,-1.2317132752270767
2013-11-20,-1.198438930324788
2013-11-21,-1.1623907459481573
2013-11-22,-1.2021495795601624
2013-11-25,-1.1710558375223177
2013-11-26,-1.1305242595271296
2013-11-27,-1.0971220390618965
2013-11-29,-1.072141779988374
2013-12-02,-1.0418941444865057
2013-12-03,-1.036335006965733
2013-12-04,-1.0121788405162033
2013-12-05,-0.9895986992058695
2013-12-06,-0.9843020166694101
2013-12-09,-1.0528285111359013
2013-12-10,-1.0142842534196899
2013-12-11,-0.9925639330175494
2013-12-12,-1.1881988958674177
2013-12-13,-1.1522042412234448
2013-12-16,-1.1125833252216657
2013-12-17,-1.1081884824984785
2013-12-18,-1.0731156904310544
2013-12-19,-1.246543177921827
2013-12-20,-1.1989607382909977
2013-12-23,-1.2049958781143153
2013-12-24,-1.203718211563406
2013-12-26,-1.1601359536243294
2013-12-27,-1.1132587505011704
2013-12-30,-1.0792409758109371
2013-12-31,-1.0401283780327375
2014-01-02,-1.0238434230625002
2014-01-03,-1.1059200420969795
2014-01-06,-1.0647835184450563
2014-01-07,-1.0552594181697148
2014-01-08,-1.0681358880338279
2014-01-09,-1.0291019467883045
2014-01-10,-0.9997353559320661
2014-01-13,-0.9682985068426456
2014-01-14,-1.213148993485735
2014-01-15,-1.32721527416033
2014-01-16,-1.2920615842575403
2014-01-17,-1.2335242156479533
2014-01-21,-1.2163847865877577
2014-01-22,-1.1731410715632773
2014-01-23,-1.1311423888455563
2014-01-24,-1.1694315312251498
2014-01-27,-1.6280803632056362
2014-01-28,-1.6029156311956927
2014-01-29,-1.4674897185383577
2014-01-30,-1.5714299868628663
2014-01-31,-1.6335594199775483
2014-02-03,-1.576041740552627
2014-02-04,-2.014775435235476
2014-02-05,-1.9192739710286302
2014-02-06,-1.8202484813849433
2014-02-07,-1.8034612466406685
2014-02-10,-1.8451420061300667
2014-02-11,-1.736135733407653
2014-02-12,-1.6985197998661374
2014-02-13,-1.607604438772317
2014-02-14,-1.5519169677682876
2014-02-18,-1.4718429913974702
2014-02-19,-1.3946321380372069
2014-02-20,-1.3971212541460742
2014-02-21,-1.3520821500708506
2014-02-24,-1.2819345168255265
2014-02-25,-1.2589318821731068
2014-02-26,-1.204148365266788
2014-02-27,-1.1437350919381333
2014-02-28,-1.1249987021587886
2014-03-03,-1.0860734077816712
2014-03-04,-1.1327088008001023
2014-03-05,-1.339793157285091
2014-03-06,-1.2792555501989042
2014-03-07,-1.217879517126109
2014-03-10,-1.1632988156635387
2014-03-11,-1.1192740714522285
2014-03-12,-1.1299575254172753
2014-03-13,-1.0798946601882347
2014-03-14,-1.2873755702373915
2014-03-17,-1.2424857869481027
2014-03-18,-1.2583909315695114
2014-03-19,-1.277294297803564
2014-03-20,-1.2692428433720462
2014-03-21,-1.2316941735664755
2014-03-24,-1.243597891761819
2014-03-25,-1.2746988005174995
2014-03-26,-1.222090955811264
2014-03-27,-1.3230101940471795
2014-03-28,-1.279194526616527
2014-03-31,-1.2200984675875035
2014-04-01,-1.239892194897207
2014-04-02,-1.3155531328564714
2014-04-03,-1.2531659756741693
2014-04-04,-1.2419100117132864
2014-04-07,-1.6026947353593066
2014-04-08,-1.6428901712934125
2014-04-09,-1.5660228531883809
2014-04-10,-1.629343512155469
2014-04-11,-2.1286668128656623
2014-04-14,-2.104547795382972
2014-04-15,-1.97747323865743
2014-04-16,-1.8613066061838062
2014-04-17,-1.8421604495701107
2014-04-21,-1.7221416474382196
2014-04-22,-1.6174137499529568
2014-04-23,-1.55526112735756
