,Copula-GARCH gaussian
2013-10-17,-1.5740281763761492
2013-10-18,-1.5169114848423404
2013-10-21,-1.509195610025884
2013-10-22,-1.43250080022614
2013-10-23,-1.3749670169273418
2013-10-24,-1.345975824985685
2013-10-25,-1.2937638023871656
2013-10-28,-1.2452507071830048
2013-10-29,-1.1917799042752153
2013-10-30,-1.1561700263262802
2013-10-31,-1.1537401512704863
2013-11-01,-1.1290238860908266
2013-11-04,-1.086712885830011
2013-11-05,-1.0545005584347615
2013-11-06,-1.025907812680254
2013-11-07,-1.0039810895842256
2013-11-08,-1.305786788297465
2013-11-11,-1.4229905529326654
2013-11-12,-1.352396388745666
2013-11-13,-1.2949376310080507
2013-11-14,-1.3115072651719786
2013-11-15,-1.2604192997448478
2013-11-18,-1.2130567215535086
2013-11-19,-1.2254800164766522
2013-11-20,-1.1923712603547836
2013-11-21,-1.1629706757168197
2013-11-22,-1.2048862508696045
2013-11-25,-1.1737611102023437
2013-11-26,-1.1311275128709997
2013-11-27,-1.0975015300624307
2013-11-29,-1.0737945437858079
2013-12-02,-1.0408122079161246
2013-12-03,-1.0308472490153033
2013-12-04,-1.013619631107962
2013-12-05,-0.9843126725203182
2013-12-06,-0.9789482174035458
2013-12-09,-1.0469704360167513
2013-12-10,-1.0086191569197736
2013-12-11,-0.9921404893573537
2013-12-12,-1.188342991895337
2013-12-13,-1.153767089017927
2013-12-16,-1.106504980131507
2013-12-17,-1.1020898803495403
2013-12-18,-1.0733763214967103
2013-12-19,-1.2396767847010883
2013-12-20,-1.1923627718593917
2013-12-23,-1.2033276613287944
2013-12-24,-1.205992964601876
2013-12-26,-1.153596782427585
2013-12-27,-1.1153809561395724
2013-12-30,-1.0802731720481251
2013-12-31,-1.0401506502726026
2014-01-02,-1.0180492360896498
2014-01-03,-1.0996874587255558
2014-01-06,-1.064673408959697
2014-01-07,-1.0492428689634365
2014-01-08,-1.0677287940442266
2014-01-09,-1.0287951130309567
2014-01-10,-0.9979072602231509
2014-01-13,-0.9706851561589094
2014-01-14,-1.2122174933781968
2014-01-15,-1.3286659584049603
2014-01-16,-1.292354427770267
2014-01-17,-1.2333377206518952
2014-01-21,-1.2096646812417728
2014-01-22,-1.1713004979794568
2014-01-23,-1.1248327602221104
2014-01-24,-1.1692300388383312
2014-01-27,-1.6191327516107406
2014-01-28,-1.6027382326043316
2014-01-29,-1.5229180965254283
2014-01-30,-1.5627919659850704
2014-01-31,-1.6320640775164585
2014-02-03,-1.5745958812336314
2014-02-04,-2.0139553182767242
2014-02-05,-1.9171701478879501
2014-02-06,-1.8105566089821221
2014-02-07,-1.7938154964174515
2014-02-10,-1.8367414348846263
2014-02-11,-1.7269192444011174
2014-02-12,-1.701738582684654
2014-02-13,-1.5989726716355772
2014-02-14,-1.543576894776674
2014-02-18,-1.4638533386355637
2014-02-19,-1.3946968326585576
2014-02-20,-1.3894875005437561
2014-02-21,-1.34467380589146
2014-02-24,-1.282179008388362
2014-02-25,-1.2519843705401161
2014-02-26,-1.197468238349842
2014-02-27,-1.14365731359746
2014-02-28,-1.1187083122778512
2014-03-03,-1.079904211782928
2014-03-04,-1.1262611462438394
2014-03-05,-1.3430872570798453
2014-03-06,-1.2720603636374297
2014-03-07,-1.2109791859935228
2014-03-10,-1.1631368467714194
2014-03-11,-1.1128513214111042
2014-03-12,-1.1234871767320371
2014-03-13,-1.0797754099903378
2014-03-14,-1.280139993186559
2014-03-17,-1.23550284234118
2014-03-18,-1.251252461883249
2014-03-19,-1.2772897495358841
2014-03-20,-1.2692224588099814
2014-03-21,-1.2246458698003027
2014-03-24,-1.2365054417103167
2014-03-25,-1.2769013815264851
2014-03-26,-1.2224162515858745
2014-03-27,-1.3156675163030251
2014-03-28,-1.2720900749108186
2014-03-31,-1.2202233402805216
2014-04-01,-1.2385660041101363
2014-04-02,-1.3082324224932695
2014-04-03,-1.2461053741584187
2014-04-04,-1.2349510890758737
2014-04-07,-1.5942751766126901
2014-04-08,-1.6455570217856008
2014-04-09,-1.5665518854516065
2014-04-10,-1.628509286010902
2014-04-11,-2.132244496090213
2014-04-14,-2.0930662314260196
2014-04-15,-1.9781743506614746
2014-04-16,-1.8614782373055512
2014-04-17,-1.8318431651585605
2014-04-21,-1.7124970047875043
2014-04-22,-1.6208504405743909
2014-04-23,-1.5560223279952459
2014-04-24,-1.5029200216995808
2014-04-25,-1.4234049978246803
2014-04-28,-1.5334827348612041
2014-04-29,-1.4484402860985215
2014-04-30,-1.392507313222048
2014-05-01,-1.320229166175414
2014-05-02,-1.25271131311914
2014-05-05,-1.1947061842158084
2014-05-06,-1.1442314734094945
2014-05-07,-1.2793432961576168
2014-05-08,-1.24136165851852
2014-05-09,-1.1968857367315318
2014-05-12,-1.1488060214850495
2014-05-13,-1.2827902317336821
2014-05-14,-1.2298396693698237
2014-05-15,-1.2259808281875495
2014-05-16,-1.2808202333003693
2014-05-19,-1.2308992812990878
2014-05-20,-1.2062929795889243
2014-05-21,-1.2201967211489984
2014-05-22,-1.226456346118476
2014-05-23,-1.1813032567514772
2014-05-27,-1.156971017391581
