,Copula-GARCH plackett
2013-10-17,-2.2085202150188463
2013-10-18,-2.1297786309592137
2013-10-21,-2.1195501059358373
2013-10-22,-2.014602949595359
2013-10-23,-1.9349546926055767
2013-10-24,-1.894893288355412
2013-10-25,-1.8230101036147797
2013-10-28,-1.756094744056126
2013-10-29,-1.6822537657968637
2013-10-30,-1.633053754496067
2013-10-31,-1.6292983634295541
2013-11-01,-1.5949563412606849
2013-11-04,-1.5365247303215561
2013-11-05,-1.4922258640489783
2013-11-06,-1.452554643397494
2013-11-07,-1.4222902873131864
2013-11-08,-1.837944414481639
2013-11-11,-2.0004098295812125
2013-11-12,-1.9031702432793516
2013-11-13,-1.8238558250240136
2013-11-14,-1.84748223179326
2013-11-15,-1.7768136571464015
2013-11-18,-1.7116787376299176
2013-11-19,-1.728278235747787
2013-11-20,-1.6824220761095432
2013-11-21,-1.6415263498166905
2013-11-22,-1.700040423232834
2013-11-25,-1.6572184121805293
2013-11-26,-1.597987327648795
2013-11-27,-1.5519200951066532
2013-11-29,-1.519304762218503
2013-12-02,-1.4736016490937645
2013-12-03,-1.4590925694083492
2013-12-04,-1.4350073328077222
2013-12-05,-1.3946306626307954
2013-12-06,-1.386583983544154
2013-12-09,-1.480774250410116
2013-12-10,-1.4281540195464146
2013-12-11,-1.4053532256404904
2013-12-12,-1.67523928460708
2013-12-13,-1.6272629113463364
2013-12-16,-1.5621934528850734
2013-12-17,-1.5564865115035886
2013-12-18,-1.5167415946554945
2013-12-19,-1.7469696758946065
2013-12-20,-1.6816716964620646
2013-12-23,-1.697309284010557
2013-12-24,-1.7017355621267207
2013-12-26,-1.6295827452378875
2013-12-27,-1.5769411385472316
2013-12-30,-1.5280405386382894
2013-12-31,-1.4728930256993333
2014-01-02,-1.4428146498426835
2014-01-03,-1.5548816850177063
2014-01-06,-1.5063862933850052
2014-01-07,-1.4853439831155921
2014-01-08,-1.5113548965566332
2014-01-09,-1.4581735263777202
2014-01-10,-1.415312476063945
2014-01-13,-1.3777175540388273
2014-01-14,-1.7098938019028387
2014-01-15,-1.8712387387414717
2014-01-16,-1.8212906186383826
2014-01-17,-1.7395606762533153
2014-01-21,-1.7065721664727556
2014-01-22,-1.6536560665355384
2014-01-23,-1.5892637600167607
2014-01-24,-1.6495071034560562
2014-01-27,-2.269051423630199
2014-01-28,-2.245677011192048
2014-01-29,-2.1356294169017387
2014-01-30,-2.190393319759462
2014-01-31,-2.2866113373747603
2014-02-03,-2.207054725899429
2014-02-04,-2.8125531566674256
2014-02-05,-2.679442056225924
2014-02-06,-2.531858143249355
2014-02-07,-2.508868939349514
2014-02-10,-2.568837811381071
2014-02-11,-2.417681258400392
2014-02-12,-2.3827144898319057
2014-02-13,-2.241034837008119
2014-02-14,-2.1650400229687663
2014-02-18,-2.05478044688949
2014-02-19,-1.9595758957102793
2014-02-20,-1.9523971602001329
2014-02-21,-1.8917418052373265
2014-02-24,-1.80533539427835
2014-02-25,-1.7637321639608197
2014-02-26,-1.6883103946307414
2014-02-27,-1.613720512668802
2014-02-28,-1.5796664019277489
2014-03-03,-1.5260220121803998
2014-03-04,-1.5894130578539216
2014-03-05,-1.8890671492393278
2014-03-06,-1.7912813755255566
2014-03-07,-1.7071478489337675
2014-03-10,-1.6419193689074827
2014-03-11,-1.5726116279920646
2014-03-12,-1.5867534476161238
2014-03-13,-1.5262369674616676
2014-03-14,-1.8015366825583832
2014-03-17,-1.7396501443252068
2014-03-18,-1.761064080184064
2014-03-19,-1.7973607807299286
2014-03-20,-1.7857656644708473
2014-03-21,-1.7240868222721748
2014-03-24,-1.7399795872552368
2014-03-25,-1.7956351734998484
2014-03-26,-1.720189885887558
2014-03-27,-1.848916960597376
2014-03-28,-1.7886552210647433
2014-03-31,-1.7170012691498708
2014-04-01,-1.7426862673942538
2014-04-02,-1.8398966306723168
2014-04-03,-1.7537221623860604
2014-04-04,-1.738513800471423
2014-04-07,-2.2349049442362907
2014-04-08,-2.3054890394583545
2014-04-09,-2.19651665786486
2014-04-10,-2.282167990005914
2014-04-11,-2.976179356643371
2014-04-14,-2.9216793671524317
2014-04-15,-2.762447068838183
2014-04-16,-2.6009217604728794
2014-04-17,-2.5602088825336167
2014-04-21,-2.3957758513023113
2014-04-22,-2.2692066298944
2014-04-23,-2.180099348682444
2014-04-24,-2.1068809949516507
2014-04-25,-1.9970534697349995
2014-04-28,-2.148973098575911
2014-04-29,-2.031498392030246
2014-04-30,-1.9544730775369215
2014-05-01,-1.8549380810198688
2014-05-02,-1.7619063990490622
2014-05-05,-1.6819686317080413
2014-05-06,-1.6128610358770339
2014-05-07,-1.7982190216862661
2014-05-08,-1.746467630164022
2014-05-09,-1.6849783498375852
2014-05-12,-1.6185440655002423
2014-05-13,-1.804201064362289
2014-05-14,-1.7306250626789625
2014-05-15,-1.7248723846975038
2014-05-16,-1.7985643523584591
2014-05-19,-1.7299947465802352
2014-05-20,-1.6962141223123708
2014-05-21,-1.71520446161432
2014-05-22,-1.723798447533117
2014-05-23,-1.6611873034041933
2014-05-27,-1.6279888072986413
2014-05-28,-1.6695213700650642
2014-05-29,-1.6082315919680703
2014-05-30,-1.5736595748144147
2014-06-02,-1.516103300972802
2014-06-03,-1.4595460768036026
2014-06-04,-1.409341004461311
2014-06-05,-1.3679039180328325
2014-06-06,-1.4349215515567195
2014-06-09,-1.4208890414318067
2014-06-10,-1.374867642387394
2014-06-11,-1.3302073294554146
2014-06-12,-1.321243459742987
2014-06-13,-1.430220687807047
2014-06-16,-1.386628545196003
2014-06-17,-1.3405115673657981
2014-06-18,-1.3063761805629326
2014-06-19,-1.345610834491585
2014-06-20,-1.3053399097738483
2014-06-23,-1.266005901382074
2014-06-24,-1.2317268285138703
2014-06-25,-1.295246015107704
2014-06-26,-1.307279962020031
2014-06-27,-1.2733657740159667
2014-06-30,-1.2470819894006826
2014-07-01,-1.2149565426379572
2014-07-02,-1.331560020173655
2014-07-03,-1.2870344389258297
2014-07-07,-1.2983951138321215
2014-07-08,-1.3561063851313622
2014-07-09,-1.5585023275197936
2014-07-10,-1.5290412629824004
2014-07-11,-1.5193792043626497
2014-07-14,-1.4617944972919965
2014-07-15,-1.4377810561194218
2014-07-16,-1.4241909765510632
2014-07-17,-1.3835087288559245
2014-07-18,-1.6881662201581398
2014-07-21,-1.8339183885830959
2014-07-22,-1.7496130312978149
2014-07-23,-1.7018046980790849
2014-07-24,-1.625215908997497
2014-07-25,-1.5512415074825217
2014-07-28,-1.546116088793535
2014-07-29,-1.4842088887511795
2014-07-30,-1.4564508061629415
2014-07-31,-1.4083005335795447
2014-08-01,-2.08572123457431
2014-08-04,-1.9872913077219225
2014-08-05,-1.931195401710142
2014-08-06,-1.9536121437617562
2014-08-07,-1.8487338513031133
2014-08-08,-1.8087062711271185
2014-08-11,-1.838979614518754
2014-08-12,-1.7728801685021616
2014-08-13,-1.701283308997263
2014-08-14,-1.709563426862551
2014-08-15,-1.64676845726481
2014-08-18,-1.5769566474163814
2014-08-19,-1.6166369145728134
2014-08-20,-1.5717251834860329
2014-08-21,-1.5092446643890594
2014-08-22,-1.4535565108716346
2014-08-25,-1.4055384251013825
2014-08-26,-1.3774008434681808
2014-08-27,-1.3297339653326221
2014-08-28,-1.2901685902063145
2014-08-29,-1.270613062177439
2014-09-02,-1.2538152775016966
2014-09-03,-1.228763186789818
2014-09-04,-1.242417883361289
2014-09-05,-1.2256147457249122
2014-09-08,-1.2272378794644576
2014-09-09,-1.2134856890222085
2014-09-10,-1.3417662277424103
2014-09-11,-1.343925752653353
2014-09-12,-1.2990095148000695
2014-09-15,-1.349587077734375
2014-09-16,-1.4232493907478252
2014-09-17,-1.4552754169297077
2014-09-18,-1.3995747166521755
2014-09-19,-1.3965521121674846
2014-09-22,-1.3602399064663853
2014-09-23,-1.5255471193955363
2014-09-24,-1.5263984642415598
2014-09-25,-1.5785369251829067
2014-09-26,-2.049317256473194
2014-09-29,-2.027424399845529
2014-09-30,-1.921449946327944
2014-10-01,-1.83580678432793
2014-10-02,-2.0720809685961643
2014-10-03,-1.9543723883615594
2014-10-06,-1.9835561816539733
2014-10-07,-1.899804458127756
2014-10-08,-2.1480220883437413
2014-10-09,-2.3785274377456562
2014-10-10,-2.7321014875388214
2014-10-13,-2.905881347977137
2014-10-14,-2.9765446560336373
2014-10-15,-2.7802831235683554
2014-10-16,-2.6539370187326305
2014-10-17,-2.48969392866725
2014-10-20,-2.4655532571558947
2014-10-21,-2.435957963401078
2014-10-22,-2.7215172423090923
2014-10-23,-2.625844853578094
2014-10-24,-2.636527522548694
2014-10-27,-2.516298850113632
2014-10-28,-2.3719129383188307
2014-10-29,-2.434328858405916
2014-10-30,-2.305280248110702
2014-10-31,-2.1989682804591695
2014-11-03,-2.238631605060045
2014-11-04,-2.115349683952772
2014-11-05,-2.021907164282391
2014-11-06,-1.932436393907482
