,Copula-GARCH rotated_gumbel
2013-10-17,-2.2851641396809654
2013-10-18,-2.2037153801634983
2013-10-21,-2.1930811144151794
2013-10-22,-2.0848017209650287
2013-10-23,-2.0028286425378767
2013-10-24,-1.9611826458707873
2013-10-25,-1.886760811503277
2013-10-28,-1.817540386752158
2013-10-29,-1.7414137643371532
2013-10-30,-1.6908735890714093
2013-10-31,-1.6869494708671149
2013-11-01,-1.651455700767166
2013-11-04,-1.591149403181766
2013-11-05,-1.5452145205377081
2013-11-06,-1.5044176223752954
2013-11-07,-1.473139772927569
2013-11-08,-1.9020604756027792
2013-11-11,-2.069622101407597
2013-11-12,-1.968901380990772
2013-11-13,-1.8869748195590794
2013-11-14,-1.9114291838818172
2013-11-15,-1.8386328747595837
2013-11-18,-1.7713289118660571
2013-11-19,-1.788352421573568
2013-11-20,-1.740953053121264
2013-11-21,-1.698899122406212
2013-11-22,-1.759340029705667
2013-11-25,-1.7151990185587906
2013-11-26,-1.6540336513723632
2013-11-27,-1.6064612466905133
2013-11-29,-1.5727092149187907
2013-12-02,-1.5256627338967985
2013-12-03,-1.5106139341515874
2013-12-04,-1.4859031960158948
2013-12-05,-1.4441848648737368
2013-12-06,-1.4361926671254923
2013-12-09,-1.5341340249797515
2013-12-10,-1.479676456353371
2013-12-11,-1.4560029179929597
2013-12-12,-1.7348871866850466
2013-12-13,-1.6854557520697517
2013-12-16,-1.6180835100651374
2013-12-17,-1.6122107183356453
2013-12-18,-1.5712108415569208
2013-12-19,-1.8094123361757655
2013-12-20,-1.7419014935125368
2013-12-23,-1.7580290631624653
2013-12-24,-1.762715369352223
2013-12-26,-1.688130169895507
2013-12-27,-1.6336878893485238
2013-12-30,-1.583203450997934
2013-12-31,-1.5260471158707112
2014-01-02,-1.4948103929456096
2014-01-03,-1.6106975276438766
2014-01-06,-1.560681907798474
2014-01-07,-1.5390162860754184
2014-01-08,-1.5657277429872343
2014-01-09,-1.510892853468785
2014-01-10,-1.4666392092855771
