,Copula-GARCH sjc
2013-10-17,-2.275946561974927
2013-10-18,-2.1947500822630865
2013-10-21,-2.1842931219874897
2013-10-22,-2.0764449371689513
2013-10-23,-1.994552108760712
2013-10-24,-1.9531032270803779
2013-10-25,-1.8789696901220554
2013-10-28,-1.8099028663995556
2013-10-29,-1.7340379858470052
2013-10-30,-1.6836896862967166
2013-10-31,-1.6799576397120903
2013-11-01,-1.6444162599673744
2013-11-04,-1.5843302090045555
2013-11-05,-1.538725820206739
2013-11-06,-1.4980065273230052
2013-11-07,-1.466892349631521
2013-11-08,-1.8942597931666165
2013-11-11,-2.0611286391167285
2013-11-12,-1.9608555613718872
2013-11-13,-1.8790747258315401
2013-11-14,-1.9034420731893684
2013-11-15,-1.8309631204280292
2013-11-18,-1.7641223641194215
2013-11-19,-1.7807167483703008
2013-11-20,-1.7336572906799528
2013-11-21,-1.6919204117474438
2013-11-22,-1.7519176083780994
2013-11-25,-1.7080147533129133
2013-11-26,-1.6469141227054434
2013-11-27,-1.5993608067666558
2013-11-29,-1.5657147023868074
2013-12-02,-1.518833011062806
2013-12-03,-1.504008585181987
2013-12-04,-1.4792737188669876
2013-12-05,-1.4376850950308104
2013-12-06,-1.4295655339149698
2013-12-09,-1.527276408263004
2013-12-10,-1.473264130562173
2013-12-11,-1.4500556570168097
2013-12-12,-1.7279753138230547
2013-12-13,-1.678729879209408
2013-12-16,-1.6115509381358248
2013-12-17,-1.6057099431498936
2013-12-18,-1.5647220697813726
2013-12-19,-1.8020924681468762
2013-12-20,-1.734598381428269
2013-12-23,-1.750853707233143
2013-12-24,-1.7556515424241923
2013-12-26,-1.681302766345875
2013-12-27,-1.627302444161591
2013-12-30,-1.5767836659421532
2013-12-31,-1.519990971441006
2014-01-02,-1.4886169604997814
2014-01-03,-1.603914852880528
2014-01-06,-1.5541693425994632
2014-01-07,-1.5329882501343033
2014-01-08,-1.5595344252449077
2014-01-09,-1.5050562734494508
2014-01-10,-1.4608959572344777
2014-01-13,-1.4221293440159066
2014-01-14,-1.7641349956969774
2014-01-15,-1.9299869525511881
2014-01-16,-1.8784741113899797
2014-01-17,-1.7944676842002192
2014-01-21,-1.7608081216605993
2014-01-22,-1.7059813971554125
2014-01-23,-1.6400652001298066
2014-01-24,-1.7023578650750513
2014-01-27,-2.3399341706653205
2014-01-28,-2.3162097318633528
2014-01-29,-2.202595271768783
2014-01-30,-2.2589762234692508
2014-01-31,-2.357593206066196
2014-02-03,-2.2760413382510114
2014-02-04,-2.8994739754995806
2014-02-05,-2.7615357092168957
2014-02-06,-2.610055399318042
2014-02-07,-2.586850774654447
2014-02-10,-2.6479796598662597
2014-02-11,-2.492570471911615
2014-02-12,-2.4564490505013623
2014-02-13,-2.310537469534043
2014-02-14,-2.232309191878712
2014-02-18,-2.118737472615702
2014-02-19,-2.020804803444632
2014-02-20,-2.0133089964724435
2014-02-21,-1.951086478442817
2014-02-24,-1.8620586015992704
2014-02-25,-1.819372459955007
2014-02-26,-1.7414996952013808
2014-02-27,-1.664412528124403
2014-02-28,-1.6293152205884447
2014-03-03,-1.5745184677328896
2014-03-04,-1.6400700341880905
2014-03-05,-1.9487359773414243
2014-03-06,-1.8477887416697543
2014-03-07,-1.7615472421832652
2014-03-10,-1.6947477583508195
2014-03-11,-1.6229693788857655
2014-03-12,-1.6377589972223472
2014-03-13,-1.5753504405420444
2014-03-14,-1.8590109914801034
2014-03-17,-1.795108500085721
2014-03-18,-1.8175573729756536
2014-03-19,-1.8550092272007432
2014-03-20,-1.8432876630017412
2014-03-21,-1.7800254593072047
2014-03-24,-1.7963116650114823
2014-03-25,-1.853353697723409
2014-03-26,-1.7760784143318524
2014-03-27,-1.9081354002125344
2014-03-28,-1.8460201670334082
2014-03-31,-1.7725073974249927
2014-04-01,-1.7990287633310544
2014-04-02,-1.8986670022383203
2014-04-03,-1.810194015441296
2014-04-04,-1.794311946465917
2014-04-07,-2.302924680715462
2014-04-08,-2.376938851136907
2014-04-09,-2.264929543367131
2014-04-10,-2.352758758160564
2014-04-11,-3.067440137374612
2014-04-14,-3.011414255709512
2014-04-15,-2.848277337785157
2014-04-16,-2.6824831532226514
2014-04-17,-2.6407081177693694
2014-04-21,-2.470982404956553
2014-04-22,-2.3404450398330208
2014-04-23,-2.248536812123844
2014-04-24,-2.173009103741083
2014-04-25,-2.0603003435486653
2014-04-28,-2.216111185504651
2014-04-29,-2.095591113171698
2014-04-30,-2.0160590492608295
2014-05-01,-1.9138984850247769
2014-05-02,-1.8182492134537847
2014-05-05,-1.7359357341077537
2014-05-06,-1.6649439235943997
2014-05-07,-1.8557703408027815
2014-05-08,-1.8031807261757142
2014-05-09,-1.7397585465255727
2014-05-12,-1.6712378354982134
2014-05-13,-1.8623614475975845
2014-05-14,-1.7865615902306662
2014-05-15,-1.780855477440346
2014-05-16,-1.8576779066856317
2014-05-19,-1.7868182859265784
2014-05-20,-1.7519751233825682
2014-05-21,-1.7718437502012836
