,Copula-GARCH student
2013-10-17,-2.268438028362998
2013-10-18,-2.1876841855692755
2013-10-21,-2.17710120989952
2013-10-22,-2.06947926879382
2013-10-23,-1.9879881075728527
2013-10-24,-1.9467043896749578
2013-10-25,-1.8728511798217602
2013-10-28,-1.8041809631305041
2013-10-29,-1.7285561329466967
2013-10-30,-1.678306172988419
2013-10-31,-1.6744109264464602
2013-11-01,-1.6391610686395768
2013-11-04,-1.5792574976601408
2013-11-05,-1.5337506306042898
2013-11-06,-1.493155216743628
2013-11-07,-1.462132666131222
2013-11-08,-1.8881024919586646
2013-11-11,-2.0547197259664514
2013-11-12,-1.954720579720341
2013-11-13,-1.8733658292934674
2013-11-14,-1.8976167694458963
2013-11-15,-1.825268157987912
2013-11-18,-1.7584442035913639
2013-11-19,-1.7753312266282417
2013-11-20,-1.7282745901519805
2013-11-21,-1.6864844479936607
2013-11-22,-1.7464977067170637
2013-11-25,-1.702659171632307
2013-11-26,-1.6418948285773547
2013-11-27,-1.5946639324203957
2013-11-29,-1.561162811429541
2013-12-02,-1.5143885273149038
2013-12-03,-1.499442151206087
2013-12-04,-1.4748687523208373
2013-12-05,-1.4334278443799622
2013-12-06,-1.4254095027757059
2013-12-09,-1.5225047818773223
2013-12-10,-1.4684458005419105
2013-12-11,-1.444970127938061
2013-12-12,-1.7219315409434677
2013-12-13,-1.672818478426547
2013-12-16,-1.6059339311313543
2013-12-17,-1.6000707305750421
2013-12-18,-1.5593377316665933
2013-12-19,-1.7957647727110393
2013-12-20,-1.7287622113076517
2013-12-23,-1.7447755794354598
2013-12-24,-1.749279286796057
2013-12-26,-1.6752512714184182
2013-12-27,-1.621263044443916
2013-12-30,-1.5710912608277652
2013-12-31,-1.5143875634854662
2014-01-02,-1.4834112691955978
2014-01-03,-1.5984594427020995
2014-01-06,-1.5487948637116582
2014-01-07,-1.5272113949838546
2014-01-08,-1.5537990885484843
2014-01-09,-1.4992385869788303
2014-01-10,-1.4553225169805877
2014-01-13,-1.4168255281723312
2014-01-14,-1.7577137606198516
