,Copula-MSM gaussian
2013-10-17,-2.591780261829302
2013-10-18,-2.520287434267413
2013-10-21,-2.5632687467852713
2013-10-22,-2.526012237634618
2013-10-23,-2.4336537187752327
2013-10-24,-2.3978586607078274
2013-10-25,-2.1620481986368763
2013-10-28,-2.1678571601482473
2013-10-29,-2.0122619227999086
2013-10-30,-1.8516143437261743
2013-10-31,-1.8455542535792606
2013-11-01,-1.7908093850663152
2013-11-04,-1.5753366970420213
2013-11-05,-1.810031523196199
2013-11-06,-1.7734036987378448
2013-11-07,-1.7628539553273972
2013-11-08,-2.3196480440189124
2013-11-11,-2.5674429361418536
2013-11-12,-2.289801586254305
2013-11-13,-2.209070029262499
2013-11-14,-2.3508767142034057
2013-11-15,-2.2126436486359173
2013-11-18,-2.084350310876826
2013-11-19,-2.1535888467088866
2013-11-20,-2.0617753605586286
2013-11-21,-1.9927410892691073
2013-11-22,-2.170578463130017
2013-11-25,-2.100470311156071
2013-11-26,-1.9565129287015421
2013-11-27,-1.8965656365187407
2013-11-29,-1.8826983941280508
2013-12-02,-1.8219118122959368
2013-12-03,-1.7779390210192898
2013-12-04,-1.788151311094865
2013-12-05,-1.6983167166175972
2013-12-06,-1.751414669228188
2013-12-09,-1.9199579408328864
2013-12-10,-1.8149117772549852
2013-12-11,-1.7955446403271385
2013-12-12,-2.0390907599391404
2013-12-13,-2.0420879057510932
2013-12-16,-1.9087149399516772
2013-12-17,-1.9377900844025255
2013-12-18,-1.861770491901615
2013-12-19,-2.2465206548594887
2013-12-20,-2.091999256069772
2013-12-23,-2.1662609887090856
2013-12-24,-2.1924649077074845
2013-12-26,-2.039401819460614
2013-12-27,-1.9502637666946883
2013-12-30,-1.8591187486704441
2013-12-31,-1.778492326225279
2014-01-02,-1.7769966057648137
2014-01-03,-1.9749364511974588
2014-01-06,-1.86456798412677
2014-01-07,-1.8268650851724422
2014-01-08,-1.9166544360769695
2014-01-09,-1.8220815800178598
2014-01-10,-1.7616126019740805
2014-01-13,-1.7334564426121695
2014-01-14,-2.055844392229475
2014-01-15,-2.413515955565249
2014-01-16,-2.332806568963702
2014-01-17,-2.160380457246786
2014-01-21,-2.1201768436701873
2014-01-22,-2.0448955935459336
2014-01-23,-1.9353778261056407
2014-01-24,-2.060635389505911
2014-01-27,-2.7404627152349796
2014-01-28,-2.6736914533895613
2014-01-29,-2.586763915824354
2014-01-30,-2.6761257074669857
2014-01-31,-2.7666725183775878
2014-02-03,-2.694778189677522
2014-02-04,-2.9914857728423274
2014-02-05,-2.8697611815326947
2014-02-06,-2.755810313825757
2014-02-07,-2.79740357038055
2014-02-10,-2.8788752945633123
2014-02-11,-2.742081560656569
2014-02-12,-2.7656268165025275
2014-02-13,-2.614395138895257
2014-02-14,-2.564360790546919
2014-02-18,-2.4344391803244942
2014-02-19,-2.3041979882943537
2014-02-20,-2.3397976346349685
2014-02-21,-2.390922536678801
2014-02-24,-2.2347495892360763
2014-02-25,-2.2195766350811423
2014-02-26,-2.065880988826085
2014-02-27,-1.9238347790060477
2014-02-28,-1.9179444557056033
2014-03-03,-1.8444660066677687
2014-03-04,-1.871613649843687
2014-03-05,-2.359045494891134
2014-03-06,-2.1636218533842464
2014-03-07,-2.0048823462806253
2014-03-10,-1.8993152854286885
2014-03-11,-1.7951361107764472
2014-03-12,-1.8382444934654554
2014-03-13,-1.802909077241072
2014-03-14,-2.1622152959760808
2014-03-17,-2.0513485887685667
2014-03-18,-2.1482517245853927
