,Copula-MSM plackett
2013-10-17,-1.6355359827776765
2013-10-18,-1.5856136860684955
2013-10-21,-1.6168262195461907
2013-10-22,-1.5104284713619671
2013-10-23,-1.4353235044224895
2013-10-24,-1.4101841855648605
2013-10-25,-1.293853501673433
2013-10-28,-1.2540057218587506
2013-10-29,-1.1631150884539718
2013-10-30,-1.1025598434874493
2013-10-31,-1.095022449743713
2013-11-01,-1.0658815333191087
2013-11-04,-0.9670339909871464
2013-11-05,-1.065399388611389
2013-11-06,-1.0458722073147166
2013-11-07,-1.0402300709396566
2013-11-08,-1.356655366196935
2013-11-11,-1.5372001845027903
2013-11-12,-1.3906676673728346
2013-11-13,-1.2758885959604116
2013-11-14,-1.3729948929679054
2013-11-15,-1.2771186786707698
2013-11-18,-1.2002242137752892
2013-11-19,-1.24997478428683
2013-11-20,-1.1970017682426752
2013-11-21,-1.1571773640324878
2013-11-22,-1.2628685851691126
2013-11-25,-1.216843782334886
2013-11-26,-1.1384513530478066
2013-11-27,-1.109126841063276
2013-11-29,-1.1021171929686684
2013-12-02,-1.0696903247075693
2013-12-03,-1.0429078848193927
2013-12-04,-1.0567663615060603
2013-12-05,-0.9978075977716027
2013-12-06,-1.0364113989509804
2013-12-09,-1.122631313785787
2013-12-10,-1.0645043557768186
2013-12-11,-1.0553142644135234
2013-12-12,-1.2277998285526375
2013-12-13,-1.181390289460471
2013-12-16,-1.1105439968651734
2013-12-17,-1.128398308714992
2013-12-18,-1.0873589528151313
2013-12-19,-1.311112460554225
2013-12-20,-1.2077470707777211
2013-12-23,-1.2525957262020002
2013-12-24,-1.2718871649946648
2013-12-26,-1.1772420481530868
2013-12-27,-1.1298093414993993
2013-12-30,-1.084152917530297
2013-12-31,-1.0440612621156702
2014-01-02,-1.0462026115235996
2014-01-03,-1.1534765906667304
2014-01-06,-1.0885954623034106
2014-01-07,-1.0715195726596947
2014-01-08,-1.1187063836885223
2014-01-09,-1.0645096572617625
2014-01-10,-1.0346584966921168
2014-01-13,-1.0209501130865486
2014-01-14,-1.2461012209853046
2014-01-15,-1.4244144408556225
2014-01-16,-1.3661903751929163
2014-01-17,-1.2541105878093404
2014-01-21,-1.2324849312373802
2014-01-22,-1.1909911697245132
2014-01-23,-1.1287802138804495
2014-01-24,-1.2010399230565518
2014-01-27,-1.6898634876267584
2014-01-28,-1.6355050161908942
2014-01-29,-1.5626451351495017
2014-01-30,-1.6425548703966637
2014-01-31,-1.7137555511929135
2014-02-03,-1.652662960789165
2014-02-04,-1.8601687688301511
2014-02-05,-1.767557097866529
2014-02-06,-1.6862936456743451
2014-02-07,-1.7250228345756193
2014-02-10,-1.7819074483307669
2014-02-11,-1.6753120611981533
2014-02-12,-1.7002580219618493
2014-02-13,-1.6177447159907377
2014-02-14,-1.5802314595148013
2014-02-18,-1.4827072435213948
2014-02-19,-1.38704246010877
2014-02-20,-1.4169508676651767
2014-02-21,-1.4054260681016388
2014-02-24,-1.295655328074562
2014-02-25,-1.287823203957371
2014-02-26,-1.1944889744099358
2014-02-27,-1.118439573783631
2014-02-28,-1.1190903932719998
2014-03-03,-1.0826797119549634
2014-03-04,-1.1327105990104473
2014-03-05,-1.4508196927325832
2014-03-06,-1.3122505646135731
2014-03-07,-1.2083601613964174
2014-03-10,-1.145682036560776
2014-03-11,-1.0825618080588975
2014-03-12,-1.1099106514889092
2014-03-13,-1.057757919095702
2014-03-14,-1.3148210057991006
2014-03-17,-1.2416482382414735
2014-03-18,-1.299043035212402
2014-03-19,-1.3486938249155118
2014-03-20,-1.3419095386653088
2014-03-21,-1.2929192005750492
2014-03-24,-1.2852328830782676
2014-03-25,-1.3766863839613344
2014-03-26,-1.2841550247157383
2014-03-27,-1.4288353009431962
2014-03-28,-1.3231455216576211
2014-03-31,-1.2610920007422766
2014-04-01,-1.3076761066760476
2014-04-02,-1.413084293998
2014-04-03,-1.320533783322194
2014-04-04,-1.3015952959723247
2014-04-07,-1.5973272450315346
2014-04-08,-1.7356002980563516
2014-04-09,-1.619601764255037
2014-04-10,-1.7340729116176274
2014-04-11,-2.191553114398201
2014-04-14,-1.913554272511333
2014-04-15,-1.8203435681116382
2014-04-16,-1.7119113234859133
2014-04-17,-1.7609241621706342
2014-04-21,-1.6135889860541481
2014-04-22,-1.6227247383826748
2014-04-23,-1.5287872536929932
2014-04-24,-1.4682013262465796
2014-04-25,-1.3716145993824054
2014-04-28,-1.5575840689777054
2014-04-29,-1.4372821568179484
2014-04-30,-1.400420627872545
2014-05-01,-1.3092718943175494
2014-05-02,-1.2132813341119437
2014-05-05,-1.1562712053313857
2014-05-06,-1.1041832592413139
2014-05-07,-1.3121011336926411
2014-05-08,-1.2749243240559607
2014-05-09,-1.2093364504079411
2014-05-12,-1.146226692313793
2014-05-13,-1.3651938966714348
2014-05-14,-1.2891213527273457
2014-05-15,-1.2895219742009214
2014-05-16,-1.3486518118414355
2014-05-19,-1.2887437350279147
2014-05-20,-1.2610054185624446
