,Copula-MSM student
2013-10-17,-2.5954880085242613
2013-10-18,-2.5241784869415005
2013-10-21,-2.5672397225049735
2013-10-22,-2.534799381445149
2013-10-23,-2.4425620079000225
2013-10-24,-2.4062257524291724
2013-10-25,-2.1659176654531604
2013-10-28,-2.1746054487407713
2013-10-29,-2.0177026476892017
2013-10-30,-1.8550594044095097
2013-10-31,-1.848804273098366
2013-11-01,-1.793644892872816
2013-11-04,-1.5781380896230828
2013-11-05,-1.814689286885241
2013-11-06,-1.7780076375417473
2013-11-07,-1.767210643769032
2013-11-08,-2.3272975062128998
2013-11-11,-2.5764715177107527
2013-11-12,-2.295076655588428
2013-11-13,-2.2158133558985385
2013-11-14,-2.358690653848143
2013-11-15,-2.2194924610408258
2013-11-18,-2.0900520705113728
2013-11-19,-2.159450464897315
2013-11-20,-2.0669598079861697
2013-11-21,-1.9975482507307893
2013-11-22,-2.1764006436038343
2013-11-25,-2.105974616096595
2013-11-26,-1.9612222341581662
2013-11-27,-1.9009687835089848
2013-11-29,-1.8870906086837707
2013-12-02,-1.8261735996791322
2013-12-03,-1.7825325399948835
2013-12-04,-1.7925102450889718
2013-12-05,-1.702713032673212
2013-12-06,-1.755768139327254
2013-12-09,-1.924672292947121
2013-12-10,-1.819260455806741
2013-12-11,-1.800036349949288
2013-12-12,-2.0431399141737128
2013-12-13,-2.047560583771069
2013-12-16,-1.9134175042823498
2013-12-17,-1.9427952245509597
2013-12-18,-1.8670695316465362
2013-12-19,-2.2543476252130983
2013-12-20,-2.097743042640404
2013-12-23,-2.1725747538238074
2013-12-24,-2.1988128666066733
2013-12-26,-2.044640207677782
2013-12-27,-1.9549601128508554
2013-12-30,-1.863745901298531
2013-12-31,-1.7826764100441044
2014-01-02,-1.781140762227889
2014-01-03,-1.9796464802439684
2014-01-06,-1.8688397807293873
2014-01-07,-1.8313250546398039
2014-01-08,-1.9210935153361204
2014-01-09,-1.8266405755973776
2014-01-10,-1.765989914640043
2014-01-13,-1.737759124990945
2014-01-14,-2.0598104926212004
2014-01-15,-2.421109708794889
2014-01-16,-2.340077226367475
2014-01-17,-2.166524071398674
2014-01-21,-2.1261024572348637
2014-01-22,-2.0501592348554554
2014-01-23,-1.9402566005707182
2014-01-24,-2.0660139920794367
2014-01-27,-2.7488283213657003
2014-01-28,-2.683249398874869
2014-01-29,-2.5950150991186685
2014-01-30,-2.6847402139910357
2014-01-31,-2.77469911166428
2014-02-03,-2.7028156730021426
2014-02-04,-2.998912318894252
2014-02-05,-2.8774014823493737
2014-02-06,-2.763595537417884
2014-02-07,-2.805156989455663
2014-02-10,-2.886593866441925
2014-02-11,-2.7499852481726004
2014-02-12,-2.7734911908979973
2014-02-13,-2.6199194613884833
2014-02-14,-2.569831245186032
2014-02-18,-2.439700259122939
2014-02-19,-2.309204444495969
2014-02-20,-2.3448875280431167
2014-02-21,-2.398243982287244
2014-02-24,-2.241202074756657
2014-02-25,-2.225944711731439
2014-02-26,-2.0711380371905035
2014-02-27,-1.9281773967362392
2014-02-28,-1.9222002992384526
2014-03-03,-1.8485271430504029
2014-03-04,-1.8752693860996141
2014-03-05,-2.364415494554988
2014-03-06,-2.168347937342948
2014-03-07,-2.0090068203615625
2014-03-10,-1.9027125316432687
2014-03-11,-1.7983787954700485
2014-03-12,-1.8415739762530736
2014-03-13,-1.8069551794108019
2014-03-14,-2.166596896847192
2014-03-17,-2.0552985374184596
2014-03-18,-2.152770355412801
2014-03-19,-2.2278298208721945
2014-03-20,-2.2038753977335896
2014-03-21,-2.2323415465776284
2014-03-24,-2.116385538476493
2014-03-25,-2.319469472126121
2014-03-26,-2.1905362597148463
2014-03-27,-2.4003063392573702
2014-03-28,-2.168186099601245
2014-03-31,-2.0725458513352484
2014-04-01,-2.1524614103895816
2014-04-02,-2.2964501763643144
2014-04-03,-2.1662164464809224
2014-04-04,-2.122271698589696
2014-04-07,-2.642984493305081
2014-04-08,-2.773880006742489
2014-04-09,-2.616367538342957
2014-04-10,-2.7758165996867756
2014-04-11,-3.4088521330482293
2014-04-14,-3.16858254575138
2014-04-15,-3.0237775459290783
2014-04-16,-2.8425675199182243
2014-04-17,-2.902448705855935
2014-04-21,-2.697072598759855
2014-04-22,-2.6492152560578766
2014-04-23,-2.5715414435952493
2014-04-24,-2.4768806863654977
2014-04-25,-2.334704421575744
2014-04-28,-2.595883349898613
2014-04-29,-2.422068408293053
2014-04-30,-2.3634852363226595
2014-05-01,-2.23471100168047
2014-05-02,-2.0852294062345265
2014-05-05,-1.984719497702025
2014-05-06,-1.8898672516150077
2014-05-07,-2.2237620585011193
2014-05-08,-2.0944330979564296
2014-05-09,-1.9944301972499636
2014-05-12,-1.8929263232772062
2014-05-13,-2.235860557475746
2014-05-14,-2.1066963228493862
2014-05-15,-2.105510968814864
2014-05-16,-2.2208312032738124
2014-05-19,-2.1151211411989848
2014-05-20,-2.067801160968411
2014-05-21,-2.117037977161572
2014-05-22,-2.168994211291726
2014-05-23,-2.0458325979463305
2014-05-27,-2.01817659162183
2014-05-28,-2.1009645625280307
2014-05-29,-1.9898264552849538
2014-05-30,-1.9484476708116905
2014-06-02,-1.8620983449267112
2014-06-03,-1.7813865828472404
2014-06-04,-1.7086110787624083
2014-06-05,-1.6478699863597535
2014-06-06,-1.798690773272297
2014-06-09,-1.778873848820843
2014-06-10,-1.7042714317387215
2014-06-11,-1.6276046667574853
2014-06-12,-1.5964650256629818
2014-06-13,-1.7547483382535556
2014-06-16,-1.6744231770256597
2014-06-17,-1.5923299814891068
2014-06-18,-1.7275121292034845
2014-06-19,-1.8152839148854931
2014-06-20,-1.7434013197922857
2014-06-23,-1.706403506261249
2014-06-24,-1.401401744249159
2014-06-25,-1.7551591279480054
2014-06-26,-1.7887581015894938
2014-06-27,-1.4453140902583141
2014-06-30,-1.4107882594852796
2014-07-01,-1.3578208812377264
2014-07-02,-1.8482036611132164
2014-07-03,-1.7399113914490183
2014-07-07,-1.7847681557396056
2014-07-08,-1.6371214368230311
2014-07-09,-2.123466807244006
2014-07-10,-2.062192766121882
2014-07-11,-2.0340836647641747
2014-07-14,-1.9225685335140588
2014-07-15,-1.9048550590679307
2014-07-16,-1.7153097056031437
2014-07-17,-1.8118421535797278
2014-07-18,-2.0511827138358045
2014-07-21,-2.4381445259136854
2014-07-22,-2.129830751813745
2014-07-23,-2.224955848134226
2014-07-24,-1.9305181745803635
2014-07-25,-1.7949387630538882
2014-07-28,-1.7985341188241648
2014-07-29,-1.6827217123699163
2014-07-30,-1.7937656925177166
2014-07-31,-1.74095596329853
2014-08-01,-2.473914668349759
2014-08-04,-2.342299263024768
2014-08-05,-2.314906572370031
2014-08-06,-2.3612338122214753
2014-08-07,-2.2018713836591535
2014-08-08,-2.1644076564109325
2014-08-11,-2.2169813195668584
2014-08-12,-2.1357232193564375
2014-08-13,-2.015397408474514
2014-08-14,-1.9916943545373484
2014-08-15,-1.8989104265086532
2014-08-18,-1.8930713089374003
2014-08-19,-1.88052446067717
2014-08-20,-2.0370480149543146
2014-08-21,-1.814140188867807
2014-08-22,-1.7255312671407341
2014-08-25,-1.6671168783221566
2014-08-26,-1.64688045044568
2014-08-27,-1.6164356451997686
2014-08-28,-1.576598983916196
2014-08-29,-1.5737640293153732
2014-09-02,-1.3008875972285423
2014-09-03,-1.6173395109454898
2014-09-04,-1.6425774648429208
2014-09-05,-1.3539088494684108
2014-09-08,-1.6422955853541308
2014-09-09,-1.3599259411087987
2014-09-10,-1.8153909664280399
2014-09-11,-1.581124023054063
2014-09-12,-1.7023571554860686
2014-09-15,-1.5690544046684405
2014-09-16,-1.8748236528173667
2014-09-17,-1.945450222157627
2014-09-18,-1.8189822692019264
2014-09-19,-1.8333783608789582
2014-09-22,-1.7523837080790268
2014-09-23,-2.025432081515256
2014-09-24,-2.002925532908227
2014-09-25,-2.0819820379363843
2014-09-26,-2.553570933128863
2014-09-29,-2.518872173090504
2014-09-30,-2.3983011325903574
2014-10-01,-2.2965825718315074
2014-10-02,-2.427460119884108
2014-10-03,-2.2982002042234293
2014-10-06,-2.335461096623594
2014-10-07,-2.2385689476438575
2014-10-08,-2.470398168967369
2014-10-09,-2.7618728285326117
2014-10-10,-3.001107713880394
2014-10-13,-3.172518027020957
