,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian
2013-10-17,-3.2112838745234207,-2.6149292699238345,-2.70253757168062,-2.2664033319503902,-2.268438028362998,-2.266370400756576,-2.2085202150188463,-2.2883706899821035,-1.970637567249092,-2.275946561974927,-2.124392960445027,-2.221527948908376,-2.285164139680965,-2.5954880085242613,-2.591780261829302
2013-10-18,-3.2112838745234207,-2.6128489942385644,-2.645782213836079,-2.185637962705444,-2.1876841855692755,-2.185599549973357,-2.1297786309592137,-2.2068029569058614,-1.900353395516929,-2.1947500822630865,-2.048471291944049,-2.142452270555504,-2.2037153801634983,-2.5241784869415005,-2.520287434267413
2013-10-21,-3.2112838745234207,-2.6129571476855893,-2.625724591770652,-2.175097007649323,-2.17710120989952,-2.1750679256814185,-2.1195501059358373,-2.1961562834506703,-1.891764547400292,-2.1842931219874897,-2.036731303765116,-2.132114179326423,-2.1930811144151794,-2.567239722504973,-2.5632687467852717
2013-10-22,-3.111555632892665,-2.593220758777589,-2.5461247886302805,-2.0673850133889493,-2.06947926879382,-2.0673968431575886,-2.014602949595359,-2.087758307172189,-1.7967749811357538,-2.0764449371689517,-1.9562491653946568,-2.026222630199921,-2.0848017209650287,-2.534799381445149,-2.526012237634618
2013-10-23,-3.111555632892665,-2.5909923613739063,-2.4794482573646124,-1.985968360429745,-1.9879881075728527,-1.9859833333340704,-1.9349546926055767,-2.0056950032850875,-1.7248519367253534,-1.994552108760712,-1.8678157605553736,-1.9461296614766688,-2.0028286425378767,-2.4425620079000225,-2.4336537187752327
2013-10-24,-3.111555632892665,-2.591357381276701,-2.422380819160653,-1.9447525495204323,-1.9467043896749576,-1.9447617942040196,-1.894893288355412,-1.9639797516771893,-1.6891428565974325,-1.9531032270803776,-1.8275564399921589,-1.9058356538455008,-1.9611826458707875,-2.4062257524291724,-2.3978586607078274
2013-10-25,-3.111555632892665,-2.5913578949701,-2.3620516812884165,-1.8709882381908816,-1.87285117982176,-1.870994066274774,-1.82301010361478,-1.889444765752508,-1.6250717017216614,-1.8789696901220556,-1.7475795488436296,-1.8336057062970768,-1.886760811503277,-2.1659176654531604,-2.1620481986368763
2013-10-28,-3.111555632892665,-2.589279330901766,-2.301532849026218,-1.802348353389917,-1.804180963130504,-1.8023560939471532,-1.756094744056126,-1.820116266048164,-1.5653940298417066,-1.809902866399556,-1.7047476179320644,-1.7664264233606866,-1.817540386752158,-2.1746054487407718,-2.1678571601482477
2013-10-29,-3.111555632892665,-2.5874976671030625,-2.231466072951628,-1.726843126791773,-1.7285561329466967,-1.7268465938663398,-1.6822537657968637,-1.743889245525848,-1.4993878173787043,-1.7340379858470052,-1.623079908602579,-1.6923172063733776,-1.7414137643371532,-2.0177026476892017,-2.012261922799909
2013-10-30,-3.111555632892665,-2.586841179013053,-2.177520162284426,-1.6767043611368808,-1.678306172988419,-1.676705602045578,-1.633053754496067,-1.6932880897418243,-1.4550156673070458,-1.6836896862967166,-1.585425676979418,-1.6430136521278715,-1.6908735890714093,-1.8550594044095097,-1.8516143437261745
