,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2013-10-17,-1.894145234001328,-1.8287381410863937,-1.9108400666793213,-1.5740495107202557,-1.5740515067288992,-1.6445738795961389
2013-10-18,-1.894145234001328,-1.8276416653601253,-1.8707109624979392,-1.516936798133288,-1.5169331836246769,-1.59455392925373
2013-10-21,-1.894145234001328,-1.8275484893168343,-1.8565291400927484,-1.5092143482777916,-1.509214181618467,-1.626069564616495
2013-10-22,-1.8854469525436857,-1.8124989854300095,-1.8002477789252809,-1.4324906017244845,-1.4325386827489968,-1.5127708219543388
2013-10-23,-1.8854469525436857,-1.8113725112760797,-1.7531038691477734,-1.3749545880131422,-1.3750041833508948,-1.4369665843299038
2013-10-24,-1.8854469525436857,-1.811684113289184,-1.7127541072922663,-1.3459675398354616,-1.346010542827942,-1.4116763418273552
2013-10-25,-1.8854469525436857,-1.811745470766749,-1.6700981475592809,-1.2937580412427727,-1.293794618012628,-1.298415404222159
2013-10-28,-1.8854469525436857,-1.810711544689512,-1.6273080636444286,-1.2452436459105902,-1.2452856731162747,-1.2540813320957775
2013-10-29,-1.8854469525436857,-1.809200831653944,-1.5777670676304063,-1.1917759303095488,-1.191808337663348,-1.1632246763377945
2013-10-30,-1.8854469525436857,-1.808546345357352,-1.5396243943826522,-1.1561676508790522,-1.1561904415722328,-1.1053465922700758
2013-10-31,-1.8854469525436857,-1.8082851376348328,-1.5073481868325798,-1.1537386832942813,-1.153764788286792,-1.0977688277156312
2013-11-01,-1.8854469525436857,-1.8087728707218436,-1.4675121477084956,-1.1290230718847227,-1.1290422017122912,-1.0688240223761083
2013-11-04,-1.8854469525436857,-1.8088700357199348,-1.4245453125420589,-1.0867120781498565,-1.0867253245256154,-0.970110481006666
2013-11-05,-1.8854469525436857,-1.8059386842175515,-1.388885219888481,-1.0544930999740048,-1.0545291487609252,-1.0663989766227544
2013-11-06,-1.8854469525436857,-1.8054646196440336,-1.34716434237208,-1.0259029814473597,-1.0259250030595164,-1.047000599674376
2013-11-07,-1.8854469525436857,-1.805688754673932,-1.306908262117383,-1.003977163171477,-1.003997877755877,-1.0414509605140954
2013-11-08,-1.86637739264516,-1.8048021517856263,-1.4256089549414306,-1.3057856174511286,-1.305800064887843,-1.3573544311876446
2013-11-11,-1.86637739264516,-1.8043593871525263,-1.502606770872094,-1.4229903470707357,-1.423015529351368,-1.539384074014024
2013-11-12,-1.86637739264516,-1.801957754422816,-1.4569356636428357,-1.3523990987756251,-1.3524079081554243,-1.394330107653889
2013-11-13,-1.86637739264516,-1.801447831072701,-1.4133379432891389,-1.2949408290527051,-1.2949511725353429,-1.2760869841399252
2013-11-14,-1.8420868624214612,-1.792958647258157,-1.4262792334651744,-1.3115067096630213,-1.311520200023126,-1.3735873542174404
2013-11-15,-1.8420868624214612,-1.7929109420693252,-1.3892632650603804,-1.260421185820703,-1.260430860896156,-1.277217467230629
2013-11-18,-1.8420868624214612,-1.7913640332449727,-1.3554733517155615,-1.213060514350094,-1.213069183042415,-1.2003884168777192
2013-11-19,-1.8420868624214612,-1.7893122865614348,-1.3400426537196364,-1.2254747570666462,-1.225490308805829,-1.250492471442267
2013-11-20,-1.8420868624214612,-1.789669944807939,-1.3057842817030307,-1.1923684384792006,-1.1923814121619425,-1.1976584057367357
2013-11-21,-1.8420868624214612,-1.7894692971718396,-1.2722711562315057,-1.1629699046017283,-1.162980193680324,-1.1579071496483608
2013-11-22,-1.8420868624214612,-1.785332776978512,-1.2991214125414867,-1.2048898302421267,-1.204895432519355,-1.2636845759544306
