,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2013-10-17,-3.2112838745234207,-2.6149292699238345,-2.70253757168062,-2.2664033319503902,-2.268438028362998,-2.5954880085242613
2013-10-18,-3.2112838745234207,-2.6128489942385644,-2.645782213836079,-2.185637962705444,-2.1876841855692755,-2.5241784869415005
2013-10-21,-3.2112838745234207,-2.6129571476855893,-2.625724591770652,-2.175097007649323,-2.17710120989952,-2.567239722504973
2013-10-22,-3.111555632892665,-2.593220758777589,-2.5461247886302805,-2.0673850133889493,-2.06947926879382,-2.534799381445149
2013-10-23,-3.111555632892665,-2.5909923613739063,-2.4794482573646124,-1.985968360429745,-1.9879881075728527,-2.4425620079000225
2013-10-24,-3.111555632892665,-2.591357381276701,-2.422380819160653,-1.9447525495204323,-1.9467043896749576,-2.4062257524291724
2013-10-25,-3.111555632892665,-2.5913578949701,-2.3620516812884165,-1.8709882381908816,-1.87285117982176,-2.1659176654531604
2013-10-28,-3.111555632892665,-2.589279330901766,-2.301532849026218,-1.802348353389917,-1.804180963130504,-2.1746054487407718
2013-10-29,-3.111555632892665,-2.5874976671030625,-2.231466072951628,-1.726843126791773,-1.7285561329466967,-2.0177026476892017
2013-10-30,-3.111555632892665,-2.586841179013053,-2.177520162284426,-1.6767043611368808,-1.678306172988419,-1.8550594044095097
2013-10-31,-3.111555632892665,-2.585480612260169,-2.1318713060057224,-1.6727814445862108,-1.6744109264464602,-1.848804273098366
2013-11-01,-3.111555632892665,-2.5860097704088325,-2.0755304356644038,-1.6376145410266163,-1.6391610686395768,-1.793644892872816
2013-11-04,-3.111555632892665,-2.5860925443911373,-2.014761620734069,-1.5778167141390167,-1.5792574976601408,-1.5781380896230828
2013-11-05,-3.111555632892665,-2.581006418628947,-1.9643268711773552,-1.5321156933797566,-1.5337506306042898,-1.814689286885241
2013-11-06,-3.111555632892665,-2.580467115843704,-1.905320237928608,-1.4916710278985186,-1.493155216743628,-1.7780076375417473
2013-11-07,-3.111555632892665,-2.5804584469035903,-1.8483852954004392,-1.4606476548541416,-1.462132666131222,-1.767210643769032
