,RiskMetrics
2013-10-17,-2.7025375716806197
2013-10-18,-2.645782213836079
2013-10-21,-2.625724591770652
2013-10-22,-2.5461247886302805
2013-10-23,-2.4794482573646124
2013-10-24,-2.422380819160653
2013-10-25,-2.3620516812884165
2013-10-28,-2.301532849026218
2013-10-29,-2.231466072951628
2013-10-30,-2.177520162284426
2013-10-31,-2.1318713060057224
2013-11-01,-2.0755304356644033
2013-11-04,-2.014761620734069
2013-11-05,-1.9643268711773552
2013-11-06,-1.9053202379286076
2013-11-07,-1.8483852954004392
2013-11-08,-2.0162659504774423
2013-11-11,-2.1251654309303443
2013-11-12,-2.0605719124147845
2013-11-13,-1.998910824524657
2013-11-14,-2.0172139381847844
2013-11-15,-1.9648615476783702
2013-11-18,-1.9170718284074633
2013-11-19,-1.8952478977612346
2013-11-20,-1.8467956284510234
2013-11-21,-1.799397375551377
2013-11-22,-1.8373722054454773
2013-11-25,-1.806815391191235
2013-11-26,-1.751838299195288
2013-11-27,-1.7068696919995687
2013-11-29,-1.67541230672562
2013-12-02,-1.6265457559521737
2013-12-03,-1.5872830834124665
2013-12-04,-1.5460226946337994
2013-12-05,-1.4992559333713216
2013-12-06,-1.4621457499175725
2013-12-09,-1.5116922858102024
2013-12-10,-1.4687406352459318
2013-12-11,-1.4317334426366533
2013-12-12,-1.5659482416271535
2013-12-13,-1.5252621707087615
2013-12-16,-1.4788776619215445
2013-12-17,-1.4838444919345892
2013-12-18,-1.4444855405558148
2013-12-19,-1.6113666116030043
2013-12-20,-1.5654811958270711
2013-12-23,-1.58662774397314
2013-12-24,-1.6044579680135487
2013-12-26,-1.5608119698270955
2013-12-27,-1.5285180251518395
2013-12-30,-1.4842251798321409
2013-12-31,-1.4391701954773304
2014-01-02,-1.42040771157907
2014-01-03,-1.4594496393689933
2014-01-06,-1.417620433207373
2014-01-07,-1.3885711935725245
2014-01-08,-1.4179195507136075
2014-01-09,-1.376997586383003
2014-01-10,-1.3361639424178655
2014-01-13,-1.3096172953565992
2014-01-14,-1.4914999592616485
2014-01-15,-1.6456121574492386
2014-01-16,-1.6362537028794488
2014-01-17,-1.5864573707805643
2014-01-21,-1.5589790881130354
2014-01-22,-1.5353341443499444
2014-01-23,-1.4944363387986725
2014-01-24,-1.507679267228243
2014-01-27,-1.9042023799700223
2014-01-28,-1.8998869051792537
2014-01-29,-1.8623302942221158
2014-01-30,-1.908342988149963
2014-01-31,-2.0233890951271514
2014-02-03,-1.987377726705456
2014-02-04,-2.387758991655604
2014-02-05,-2.360703057691233
2014-02-06,-2.2974499658682728
2014-02-07,-2.3272224444223957
2014-02-10,-2.4129557122033973
2014-02-11,-2.347838840882059
2014-02-12,-2.3557162674226024
2014-02-13,-2.2847891801343723
2014-02-14,-2.2567013866173014
2014-02-18,-2.193736978113719
2014-02-19,-2.138818335547804
2014-02-20,-2.1157090748002227
2014-02-21,-2.0842945462163103
2014-02-24,-2.022476659678759
2014-02-25,-1.9959478496385836
2014-02-26,-1.9365635303126072
2014-02-27,-1.8778126091636083
2014-02-28,-1.8482472748200873
2014-03-03,-1.7919590662559415
2014-03-04,-1.7863786311054863
2014-03-05,-1.9634072620825072
2014-03-06,-1.9039679238753022
2014-03-07,-1.8459964573371077
2014-03-10,-1.7919723967490016
2014-03-11,-1.7375591822928163
2014-03-12,-1.715675305945205
2014-03-13,-1.6673974174861657
2014-03-14,-1.7833667288985104
2014-03-17,-1.7385003150420442
2014-03-18,-1.759144933346294
2014-03-19,-1.79450877045114
2014-03-20,-1.773675505145846
2014-03-21,-1.7375478429468028
2014-03-24,-1.7237914417906954
2014-03-25,-1.7379331457709444
2014-03-26,-1.694393146228157
2014-03-27,-1.752889307295015
2014-03-28,-1.7120705514001346
2014-03-31,-1.6678955335513472
2014-04-01,-1.698555674218048
2014-04-02,-1.7758530366116174
2014-04-03,-1.7272218387958507
2014-04-04,-1.699743576874622
2014-04-07,-1.9862997119750416
2014-04-08,-2.0296888744621016
2014-04-09,-1.996649230980777
2014-04-10,-2.0932496645598024
2014-04-11,-2.523170618689546
2014-04-14,-2.5328247536735327
2014-04-15,-2.4874298341000634
2014-04-16,-2.427055832003686
2014-04-17,-2.4446487620535318
2014-04-21,-2.3724351560492876
2014-04-22,-2.318104918532441
2014-04-23,-2.281230757304498
2014-04-24,-2.232022515956608
2014-04-25,-2.172886621547278
2014-04-28,-2.2315325997846585
2014-04-29,-2.165178839367674
2014-04-30,-2.126314470861587
2014-05-01,-2.0678571661722622
2014-05-02,-2.0066645726656507
2014-05-05,-1.9465520773744134
2014-05-06,-1.8932777385243384
2014-05-07,-1.9488078758132994
2014-05-08,-1.8906638066041699
2014-05-09,-1.8394117152768656
2014-05-12,-1.7930649438696609
2014-05-13,-1.9027953620179798
2014-05-14,-1.8466620189189373
2014-05-15,-1.822173295123461
2014-05-16,-1.8324460693662803
2014-05-19,-1.7948726672921107
2014-05-20,-1.7757551578145934
2014-05-21,-1.7644367983882674
2014-05-22,-1.7741464241460865
2014-05-23,-1.7346257789335393
2014-05-27,-1.7149804143051397
2014-05-28,-1.7412244061542879
2014-05-29,-1.691923899478101
2014-05-30,-1.6687364003199796
2014-06-02,-1.6179862472813702
2014-06-03,-1.568774349905814
2014-06-04,-1.5213154454588709
2014-06-05,-1.4849378029137272
2014-06-06,-1.5184241665211997
2014-06-09,-1.5020219653422182
2014-06-10,-1.4615690918625612
2014-06-11,-1.4170511174996268
2014-06-12,-1.381083081335694
2014-06-13,-1.4061124938127652
2014-06-16,-1.3745084449246103
2014-06-17,-1.3358638329920212
2014-06-18,-1.3060172019960778
2014-06-19,-1.3239977584306346
2014-06-20,-1.283733856552792
2014-06-23,-1.2491419845851819
2014-06-24,-1.2110881538597125
2014-06-25,-1.2128440140977008
2014-06-26,-1.221638441910535
2014-06-27,-1.1850391466163055
2014-06-30,-1.1624876525846803
2014-07-01,-1.1284500285659538
2014-07-02,-1.2087899497127974
2014-07-03,-1.1720361724699793
2014-07-07,-1.1847877272176548
2014-07-08,-1.1955270192259664
2014-07-09,-1.3000079173926526
2014-07-10,-1.2980465895059436
2014-07-11,-1.286208051980219
2014-07-14,-1.2581076393165287
2014-07-15,-1.2556736654562695
2014-07-16,-1.2353503675591264
2014-07-17,-1.2113433136494227
2014-07-18,-1.3905478224427608
2014-07-21,-1.5360338105640974
2014-07-22,-1.4936057636248148
2014-07-23,-1.48829378327702
2014-07-24,-1.4521054812421161
2014-07-25,-1.407873559106813
2014-07-28,-1.393916122817045
2014-07-29,-1.3516241280187218
2014-07-30,-1.3182781783331066
2014-07-31,-1.2848125503575816
2014-08-01,-1.7133887648231545
2014-08-04,-1.672422400520223
2014-08-05,-1.671998368525277
2014-08-06,-1.6905836966986918
2014-08-07,-1.639149496121759
2014-08-08,-1.6155344442829984
2014-08-11,-1.6640393379358995
2014-08-12,-1.6368151004947822
2014-08-13,-1.5918646232976001
2014-08-14,-1.616381218336045
2014-08-15,-1.5861051894654998
2014-08-18,-1.5395887607187797
2014-08-19,-1.5798590096646226
2014-08-20,-1.5541794206318054
2014-08-21,-1.5081926097727414
2014-08-22,-1.4671037590770142
2014-08-25,-1.4225033823908053
2014-08-26,-1.4023384620887374
2014-08-27,-1.364296844891694
2014-08-28,-1.3227440727826465
2014-08-29,-1.2882955331172334
2014-09-02,-1.2709989275995917
2014-09-03,-1.2359934449881038
2014-09-04,-1.2120015558951516
2014-09-05,-1.1800149997860763
2014-09-08,-1.1758504072904328
2014-09-09,-1.1404076506788379
2014-09-10,-1.1886544526769864
2014-09-11,-1.1952814071798794
2014-09-12,-1.1603167911941628
2014-09-15,-1.1698730821157295
2014-09-16,-1.1800583183405184
2014-09-17,-1.2205451704835333
2014-09-18,-1.1872375858451674
2014-09-19,-1.1983963625205163
2014-09-22,-1.1660420643573834
2014-09-23,-1.259500291427035
2014-09-24,-1.2539195615577934
2014-09-25,-1.320234922977861
2014-09-26,-1.6387416079961576
2014-09-29,-1.6754191777222012
2014-09-30,-1.6282851667844391
2014-10-01,-1.5866062406570038
2014-10-02,-1.750634093521865
2014-10-03,-1.6981099820047625
2014-10-06,-1.754705634039696
2014-10-07,-1.7104828982961828
2014-10-08,-1.8787630542557665
2014-10-09,-2.0925435783523754
2014-10-10,-2.3450800427012823
2014-10-13,-2.4840041556807857
2014-10-14,-2.568613368322397
2014-10-15,-2.4940821631851477
2014-10-16,-2.4381111923518146
2014-10-17,-2.363905955154778
2014-10-20,-2.379769617985757
2014-10-21,-2.395007321253723
2014-10-22,-2.626257746552673
2014-10-23,-2.5849937506505642
2014-10-24,-2.6306707571447987
2014-10-27,-2.5813173056916296
2014-10-28,-2.502845397034313
2014-10-29,-2.5651222368009075
2014-10-30,-2.49056761390439
2014-10-31,-2.431183483221657
2014-11-03,-2.468334203915177
2014-11-04,-2.393597044769269
2014-11-05,-2.327243600205303
2014-11-06,-2.2609340517759895
2014-11-07,-2.2027328812049154
2014-11-10,-2.135793839894664
2014-11-11,-2.080943722281699
2014-11-12,-2.018926627077493
2014-11-13,-1.9586381562709567
2014-11-14,-1.8995163080848734
2014-11-17,-1.84256046506771
2014-11-18,-1.7884900607105816
2014-11-19,-1.7664561740651585
2014-11-20,-1.724894430962769
2014-11-21,-1.6861053327508677
2014-11-24,-1.648948530826874
2014-11-25,-1.6331880781849575
2014-11-26,-1.5834851972181232
2014-11-28,-1.5560133469312434
2014-12-01,-1.5093394676907672
2014-12-02,-1.5741288134287643
2014-12-03,-1.5663182747958955
2014-12-04,-1.5342599542911401
