,Variance-Covariance
2013-10-17,-2.6149292699238345
2013-10-18,-2.6128489942385644
2013-10-21,-2.6129571476855893
2013-10-22,-2.593220758777589
2013-10-23,-2.5909923613739063
2013-10-24,-2.5913573812767012
2013-10-25,-2.5913578949700997
2013-10-28,-2.589279330901766
2013-10-29,-2.5874976671030625
2013-10-30,-2.586841179013053
2013-10-31,-2.585480612260169
2013-11-01,-2.5860097704088325
2013-11-04,-2.5860925443911373
2013-11-05,-2.581006418628947
2013-11-06,-2.580467115843704
2013-11-07,-2.5804584469035903
2013-11-08,-2.5793053702864364
2013-11-11,-2.5785386173658402
2013-11-12,-2.5756362976096305
2013-11-13,-2.575052499664195
2013-11-14,-2.56446093523574
2013-11-15,-2.564054135608321
2013-11-18,-2.5623116108533828
2013-11-19,-2.5580673613176987
2013-11-20,-2.558463497053528
2013-11-21,-2.558229991834115
2013-11-22,-2.5534049529676235
2013-11-25,-2.552929154639728
2013-11-26,-2.5477884700658344
2013-11-27,-2.5439599705950364
2013-11-29,-2.5433679943757945
2013-12-02,-2.5429801925025797
2013-12-03,-2.539078611205273
2013-12-04,-2.539624647802762
2013-12-05,-2.5377999563085516
2013-12-06,-2.537989519865408
2013-12-09,-2.5376900149946584
2013-12-10,-2.5372554019198903
2013-12-11,-2.537837869881952
2013-12-12,-2.5401040715283885
2013-12-13,-2.540688900007622
2013-12-16,-2.540635964325707
2013-12-17,-2.5329323179813237
2013-12-18,-2.5306869939563494
2013-12-19,-2.531282470939291
2013-12-20,-2.531742990797535
2013-12-23,-2.531786379213961
2013-12-24,-2.5185179110010236
2013-12-26,-2.5184123091562065
2013-12-27,-2.5181601989409215
2013-12-30,-2.5164003538573305
2013-12-31,-2.5165784676236718
2014-01-02,-2.5165798604219503
2014-01-03,-2.517000099936315
2014-01-06,-2.517444341786402
2014-01-07,-2.507653166353456
2014-01-08,-2.5072892713007495
2014-01-09,-2.5006547125480014
2014-01-10,-2.5007018446676264
2014-01-13,-2.5006993904374637
2014-01-14,-2.5037242224853746
2014-01-15,-2.5015771265528994
2014-01-16,-2.5015765740995968
2014-01-17,-2.4953725506769953
2014-01-21,-2.4960582316269813
2014-01-22,-2.495814988057854
2014-01-23,-2.495533812132215
2014-01-24,-2.497003976962201
2014-01-27,-2.503594842254792
2014-01-28,-2.502102923781968
2014-01-29,-2.501798703868112
2014-01-30,-2.5041260620155548
2014-01-31,-2.5046851625650373
2014-02-03,-2.5049388731944786
2014-02-04,-2.513127296427405
2014-02-05,-2.5128199304497545
2014-02-06,-2.512635247193251
2014-02-07,-2.512941330008498
2014-02-10,-2.5126219451598404
2014-02-11,-2.5110450676438782
2014-02-12,-2.5106883998624894
2014-02-13,-2.510101458392679
2014-02-14,-2.5073372768430997
2014-02-18,-2.5068474990164793
2014-02-19,-2.5068600080918726
2014-02-20,-2.5061015747913813
2014-02-21,-2.496823856114351
2014-02-24,-2.4969007002224624
2014-02-25,-2.4968938747101763
2014-02-26,-2.4970560776774517
2014-02-27,-2.495968056293413
2014-02-28,-2.495597376690964
2014-03-03,-2.4957852621410104
2014-03-04,-2.4970154279665184
2014-03-05,-2.4980371124994334
2014-03-06,-2.4978969897476926
2014-03-07,-2.4962454524293647
2014-03-10,-2.4900718750219673
2014-03-11,-2.489864432685667
2014-03-12,-2.4909189547943678
2014-03-13,-2.4900690361625157
2014-03-14,-2.4931427725899225
2014-03-17,-2.49365553875456
2014-03-18,-2.493479924909836
2014-03-19,-2.4932486902914897
2014-03-20,-2.4944485157535627
2014-03-21,-2.494444470018453
2014-03-24,-2.4948706721635143
2014-03-25,-2.4959638164582314
2014-03-26,-2.4959474703049898
2014-03-27,-2.498028145087852
2014-03-28,-2.498765751086149
2014-03-31,-2.4970419371452532
2014-04-01,-2.4948891929401724
2014-04-02,-2.4938542395794183
2014-04-03,-2.4923534261583806
2014-04-04,-2.4927688704928386
2014-04-07,-2.4979859389247308
2014-04-08,-2.4898147927901606
2014-04-09,-2.4889182000590857
2014-04-10,-2.4891718906679507
2014-04-11,-2.497556932663218
2014-04-14,-2.500133769711151
2014-04-15,-2.5001344385467235
2014-04-16,-2.5001231710571146
2014-04-17,-2.500416773211994
2014-04-21,-2.500136112503288
2014-04-22,-2.499013074292509
2014-04-23,-2.4989585228804176
2014-04-24,-2.498383276608034
2014-04-25,-2.4982671126322176
2014-04-28,-2.5001476740557016
2014-04-29,-2.4987880367871536
2014-04-30,-2.4986822457919478
2014-05-01,-2.496937427006341
2014-05-02,-2.4952155763853856
2014-05-05,-2.4940210998466816
2014-05-06,-2.4863911050474106
2014-05-07,-2.4869034332794104
2014-05-08,-2.477349372749537
2014-05-09,-2.477930024307164
2014-05-12,-2.4779270785488317
2014-05-13,-2.478329850039021
2014-05-14,-2.476260632097439
2014-05-15,-2.4773866164566347
2014-05-16,-2.476885971879776
2014-05-19,-2.476560895613727
2014-05-20,-2.4765614967859784
2014-05-21,-2.4759317806922647
2014-05-22,-2.4759809796029604
2014-05-23,-2.47525473423351
2014-05-27,-2.4751518709525313
2014-05-28,-2.474713031041875
2014-05-29,-2.4713040952828185
2014-05-30,-2.470483066890824
2014-06-02,-2.4700295122229528
2014-06-03,-2.469844619946006
2014-06-04,-2.4701400053150824
2014-06-05,-2.4653487639155376
2014-06-06,-2.465415891195471
2014-06-09,-2.464807317694385
2014-06-10,-2.464813068321509
2014-06-11,-2.4636632460086503
2014-06-12,-2.4641666384997287
2014-06-13,-2.465166496432862
2014-06-16,-2.463309520572839
2014-06-17,-2.463422773872357
2014-06-18,-2.4634667300036583
2014-06-19,-2.4633751756337645
2014-06-20,-2.463510705594488
2014-06-23,-2.4625745534322894
2014-06-24,-2.462726539141605
2014-06-25,-2.4609524124833744
2014-06-26,-2.4607274293238963
2014-06-27,-2.460727029243584
2014-06-30,-2.4607680629633224
2014-07-01,-2.4609351235077197
2014-07-02,-2.461066015132122
2014-07-03,-2.4611876285202823
2014-07-07,-2.4607947620852006
2014-07-08,-2.4617542176224734
2014-07-09,-2.461878163287408
2014-07-10,-2.4606545375625233
2014-07-11,-2.4614517740126503
2014-07-14,-2.461092566943841
2014-07-15,-2.4609828196725156
2014-07-16,-2.461726084967635
2014-07-17,-2.4614947019748663
2014-07-18,-2.4620874361787464
2014-07-21,-2.4624604332116227
2014-07-22,-2.462908694674148
2014-07-23,-2.4602187316396336
2014-07-24,-2.4596515767123073
2014-07-25,-2.457211516085412
2014-07-28,-2.4542519981012663
2014-07-29,-2.4460381246943528
2014-07-30,-2.446578466197047
2014-07-31,-2.445903555306744
2014-08-01,-2.4522435989132845
2014-08-04,-2.448839355328399
